-3.088156e+10 + i 3.564164e+09 ; 3.198259e+06 + i -1.152801e+07 ; 3.198267e+06 + i -1.152898e+07 ; 1.294590e+10 + i -2.372765e+09 ; 2.873284e+08 + i 7.943132e+07 ; 2.873287e+08 + i 7.943188e+07 ; -6.219360e+09 + i 1.230026e+09 ; -1.545106e+08 + i -4.117702e+07 ; -6.703864e+06 + i -9.669504e+06 ; 1.071336e+08 + i -4.923835e+08 ; 3.403736e+09 + i -6.490109e+08 ; 1.096491e+08 + i 2.070950e+07 ; -6.219361e+09 + i 1.230025e+09 ; -6.705502e+06 + i -9.670348e+06 ; -1.545107e+08 + i -4.117700e+07 ; 1.071334e+08 + i -4.923848e+08 ; 1.096436e+08 + i 2.070450e+07 ; 3.403736e+09 + i -6.490111e+08 ; -1.802756e+09 + i 5.403924e+08 ; -9.306789e+07 + i -2.148726e+07 ; -9.306822e+07 + i -2.148747e+07 ; -4.523433e+08 + i -7.104025e+07 ; 1.113327e+09 + i -2.691300e+08 ; 1.113327e+09 + i -2.691304e+08 ; 8.023007e+08 + i -7.238182e+07 ; 1.155726e+07 + i 3.217309e+05 ; 1.155730e+07 + i 3.220506e+05 ; 3.358121e+08 + i -1.894216e+07 ; 1.612001e+06 + i -8.905901e+05 ; 1.612015e+06 + i -8.905873e+05 ; 4.548411e+08 + i -8.485337e+07 ; 2.121521e+08 + i -5.949256e+07 ; 6.760246e+06 + i -6.890146e+05 ; 2.433938e+08 + i -3.064098e+07 ; 6.151993e+07 + i -2.126760e+07 ; 7.030932e+05 + i -9.803597e+05 ; 4.548410e+08 + i -8.485366e+07 ; 6.759294e+06 + i -6.899903e+05 ; 2.121521e+08 + i -5.949258e+07 ; 2.433938e+08 + i -3.064104e+07 ; 7.027502e+05 + i -9.806208e+05 ; 6.151992e+07 + i -2.126761e+07 ; 2.698363e+08 + i -7.558235e+07 ; 1.538474e+08 + i -4.635497e+07 ; 1.538474e+08 + i -4.635496e+07 ; 1.790674e+08 + i -3.415135e+07 ; 5.075077e+07 + i -1.833265e+07 ; 5.075076e+07 + i -1.833269e+07 ; 
5.425116e+06 + i -1.071506e+07 ; -3.088868e+10 + i 3.560869e+09 ; 3.679813e+06 + i -1.141707e+07 ; -1.506566e+08 + i -3.999302e+07 ; -6.222576e+09 + i 1.228168e+09 ; -6.245084e+06 + i -9.526815e+06 ; 2.908496e+08 + i 8.096066e+07 ; 1.292585e+10 + i -2.379831e+09 ; 2.882197e+08 + i 7.972930e+07 ; 3.413629e+09 + i -6.457897e+08 ; 9.335162e+07 + i -4.964608e+08 ; 1.105171e+08 + i 2.101110e+07 ; -4.592769e+06 + i -8.933982e+06 ; -6.225701e+09 + i 1.227357e+09 ; -1.538419e+08 + i -4.108007e+07 ; -8.959066e+07 + i -2.049807e+07 ; -1.805437e+09 + i 5.389806e+08 ; -9.255983e+07 + i -2.135712e+07 ; 1.129855e+08 + i 2.209123e+07 ; 9.090823e+07 + i -4.972959e+08 ; 3.406480e+09 + i -6.484885e+08 ; 1.122182e+09 + i -2.663960e+08 ; -4.632477e+08 + i -7.366141e+07 ; 1.115570e+09 + i -2.686758e+08 ; 9.518627e+06 + i 4.234623e+05 ; -2.662094e+08 + i 7.210369e+07 ; -6.099103e+06 + i -2.315042e+06 ; 8.106681e+06 + i 1.245445e+06 ; -1.030279e+08 + i 2.854315e+07 ; -3.225532e+06 + i -9.576678e+05 ; 3.186354e+08 + i -3.015250e+07 ; -1.950973e+08 + i 3.155255e+07 ; -1.075402e+06 + i -1.110202e+06 ; 1.244367e+08 + i -2.960948e+06 ; -8.668753e+07 + i 1.999465e+07 ; -1.761923e+06 + i -6.841544e+05 ; 3.538967e+06 + i -1.130422e+06 ; -2.158215e+08 + i 6.066357e+07 ; -1.410500e+07 + i -3.280427e+06 ; 5.732934e+06 + i 3.334610e+05 ; -9.100670e+07 + i 2.623129e+07 ; -5.559559e+06 + i -1.110594e+06 ; 2.297729e+08 + i -2.736720e+07 ; -1.641598e+08 + i 3.130388e+07 ; 5.456840e+07 + i -1.727682e+07 ; 1.017320e+08 + i -4.848710e+06 ; -7.767700e+07 + i 1.900726e+07 ; 1.192977e+07 + i -5.266445e+06 ; 
5.425094e+06 + i -1.071686e+07 ; 3.679826e+06 + i -1.141710e+07 ; -3.088868e+10 + i 3.560870e+09 ; -1.506566e+08 + i -3.999300e+07 ; -6.245065e+06 + i -9.526861e+06 ; -6.222576e+09 + i 1.228164e+09 ; -4.592829e+06 + i -8.935175e+06 ; -1.538416e+08 + i -4.107942e+07 ; -6.225680e+09 + i 1.227377e+09 ; -8.959091e+07 + i -2.049812e+07 ; -9.255964e+07 + i -2.135674e+07 ; -1.805429e+09 + i 5.389846e+08 ; 2.908496e+08 + i 8.096056e+07 ; 2.882198e+08 + i 7.972968e+07 ; 1.292586e+10 + i -2.379821e+09 ; 3.413629e+09 + i -6.457897e+08 ; 1.105173e+08 + i 2.101137e+07 ; 9.335801e+07 + i -4.964561e+08 ; 1.129859e+08 + i 2.208943e+07 ; 3.406480e+09 + i -6.484885e+08 ; 9.090809e+07 + i -4.972964e+08 ; 1.122182e+09 + i -2.663961e+08 ; 1.115570e+09 + i -2.686759e+08 ; -4.632481e+08 + i -7.366442e+07 ; 9.518643e+06 + i 4.239331e+05 ; -6.099103e+06 + i -2.315036e+06 ; -2.662093e+08 + i 7.210333e+07 ; 8.106669e+06 + i 1.245510e+06 ; -3.225530e+06 + i -9.576700e+05 ; -1.030279e+08 + i 2.854306e+07 ; 3.538961e+06 + i -1.129868e+06 ; -1.410498e+07 + i -3.280400e+06 ; -2.158213e+08 + i 6.066342e+07 ; 5.732905e+06 + i 3.336366e+05 ; -5.559556e+06 + i -1.110593e+06 ; -9.100682e+07 + i 2.623109e+07 ; 3.186355e+08 + i -3.015254e+07 ; -1.075379e+06 + i -1.110143e+06 ; -1.950964e+08 + i 3.155319e+07 ; 1.244367e+08 + i -2.960960e+06 ; -1.761911e+06 + i -6.841316e+05 ; -8.668714e+07 + i 1.999488e+07 ; 2.297729e+08 + i -2.736672e+07 ; 5.456840e+07 + i -1.727682e+07 ; -1.641597e+08 + i 3.130393e+07 ; 1.017320e+08 + i -4.848613e+06 ; 1.192977e+07 + i -5.266449e+06 ; -7.767698e+07 + i 1.900724e+07 ; 
1.294590e+10 + i -2.372738e+09 ; -2.906993e+08 + i -8.091028e+07 ; -2.906996e+08 + i -8.091084e+07 ; -3.083280e+10 + i 3.575778e+09 ; -7.907269e+06 + i 9.454670e+06 ; -7.907288e+06 + i 9.455634e+06 ; 1.071331e+08 + i -4.923743e+08 ; -3.414315e+09 + i 6.435822e+08 ; -1.128143e+08 + i -2.180497e+07 ; -6.188207e+09 + i 1.235543e+09 ; 1.418233e+08 + i 3.806538e+07 ; 2.097630e+06 + i 7.757996e+06 ; 1.071329e+08 + i -4.923763e+08 ; -1.128090e+08 + i -2.179978e+07 ; -3.414315e+09 + i 6.435824e+08 ; -6.188208e+09 + i 1.235543e+09 ; 2.099140e+06 + i 7.758707e+06 ; 1.418233e+08 + i 3.806538e+07 ; -4.523437e+08 + i -7.103834e+07 ; -1.120524e+09 + i 2.667285e+08 ; -1.120524e+09 + i 2.667288e+08 ; -1.782465e+09 + i 5.425893e+08 ; 8.174519e+07 + i 1.873274e+07 ; 8.174540e+07 + i 1.873316e+07 ; 2.480873e+09 + i -4.601682e+08 ; 9.482173e+07 + i 2.485567e+07 ; 9.482180e+07 + i 2.485587e+07 ; 8.023058e+08 + i -7.237988e+07 ; 2.488904e+07 + i 2.442040e+06 ; 2.488907e+07 + i 2.441850e+06 ; 8.423484e+08 + i -2.343860e+08 ; 1.035204e+09 + i -2.021001e+08 ; 5.740319e+07 + i 1.250751e+07 ; 4.548412e+08 + i -8.485679e+07 ; 2.029082e+08 + i -6.161335e+07 ; 1.765131e+07 + i 1.093809e+06 ; 8.423485e+08 + i -2.343847e+08 ; 5.740153e+07 + i 1.250582e+07 ; 1.035204e+09 + i -2.021002e+08 ; 4.548412e+08 + i -8.485619e+07 ; 1.765042e+07 + i 1.093161e+06 ; 2.029081e+08 + i -6.161340e+07 ; 3.012811e+08 + i -1.275020e+08 ; 5.623366e+08 + i -1.238490e+08 ; 5.623365e+08 + i -1.238491e+08 ; 2.698340e+08 + i -7.558713e+07 ; 1.501099e+08 + i -4.683704e+07 ; 1.501099e+08 + i -4.683722e+07 ; 
1.588536e+08 + i 4.334257e+07 ; -6.222573e+09 + i 1.228144e+09 ; -6.522926e+06 + i -9.648053e+06 ; 4.203106e+06 + i 1.267851e+07 ; -3.087419e+10 + i 3.565180e+09 ; 3.115044e+06 + i -1.157604e+07 ; -3.417556e+09 + i 6.339742e+08 ; 9.335113e+07 + i -4.964598e+08 ; 1.102685e+08 + i 2.107816e+07 ; -2.673417e+08 + i -7.587440e+07 ; 1.293351e+10 + i -2.376351e+09 ; 2.877805e+08 + i 7.998787e+07 ; 9.675681e+07 + i 2.297996e+07 ; -1.805437e+09 + i 5.389723e+08 ; -9.289132e+07 + i -2.160871e+07 ; 1.254187e+07 + i 1.043755e+07 ; -6.212570e+09 + i 1.231176e+09 ; -1.554022e+08 + i -4.155672e+07 ; -1.115712e+09 + i 2.654857e+08 ; -4.632475e+08 + i -7.366139e+07 ; 1.117006e+09 + i -2.673933e+08 ; -9.398751e+07 + i -1.746367e+07 ; 9.851981e+07 + i -4.940054e+08 ; 3.408660e+09 + i -6.447437e+08 ; -6.211335e+07 + i -1.765706e+07 ; -1.213989e+09 + i 2.351149e+08 ; -7.828651e+06 + i -4.359956e+06 ; -1.863965e+07 + i -9.459043e+06 ; -2.662129e+08 + i 7.210030e+07 ; -5.018591e+06 + i -2.007156e+06 ; 1.045600e+09 + i -1.982416e+08 ; -3.759036e+08 + i -6.478723e+06 ; 2.012750e+07 + i 3.870036e+06 ; 3.313537e+08 + i -2.714857e+07 ; -1.950978e+08 + i 3.155129e+07 ; 1.617845e+06 + i -7.255708e+05 ; -4.725194e+07 + i -1.237663e+07 ; -7.377525e+08 + i 1.673078e+08 ; -3.338314e+07 + i -8.542456e+06 ; -1.814404e+07 + i -8.054069e+06 ; -2.158244e+08 + i 6.066121e+07 ; -1.288457e+07 + i -2.672647e+06 ; 5.691104e+08 + i -1.215236e+08 ; -3.358425e+08 + i 2.387649e+07 ; 3.198163e+08 + i -7.289455e+07 ; 2.300733e+08 + i -2.832900e+07 ; -1.641602e+08 + i 3.130315e+07 ; 5.027256e+07 + i -1.833238e+07 ; 
1.588535e+08 + i 4.334270e+07 ; -6.522905e+06 + i -9.648103e+06 ; -6.222574e+09 + i 1.228140e+09 ; 4.203155e+06 + i 1.267970e+07 ; 3.115057e+06 + i -1.157607e+07 ; -3.087419e+10 + i 3.565182e+09 ; 9.675690e+07 + i 2.298035e+07 ; -9.289113e+07 + i -2.160833e+07 ; -1.805430e+09 + i 5.389763e+08 ; 1.254193e+07 + i 1.043835e+07 ; -1.554020e+08 + i -4.155607e+07 ; -6.212550e+09 + i 1.231195e+09 ; -3.417556e+09 + i 6.339742e+08 ; 1.102687e+08 + i 2.107844e+07 ; 9.335745e+07 + i -4.964551e+08 ; -2.673417e+08 + i -7.587435e+07 ; 2.877807e+08 + i 7.998825e+07 ; 1.293352e+10 + i -2.376341e+09 ; -1.115712e+09 + i 2.654859e+08 ; 1.117006e+09 + i -2.673934e+08 ; -4.632484e+08 + i -7.366376e+07 ; -9.398768e+07 + i -1.746280e+07 ; 3.408660e+09 + i -6.447437e+08 ; 9.851969e+07 + i -4.940058e+08 ; -6.211331e+07 + i -1.765717e+07 ; -7.828654e+06 + i -4.359942e+06 ; -1.213989e+09 + i 2.351160e+08 ; -1.863966e+07 + i -9.459360e+06 ; -5.018587e+06 + i -2.007161e+06 ; -2.662129e+08 + i 7.210047e+07 ; -4.725192e+07 + i -1.237658e+07 ; -3.338310e+07 + i -8.542343e+06 ; -7.377510e+08 + i 1.673095e+08 ; -1.814407e+07 + i -8.054206e+06 ; -1.288456e+07 + i -2.672621e+06 ; -2.158245e+08 + i 6.066115e+07 ; 1.045600e+09 + i -1.982416e+08 ; 2.012754e+07 + i 3.870156e+06 ; -3.759013e+08 + i -6.476330e+06 ; 3.313537e+08 + i -2.714859e+07 ; 1.617871e+06 + i -7.255198e+05 ; -1.950968e+08 + i 3.155204e+07 ; 5.691105e+08 + i -1.215237e+08 ; 3.198163e+08 + i -7.289453e+07 ; -3.358424e+08 + i 2.387726e+07 ; 2.300733e+08 + i -2.832922e+07 ; 5.027257e+07 + i -1.833239e+07 ; -1.641601e+08 + i 3.130318e+07 ; 
-6.219347e+09 + i 1.230014e+09 ; 1.568376e+08 + i 4.304337e+07 ; -6.696666e+06 + i -9.693889e+06 ; 1.074663e+08 + i -4.922480e+08 ; -3.422547e+09 + i 6.316257e+08 ; 1.097496e+08 + i 2.090300e+07 ; -3.088155e+10 + i 3.564169e+09 ; -3.155021e+06 + i 1.169152e+07 ; 3.220572e+06 + i -1.153802e+07 ; 1.294593e+10 + i -2.372730e+09 ; -2.900088e+08 + i -8.225015e+07 ; 2.875511e+08 + i 7.998885e+07 ; -1.802744e+09 + i 5.403953e+08 ; 9.362963e+07 + i 2.221082e+07 ; -9.314701e+07 + i -2.166199e+07 ; -4.522390e+08 + i -7.101045e+07 ; -1.119822e+09 + i 2.636946e+08 ; 1.115109e+09 + i -2.676793e+08 ; -6.219360e+09 + i 1.230026e+09 ; 6.727763e+06 + i 9.792799e+06 ; -1.546326e+08 + i -4.147376e+07 ; 1.071378e+08 + i -4.923817e+08 ; -1.102815e+08 + i -2.152193e+07 ; 3.408905e+09 + i -6.443648e+08 ; 4.548580e+08 + i -8.484442e+07 ; -2.134920e+08 + i 5.847572e+07 ; 6.769583e+06 + i -6.801420e+05 ; 2.434020e+08 + i -3.063480e+07 ; -6.194127e+07 + i 2.098836e+07 ; 7.054918e+05 + i -9.807591e+05 ; 8.023006e+08 + i -7.238164e+07 ; -1.169126e+07 + i -4.180896e+05 ; 1.157088e+07 + i 3.416114e+05 ; 3.358114e+08 + i -1.894318e+07 ; -1.656301e+06 + i 8.755808e+05 ; 1.615420e+06 + i -8.888700e+05 ; 2.698512e+08 + i -7.557464e+07 ; -1.548382e+08 + i 4.563264e+07 ; 1.541083e+08 + i -4.616560e+07 ; 1.790746e+08 + i -3.414622e+07 ; -5.110329e+07 + i 1.810589e+07 ; 5.084166e+07 + i -1.827390e+07 ; 4.548410e+08 + i -8.485352e+07 ; -6.854063e+06 + i 6.349963e+05 ; 2.125047e+08 + i -5.922608e+07 ; 2.433933e+08 + i -3.064178e+07 ; -7.381025e+05 + i 9.734138e+05 ; 6.162858e+07 + i -2.119522e+07 ; 
-2.929476e+08 + i -8.225060e+07 ; 1.292585e+10 + i -2.379794e+09 ; -2.884419e+08 + i -8.028753e+07 ; -3.418424e+09 + i 6.414297e+08 ; 9.368363e+07 + i -4.963186e+08 ; -1.106175e+08 + i -2.121459e+07 ; -5.379063e+06 + i 1.078617e+07 ; -3.088868e+10 + i 3.560868e+09 ; -3.701876e+06 + i 1.141708e+07 ; 1.526628e+08 + i 4.103653e+07 ; -6.222605e+09 + i 1.228132e+09 ; 6.237617e+06 + i 9.543396e+06 ; -1.133590e+08 + i -2.235934e+07 ; 9.089832e+07 + i -4.972973e+08 ; -3.411653e+09 + i 6.438369e+08 ; -1.123853e+09 + i 2.650131e+08 ; -4.631449e+08 + i -7.363135e+07 ; -1.117353e+09 + i 2.672209e+08 ; 4.625909e+06 + i 8.984043e+06 ; -6.225700e+09 + i 1.227358e+09 ; 1.539629e+08 + i 4.137591e+07 ; 8.994354e+07 + i 2.073398e+07 ; -1.805441e+09 + i 5.389776e+08 ; 9.263797e+07 + i 2.153113e+07 ; -3.189664e+08 + i 2.974855e+07 ; -1.950664e+08 + i 3.156633e+07 ; 1.074971e+06 + i 1.113214e+06 ; -1.245436e+08 + i 2.800189e+06 ; -8.667953e+07 + i 1.999714e+07 ; 1.762977e+06 + i 6.877580e+05 ; -9.414380e+06 + i -3.741281e+05 ; -2.662073e+08 + i 7.210485e+07 ; 6.102815e+06 + i 2.327105e+06 ; -8.065976e+06 + i -1.229021e+06 ; -1.030268e+08 + i 2.854400e+07 ; 3.227908e+06 + i 9.638358e+05 ; -2.300208e+08 + i 2.707939e+07 ; -1.641392e+08 + i 3.131036e+07 ; -5.466226e+07 + i 1.721068e+07 ; -1.018231e+08 + i 4.718685e+06 ; -7.767063e+07 + i 1.900866e+07 ; -1.195267e+07 + i 5.253797e+06 ; -3.467582e+06 + i 1.164622e+06 ; -2.158207e+08 + i 6.066405e+07 ; 1.411688e+07 + i 3.306932e+06 ; -5.700287e+06 + i -3.203784e+05 ; -9.100587e+07 + i 2.623202e+07 ; 5.564533e+06 + i 1.120824e+06 ; 
-4.592758e+06 + i -8.963544e+06 ; 1.542719e+08 + i 4.216982e+07 ; -6.225678e+09 + i 1.227350e+09 ; -8.966279e+07 + i -2.065677e+07 ; 9.283985e+07 + i 2.200116e+07 ; -1.805430e+09 + i 5.389744e+08 ; 5.442943e+06 + i -1.072408e+07 ; -3.758548e+06 + i 1.144074e+07 ; -3.088868e+10 + i 3.560868e+09 ; -1.507666e+08 + i -4.026072e+07 ; 6.227768e+06 + i 9.613438e+06 ; -6.222575e+09 + i 1.228159e+09 ; 1.134321e+08 + i 2.243138e+07 ; -3.425180e+09 + i 6.312206e+08 ; 9.090748e+07 + i -4.972954e+08 ; 1.123962e+09 + i -2.649674e+08 ; -1.122171e+09 + i 2.631898e+08 ; -4.632485e+08 + i -7.366365e+07 ; 2.910427e+08 + i 8.146627e+07 ; -2.889957e+08 + i -8.176783e+07 ; 1.292586e+10 + i -2.379822e+09 ; 3.418364e+09 + i -6.414979e+08 ; -1.112175e+08 + i -2.190003e+07 ; 9.335781e+07 + i -4.964560e+08 ; 3.544780e+06 + i -1.124695e+06 ; 1.414868e+07 + i 3.379919e+06 ; -2.158215e+08 + i 6.066317e+07 ; 5.739142e+06 + i 3.433481e+05 ; 5.578083e+06 + i 1.149222e+06 ; -9.100686e+07 + i 2.623118e+07 ; 9.529541e+06 + i 4.389249e+05 ; 6.114285e+06 + i 2.363563e+06 ; -2.662093e+08 + i 7.210270e+07 ; 8.114299e+06 + i 1.259116e+06 ; 3.234979e+06 + i 9.819197e+05 ; -1.030280e+08 + i 2.854280e+07 ; 2.300761e+08 + i -2.705322e+07 ; -5.492793e+07 + i 1.702240e+07 ; -1.641597e+08 + i 3.130390e+07 ; 1.018550e+08 + i -4.701448e+06 ; -1.201960e+07 + i 5.216728e+06 ; -7.767698e+07 + i 1.900722e+07 ; 3.190349e+08 + i -2.971702e+07 ; 1.049312e+06 + i 1.112880e+06 ; -1.950964e+08 + i 3.155319e+07 ; 1.245796e+08 + i -2.781261e+06 ; 1.758156e+06 + i 6.952402e+05 ; -8.668715e+07 + i 1.999490e+07 ; 
1.073692e+08 + i -4.925010e+08 ; 3.432872e+09 + i -6.264194e+08 ; -1.129165e+08 + i -2.199371e+07 ; -6.188201e+09 + i 1.235565e+09 ; -1.435583e+08 + i -3.834441e+07 ; 2.088543e+06 + i 7.772186e+06 ; 1.294593e+10 + i -2.372739e+09 ; 2.928257e+08 + i 8.224757e+07 ; -2.909245e+08 + i -8.144593e+07 ; -3.083280e+10 + i 3.575780e+09 ; 7.983778e+06 + i -9.454971e+06 ; -7.931023e+06 + i 9.455502e+06 ; -4.522779e+08 + i -7.108353e+07 ; 1.126964e+09 + i -2.613400e+08 ; -1.122260e+09 + i 2.653619e+08 ; -1.782454e+09 + i 5.425948e+08 ; -8.216940e+07 + i -1.916758e+07 ; 8.181469e+07 + i 1.887819e+07 ; 1.071358e+08 + i -4.923772e+08 ; 1.133467e+08 + i 2.242989e+07 ; -3.419349e+09 + i 6.392167e+08 ; -6.188208e+09 + i 1.235544e+09 ; -2.097317e+06 + i -7.804629e+06 ; 1.419351e+08 + i 3.832395e+07 ; 8.422783e+08 + i -2.343455e+08 ; -1.040761e+09 + i 1.968802e+08 ; 5.745290e+07 + i 1.260666e+07 ; 4.548218e+08 + i -8.484109e+07 ; -2.041033e+08 + i 6.067066e+07 ; 1.767068e+07 + i 1.120683e+06 ; 2.480871e+09 + i -4.601681e+08 ; -9.482106e+07 + i -2.565733e+07 ; 9.489742e+07 + i 2.502910e+07 ; 8.023039e+08 + i -7.238141e+07 ; -2.492421e+07 + i -2.631722e+06 ; 2.491510e+07 + i 2.482536e+06 ; 3.012460e+08 + i -1.274784e+08 ; -5.654360e+08 + i 1.210722e+08 ; 5.631925e+08 + i -1.231512e+08 ; 2.698211e+08 + i -7.557588e+07 ; -1.510018e+08 + i 4.614472e+07 ; 1.503591e+08 + i -4.666729e+07 ; 8.423478e+08 + i -2.343847e+08 ; -5.745599e+07 + i -1.296310e+07 ; 1.036741e+09 + i -2.007849e+08 ; 4.548401e+08 + i -8.485711e+07 ; -1.767836e+07 + i -1.225174e+06 ; 2.032425e+08 + i -6.138183e+07 ; 
3.422128e+09 + i -6.298354e+08 ; 9.358838e+07 + i -4.965774e+08 ; -1.103680e+08 + i -2.127032e+07 ; 2.688582e+08 + i 7.561865e+07 ; 1.293352e+10 + i -2.376348e+09 ; -2.880026e+08 + i -8.051701e+07 ; -1.603075e+08 + i -4.289984e+07 ; -6.222607e+09 + i 1.228143e+09 ; 6.516334e+06 + i 9.664459e+06 ; -4.206136e+06 + i -1.270410e+07 ; -3.087420e+10 + i 3.565179e+09 ; -3.135585e+06 + i 1.157724e+07 ; 1.117312e+09 + i -2.642011e+08 ; -4.631816e+08 + i -7.370488e+07 ; -1.118739e+09 + i 2.660327e+08 ; 9.423768e+07 + i 1.749120e+07 ; 9.851054e+07 + i -4.940098e+08 ; -3.413690e+09 + i 6.403878e+08 ; -9.700870e+07 + i -2.301797e+07 ; -1.805441e+09 + i 5.389733e+08 ; 9.296935e+07 + i 2.177436e+07 ; -1.257702e+07 + i -1.046665e+07 ; -6.212570e+09 + i 1.231177e+09 ; 1.555247e+08 + i 4.184017e+07 ; -1.047080e+09 + i 1.970241e+08 ; -3.759739e+08 + i -6.438477e+06 ; -2.014554e+07 + i -3.904870e+06 ; -3.317950e+08 + i 2.673375e+07 ; -1.951130e+08 + i 3.155846e+07 ; -1.620831e+06 + i 7.238833e+05 ; 6.189192e+07 + i 1.790144e+07 ; -1.213988e+09 + i 2.351141e+08 ; 7.831513e+06 + i 4.375590e+06 ; 1.855851e+07 + i 9.533796e+06 ; -2.662122e+08 + i 7.210107e+07 ; 5.021545e+06 + i 2.016630e+06 ; -5.699338e+08 + i 1.208764e+08 ; -3.358784e+08 + i 2.389736e+07 ; -3.203069e+08 + i 7.250065e+07 ; -2.303927e+08 + i 2.805259e+07 ; -1.641713e+08 + i 3.130768e+07 ; -5.036002e+07 + i 1.827866e+07 ; 4.716499e+07 + i 1.252324e+07 ; -7.377518e+08 + i 1.673077e+08 ; 3.341005e+07 + i 8.602834e+06 ; 1.809577e+07 + i 8.116611e+06 ; -2.158236e+08 + i 6.066219e+07 ; 1.289589e+07 + i 2.695223e+06 ; 
9.683208e+07 + i 2.314239e+07 ; 9.317027e+07 + i 2.224615e+07 ; -1.805430e+09 + i 5.389664e+08 ; 1.254968e+07 + i 1.046551e+07 ; 1.558334e+08 + i 4.264524e+07 ; -6.212548e+09 + i 1.231169e+09 ; 1.589652e+08 + i 4.361359e+07 ; 6.507578e+06 + i 9.722927e+06 ; -6.222573e+09 + i 1.228136e+09 ; 4.193968e+06 + i 1.269945e+07 ; -3.191888e+06 + i 1.160014e+07 ; -3.087419e+10 + i 3.565179e+09 ; -1.117399e+09 + i 2.642432e+08 ; -1.123521e+09 + i 2.620702e+08 ; -4.632487e+08 + i -7.366304e+07 ; -9.432208e+07 + i -1.749425e+07 ; -3.427194e+09 + i 6.276178e+08 ; 9.851903e+07 + i -4.940048e+08 ; -3.422124e+09 + i 6.298345e+08 ; -1.108695e+08 + i -2.168897e+07 ; 9.335729e+07 + i -4.964550e+08 ; -2.675097e+08 + i -7.633170e+07 ; -2.885474e+08 + i -8.201571e+07 ; 1.293352e+10 + i -2.376342e+09 ; -4.728605e+07 + i -1.245671e+07 ; 3.347612e+07 + i 8.774351e+06 ; -7.377510e+08 + i 1.673082e+08 ; -1.815258e+07 + i -8.088039e+06 ; 1.292351e+07 + i 2.759473e+06 ; -2.158246e+08 + i 6.066136e+07 ; -6.215562e+07 + i -1.776356e+07 ; 7.833277e+06 + i 4.423350e+06 ; -1.213989e+09 + i 2.351162e+08 ; -1.864708e+07 + i -9.495914e+06 ; 5.026806e+06 + i 2.044946e+06 ; -2.662129e+08 + i 7.210024e+07 ; 5.698643e+08 + i -1.208387e+08 ; -3.215782e+08 + i 7.131911e+07 ; -3.358423e+08 + i 2.387718e+07 ; 2.303532e+08 + i -2.803075e+07 ; -5.058378e+07 + i 1.811063e+07 ; -1.641601e+08 + i 3.130313e+07 ; 1.047004e+09 + i -1.969792e+08 ; -2.011479e+07 + i -4.042998e+06 ; -3.759014e+08 + i -6.476199e+06 ; 3.317470e+08 + i -2.671113e+07 ; -1.612604e+06 + i 7.103579e+05 ; -1.950968e+08 + i 3.155214e+07 ; 
-6.219349e+09 + i 1.230008e+09 ; -6.707081e+06 + i -9.700947e+06 ; 1.567078e+08 + i 4.281579e+07 ; 1.074423e+08 + i -4.922905e+08 ; 1.100433e+08 + i 2.097655e+07 ; -3.422623e+09 + i 6.316320e+08 ; -1.802755e+09 + i 5.403818e+08 ; -9.313539e+07 + i -2.164711e+07 ; 9.361150e+07 + i 2.218498e+07 ; -4.522560e+08 + i -7.103842e+07 ; 1.115237e+09 + i -2.676540e+08 ; -1.119961e+09 + i 2.636605e+08 ; -3.088155e+10 + i 3.564168e+09 ; 3.220282e+06 + i -1.150540e+07 ; -3.155475e+06 + i 1.167044e+07 ; 1.294593e+10 + i -2.372732e+09 ; 2.874631e+08 + i 7.976904e+07 ; -2.898702e+08 + i -8.201285e+07 ; -6.219358e+09 + i 1.230016e+09 ; -1.545228e+08 + i -4.123347e+07 ; 6.718556e+06 + i 9.778970e+06 ; 1.071286e+08 + i -4.924164e+08 ; 3.408988e+09 + i -6.443777e+08 ; -1.105736e+08 + i -2.158817e+07 ; 4.548554e+08 + i -8.484592e+07 ; 6.787549e+06 + i -6.811986e+05 ; -2.134904e+08 + i 5.848488e+07 ; 2.434010e+08 + i -3.063592e+07 ; 7.105582e+05 + i -9.821273e+05 ; -6.193952e+07 + i 2.099244e+07 ; 2.698467e+08 + i -7.557898e+07 ; 1.541259e+08 + i -4.616589e+07 ; -1.548552e+08 + i 4.563346e+07 ; 1.790730e+08 + i -3.414829e+07 ; 5.084734e+07 + i -1.827500e+07 ; -5.110846e+07 + i 1.810723e+07 ; 8.023004e+08 + i -7.238185e+07 ; 1.156372e+07 + i 3.300854e+05 ; -1.168194e+07 + i -4.058983e+05 ; 3.358112e+08 + i -1.894333e+07 ; 1.612206e+06 + i -8.935298e+05 ; -1.652404e+06 + i 8.803675e+05 ; 4.548389e+08 + i -8.485564e+07 ; 2.125046e+08 + i -5.923469e+07 ; -6.870880e+06 + i 6.365103e+05 ; 2.433924e+08 + i -3.064300e+07 ; 6.162745e+07 + i -2.119914e+07 ; -7.426144e+05 + i 9.749953e+05 ; 
