-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.489581e-02 + i 9.070142e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.048562e-01 + i 1.075099e-01 ; -1.357207e-02 + i 4.943722e-03 ; -1.357207e-02 + i 4.943722e-03 ; 2.747121e-05 + i -8.338693e-06 ; -0.000000e+00 + i 0.000000e+00 ; -3.739403e-02 + i 1.362104e-02 ; 1.249822e-02 + i -4.550895e-03 ; -3.739403e-02 + i 1.362104e-02 ; -0.000000e+00 + i 0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.410456e-01 + i -5.137517e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.821682e-03 + i 3.215027e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.856919e-03 + i 1.042319e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.360369e-02 + i 4.956906e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.452810e-03 + i 1.259376e-03 ; 6.576370e-03 + i -2.395489e-03 ; -3.802376e-03 + i 1.385042e-03 ; -2.502514e-03 + i 9.132255e-04 ; 2.105614e-03 + i -7.669843e-04 ; -7.714166e-04 + i 2.809937e-04 ; -1.642986e-03 + i 6.001348e-04 ; 1.149904e-02 + i -4.188606e-03 ; -0.000000e+00 + i 0.000000e+00 ; -2.173079e-03 + i 7.932270e-04 ; 2.784447e-03 + i -1.014254e-03 ; -0.000000e+00 + i 0.000000e+00 ; -1.836804e-03 + i 6.707348e-04 ; 
-7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i 0.000000e+00 ; -3.739403e-02 + i 1.362104e-02 ; -2.489581e-02 + i 9.070142e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.747121e-05 + i -8.338693e-06 ; 1.357207e-02 + i -4.943722e-03 ; -1.357207e-02 + i 4.943722e-03 ; 7.048562e-01 + i 1.075099e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.410456e-01 + i -5.137517e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; 3.739403e-02 + i -1.362104e-02 ; -0.000000e+00 + i 0.000000e+00 ; 4.743346e-03 + i -1.726130e-03 ; -0.000000e+00 + i 0.000000e+00 ; -2.784447e-03 + i 1.014254e-03 ; 2.220415e-03 + i -8.071355e-04 ; -0.000000e+00 + i 0.000000e+00 ; -9.211024e-04 + i 3.355174e-04 ; 3.332960e-03 + i -1.212387e-03 ; 2.105614e-03 + i -7.669843e-04 ; -2.105614e-03 + i 7.669843e-04 ; 1.819575e-03 + i -6.611272e-04 ; 7.832431e-04 + i -2.853012e-04 ; -7.832431e-04 + i 2.853012e-04 ; 6.958389e-03 + i -2.532974e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.736799e-03 + i -9.952320e-04 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.743346e-03 + i -1.726130e-03 ; 2.784447e-03 + i -1.014254e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.220415e-03 + i -8.071355e-04 ; 9.211024e-04 + i -3.355174e-04 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.489581e-02 + i 9.070142e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; -3.739403e-02 + i 1.362104e-02 ; 1.357207e-02 + i -4.943722e-03 ; 2.747121e-05 + i -8.338693e-06 ; -1.357207e-02 + i 4.943722e-03 ; -0.000000e+00 + i -0.000000e+00 ; 7.048562e-01 + i 1.075099e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.410456e-01 + i -5.137517e-02 ; -0.000000e+00 + i 0.000000e+00 ; 3.739403e-02 + i -1.362104e-02 ; 1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.856919e-03 + i 1.042319e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.214876e-03 + i 4.441908e-04 ; -0.000000e+00 + i -0.000000e+00 ; 2.105614e-03 + i -7.669843e-04 ; -1.642986e-03 + i 6.001348e-04 ; -7.714166e-04 + i 2.809937e-04 ; 7.832431e-04 + i -2.853012e-04 ; -8.915528e-04 + i 3.264180e-04 ; -2.100105e-04 + i 7.649764e-05 ; -0.000000e+00 + i -0.000000e+00 ; -3.452810e-03 + i 1.259376e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.348935e-03 + i 4.930231e-04 ; -0.000000e+00 + i -0.000000e+00 ; 2.784447e-03 + i -1.014254e-03 ; -1.836804e-03 + i 6.707348e-04 ; -0.000000e+00 + i 0.000000e+00 ; 9.211024e-04 + i -3.355174e-04 ; -9.679011e-04 + i 3.542287e-04 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.410456e-01 + i -5.137517e-02 ; -3.739403e-02 + i 1.362104e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.739403e-02 + i 1.362104e-02 ; 1.249822e-02 + i -4.550895e-03 ; -1.357207e-02 + i 4.943722e-03 ; -1.357207e-02 + i 4.943722e-03 ; 2.747121e-05 + i -8.338693e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.048562e-01 + i 1.075099e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.489581e-02 + i 9.070142e-03 ; -2.784447e-03 + i 1.014254e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.836804e-03 + i 6.707348e-04 ; -9.211024e-04 + i 3.355174e-04 ; -0.000000e+00 + i -0.000000e+00 ; -9.679011e-04 + i 3.542287e-04 ; -2.105614e-03 + i 7.669843e-04 ; -7.714166e-04 + i 2.809937e-04 ; -1.642986e-03 + i 6.001348e-04 ; -7.832431e-04 + i 2.853012e-04 ; -2.100105e-04 + i 7.649764e-05 ; -8.915528e-04 + i 3.264180e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.452810e-03 + i 1.259376e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.348935e-03 + i 4.930231e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.856919e-03 + i 1.042319e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.214876e-03 + i 4.441908e-04 ; 
1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i -0.000000e+00 ; 3.739403e-02 + i -1.362104e-02 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.747121e-05 + i -8.338693e-06 ; -1.357207e-02 + i 4.943722e-03 ; 1.357207e-02 + i -4.943722e-03 ; -2.489581e-02 + i 9.070142e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.410456e-01 + i -5.137517e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.048562e-01 + i 1.075099e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; -3.739403e-02 + i 1.362104e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.106639e-02 + i -4.029343e-03 ; -0.000000e+00 + i 0.000000e+00 ; -1.149904e-02 + i 4.188606e-03 ; 4.743346e-03 + i -1.726130e-03 ; -0.000000e+00 + i 0.000000e+00 ; -2.784447e-03 + i 1.014254e-03 ; 5.069219e-03 + i -1.844831e-03 ; 6.576370e-03 + i -2.395489e-03 ; -6.576370e-03 + i 2.395489e-03 ; 3.332960e-03 + i -1.212387e-03 ; 2.105614e-03 + i -7.669843e-04 ; -2.105614e-03 + i 7.669843e-04 ; 2.728990e-02 + i -9.938870e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 6.958389e-03 + i -2.532974e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.106639e-02 + i -4.029343e-03 ; 1.149904e-02 + i -4.188606e-03 ; -0.000000e+00 + i 0.000000e+00 ; 4.743346e-03 + i -1.726130e-03 ; 2.784447e-03 + i -1.014254e-03 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -2.489581e-02 + i 9.070142e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.357207e-02 + i 4.943722e-03 ; 2.747121e-05 + i -8.338693e-06 ; -1.357207e-02 + i 4.943722e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; -3.739403e-02 + i 1.362104e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.048562e-01 + i 1.075099e-01 ; -0.000000e+00 + i -0.000000e+00 ; -3.739403e-02 + i 1.362104e-02 ; 1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.410456e-01 + i -5.137517e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.821682e-03 + i 3.215027e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.856919e-03 + i 1.042319e-03 ; -0.000000e+00 + i -0.000000e+00 ; 6.576370e-03 + i -2.395489e-03 ; -2.502514e-03 + i 9.132255e-04 ; -3.802376e-03 + i 1.385042e-03 ; 2.105614e-03 + i -7.669843e-04 ; -1.642986e-03 + i 6.001348e-04 ; -7.714166e-04 + i 2.809937e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.360369e-02 + i 4.956906e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.452810e-03 + i 1.259376e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.149904e-02 + i -4.188606e-03 ; -2.173079e-03 + i 7.932270e-04 ; -0.000000e+00 + i 0.000000e+00 ; 2.784447e-03 + i -1.014254e-03 ; -1.836804e-03 + i 6.707348e-04 ; -0.000000e+00 + i 0.000000e+00 ; 
3.739403e-02 + i -1.362104e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.410456e-01 + i -5.137517e-02 ; 1.357207e-02 + i -4.943722e-03 ; -1.357207e-02 + i 4.943722e-03 ; 2.747121e-05 + i -8.338693e-06 ; -0.000000e+00 + i -0.000000e+00 ; -3.739403e-02 + i 1.362104e-02 ; 1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.048562e-01 + i 1.075099e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.489581e-02 + i 9.070142e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -1.149904e-02 + i 4.188606e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.173079e-03 + i 7.932270e-04 ; -2.784447e-03 + i 1.014254e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.836804e-03 + i 6.707348e-04 ; -6.576370e-03 + i 2.395489e-03 ; -3.802376e-03 + i 1.385042e-03 ; -2.502514e-03 + i 9.132255e-04 ; -2.105614e-03 + i 7.669843e-04 ; -7.714166e-04 + i 2.809937e-04 ; -1.642986e-03 + i 6.001348e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.360369e-02 + i 4.956906e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.452810e-03 + i 1.259376e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.821682e-03 + i 3.215027e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.856919e-03 + i 1.042319e-03 ; 
-2.489581e-02 + i 9.070142e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.747121e-05 + i -8.338693e-06 ; -1.357207e-02 + i 4.943722e-03 ; -1.357207e-02 + i 4.943722e-03 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i 0.000000e+00 ; -3.739403e-02 + i 1.362104e-02 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; -3.739403e-02 + i 1.362104e-02 ; -0.000000e+00 + i 0.000000e+00 ; 7.048562e-01 + i 1.075099e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.410456e-01 + i -5.137517e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 3.332960e-03 + i -1.212387e-03 ; -2.105614e-03 + i 7.669843e-04 ; -2.105614e-03 + i 7.669843e-04 ; 1.819575e-03 + i -6.611272e-04 ; -7.832431e-04 + i 2.853012e-04 ; -7.832431e-04 + i 2.853012e-04 ; 4.743346e-03 + i -1.726130e-03 ; -0.000000e+00 + i 0.000000e+00 ; -2.784447e-03 + i 1.014254e-03 ; 2.220415e-03 + i -8.071355e-04 ; -0.000000e+00 + i 0.000000e+00 ; -9.211024e-04 + i 3.355174e-04 ; 4.743346e-03 + i -1.726130e-03 ; -2.784447e-03 + i 1.014254e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.220415e-03 + i -8.071355e-04 ; -9.211024e-04 + i 3.355174e-04 ; -0.000000e+00 + i 0.000000e+00 ; 6.958389e-03 + i -2.532974e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.736799e-03 + i -9.952320e-04 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; 3.739403e-02 + i -1.362104e-02 ; -1.357207e-02 + i 4.943722e-03 ; 2.747121e-05 + i -8.338693e-06 ; 1.357207e-02 + i -4.943722e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.489581e-02 + i 9.070142e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.410456e-01 + i -5.137517e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.739403e-02 + i 1.362104e-02 ; 1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.048562e-01 + i 1.075099e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.105614e-03 + i 7.669843e-04 ; -1.642986e-03 + i 6.001348e-04 ; 7.714166e-04 + i -2.809937e-04 ; -7.832431e-04 + i 2.853012e-04 ; -8.915528e-04 + i 3.264180e-04 ; 2.100105e-04 + i -7.649764e-05 ; -0.000000e+00 + i -0.000000e+00 ; -2.856919e-03 + i 1.042319e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.214876e-03 + i 4.441908e-04 ; -0.000000e+00 + i -0.000000e+00 ; -2.784447e-03 + i 1.014254e-03 ; -1.836804e-03 + i 6.707348e-04 ; -0.000000e+00 + i -0.000000e+00 ; -9.211024e-04 + i 3.355174e-04 ; -9.679011e-04 + i 3.542287e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.452810e-03 + i 1.259376e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.348935e-03 + i 4.930231e-04 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 3.739403e-02 + i -1.362104e-02 ; 1.249822e-02 + i -4.550895e-03 ; -1.357207e-02 + i 4.943722e-03 ; 1.357207e-02 + i -4.943722e-03 ; 2.747121e-05 + i -8.338693e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.410456e-01 + i -5.137517e-02 ; -3.739403e-02 + i 1.362104e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.489581e-02 + i 9.070142e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.048562e-01 + i 1.075099e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -2.105614e-03 + i 7.669843e-04 ; 7.714166e-04 + i -2.809937e-04 ; -1.642986e-03 + i 6.001348e-04 ; -7.832431e-04 + i 2.853012e-04 ; 2.100105e-04 + i -7.649764e-05 ; -8.915528e-04 + i 3.264180e-04 ; -2.784447e-03 + i 1.014254e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.836804e-03 + i 6.707348e-04 ; -9.211024e-04 + i 3.355174e-04 ; -0.000000e+00 + i -0.000000e+00 ; -9.679011e-04 + i 3.542287e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.856919e-03 + i 1.042319e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.214876e-03 + i 4.441908e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.452810e-03 + i 1.259376e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.348935e-03 + i 4.930231e-04 ; 
2.747121e-05 + i -8.338693e-06 ; 1.357207e-02 + i -4.943722e-03 ; 1.357207e-02 + i -4.943722e-03 ; -2.489581e-02 + i 9.070142e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i -0.000000e+00 ; 3.739403e-02 + i -1.362104e-02 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; 3.739403e-02 + i -1.362104e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.410456e-01 + i -5.137517e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.048562e-01 + i 1.075099e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.069219e-03 + i -1.844831e-03 ; -6.576370e-03 + i 2.395489e-03 ; -6.576370e-03 + i 2.395489e-03 ; 3.332960e-03 + i -1.212387e-03 ; -2.105614e-03 + i 7.669843e-04 ; -2.105614e-03 + i 7.669843e-04 ; 1.106639e-02 + i -4.029343e-03 ; -0.000000e+00 + i 0.000000e+00 ; -1.149904e-02 + i 4.188606e-03 ; 4.743346e-03 + i -1.726130e-03 ; -0.000000e+00 + i 0.000000e+00 ; -2.784447e-03 + i 1.014254e-03 ; 1.106639e-02 + i -4.029343e-03 ; -1.149904e-02 + i 4.188606e-03 ; -0.000000e+00 + i 0.000000e+00 ; 4.743346e-03 + i -1.726130e-03 ; -2.784447e-03 + i 1.014254e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.728990e-02 + i -9.938870e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 6.958389e-03 + i -2.532974e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 
1.357207e-02 + i -4.943722e-03 ; 2.747121e-05 + i -8.338693e-06 ; 1.357207e-02 + i -4.943722e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; 3.739403e-02 + i -1.362104e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.489581e-02 + i 9.070142e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.739403e-02 + i -1.362104e-02 ; 1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.410456e-01 + i -5.137517e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.048562e-01 + i 1.075099e-01 ; -0.000000e+00 + i -0.000000e+00 ; -6.576370e-03 + i 2.395489e-03 ; -2.502514e-03 + i 9.132255e-04 ; 3.802376e-03 + i -1.385042e-03 ; -2.105614e-03 + i 7.669843e-04 ; -1.642986e-03 + i 6.001348e-04 ; 7.714166e-04 + i -2.809937e-04 ; -0.000000e+00 + i -0.000000e+00 ; -8.821682e-03 + i 3.215027e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.856919e-03 + i 1.042319e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.149904e-02 + i 4.188606e-03 ; -2.173079e-03 + i 7.932270e-04 ; -0.000000e+00 + i -0.000000e+00 ; -2.784447e-03 + i 1.014254e-03 ; -1.836804e-03 + i 6.707348e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.360369e-02 + i 4.956906e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.452810e-03 + i 1.259376e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
1.357207e-02 + i -4.943722e-03 ; 1.357207e-02 + i -4.943722e-03 ; 2.747121e-05 + i -8.338693e-06 ; -0.000000e+00 + i -0.000000e+00 ; 3.739403e-02 + i -1.362104e-02 ; 1.249822e-02 + i -4.550895e-03 ; 3.739403e-02 + i -1.362104e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.249822e-02 + i -4.550895e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.410456e-01 + i -5.137517e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.489581e-02 + i 9.070142e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.045193e-02 + i 2.566428e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.048562e-01 + i 1.075099e-01 ; -6.576370e-03 + i 2.395489e-03 ; 3.802376e-03 + i -1.385042e-03 ; -2.502514e-03 + i 9.132255e-04 ; -2.105614e-03 + i 7.669843e-04 ; 7.714166e-04 + i -2.809937e-04 ; -1.642986e-03 + i 6.001348e-04 ; -1.149904e-02 + i 4.188606e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.173079e-03 + i 7.932270e-04 ; -2.784447e-03 + i 1.014254e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.836804e-03 + i 6.707348e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.821682e-03 + i 3.215027e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.856919e-03 + i 1.042319e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.360369e-02 + i 4.956906e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.452810e-03 + i 1.259376e-03 ; 
