2.870488e+00 + i 5.383298e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.931743e-01 + i -2.570577e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; -2.368345e-01 + i -6.816145e-02 ; 0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.368345e-01 + i -6.816145e-02 ; 1.578678e-01 + i 4.543433e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.782711e-05 + i -5.473864e-06 ; -8.594574e-02 + i -2.473536e-02 ; -8.594574e-02 + i -2.473536e-02 ; -4.393513e-02 + i -1.264496e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.722898e-02 + i -4.958877e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.991904e-02 + i -8.611103e-03 ; -1.761835e-02 + i -5.070597e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.396461e-02 + i -4.019385e-03 ; -5.822592e-03 + i -1.675754e-03 ; 0.000000e+00 + i -0.000000e+00 ; -2.991904e-02 + i -8.611103e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.761835e-02 + i -5.070597e-03 ; -1.396461e-02 + i -4.019385e-03 ; 0.000000e+00 + i -0.000000e+00 ; -5.822592e-03 + i -1.675754e-03 ; -2.099679e-02 + i -6.043263e-03 ; -1.332111e-02 + i -3.833843e-03 ; -1.332111e-02 + i -3.833843e-03 ; -1.143127e-02 + i -3.290285e-03 ; -4.950399e-03 + i -1.424735e-03 ; -4.950399e-03 + i -1.424735e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.578678e-01 + i 4.543433e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.870488e+00 + i 5.383298e-01 ; 8.594574e-02 + i 2.473536e-02 ; 8.594574e-02 + i 2.473536e-02 ; -1.782711e-05 + i -5.473864e-06 ; 0.000000e+00 + i -0.000000e+00 ; 2.368345e-01 + i 6.816145e-02 ; -7.896669e-02 + i -2.272712e-02 ; 2.368345e-01 + i 6.816145e-02 ; 0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.931743e-01 + i -2.570577e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.599120e-02 + i 1.611404e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.817099e-02 + i 5.229305e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.630241e-02 + i 2.483766e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.195065e-02 + i 6.317099e-03 ; -4.163284e-02 + i -1.198202e-02 ; 2.407159e-02 + i 6.927854e-03 ; 1.596425e-02 + i 4.594201e-03 ; -1.332111e-02 + i -3.833843e-03 ; 4.880347e-03 + i 1.404574e-03 ; 1.048340e-02 + i 3.016799e-03 ; -7.280745e-02 + i -2.095413e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.389483e-02 + i 3.998617e-03 ; -1.761835e-02 + i -5.070597e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.171630e-02 + i 3.371632e-03 ; 
4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.368345e-01 + i 6.816145e-02 ; 1.578678e-01 + i 4.543433e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.782711e-05 + i -5.473864e-06 ; -8.594574e-02 + i -2.473536e-02 ; 8.594574e-02 + i 2.473536e-02 ; 2.870488e+00 + i 5.383298e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.931743e-01 + i -2.570577e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; -2.368345e-01 + i -6.816145e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.991904e-02 + i -8.611103e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.761835e-02 + i 5.070597e-03 ; -1.396461e-02 + i -4.019385e-03 ; 0.000000e+00 + i -0.000000e+00 ; 5.822592e-03 + i 1.675754e-03 ; -2.099679e-02 + i -6.043263e-03 ; -1.332111e-02 + i -3.833843e-03 ; 1.332111e-02 + i 3.833843e-03 ; -1.143127e-02 + i -3.290285e-03 ; -4.950399e-03 + i -1.424735e-03 ; 4.950399e-03 + i 1.424735e-03 ; -4.393513e-02 + i -1.264496e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.722898e-02 + i -4.958877e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.991904e-02 + i -8.611103e-03 ; -1.761835e-02 + i -5.070597e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.396461e-02 + i -4.019385e-03 ; -5.822592e-03 + i -1.675754e-03 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.578678e-01 + i 4.543433e-02 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; 2.368345e-01 + i 6.816145e-02 ; -8.594574e-02 + i -2.473536e-02 ; -1.782711e-05 + i -5.473864e-06 ; 8.594574e-02 + i 2.473536e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.870488e+00 + i 5.383298e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.931743e-01 + i -2.570577e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.368345e-01 + i -6.816145e-02 ; -7.896669e-02 + i -2.272712e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.817099e-02 + i 5.229305e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.750995e-03 + i 2.230409e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.332111e-02 + i -3.833843e-03 ; 1.048340e-02 + i 3.016799e-03 ; 4.880347e-03 + i 1.404574e-03 ; -4.950399e-03 + i -1.424735e-03 ; 5.704107e-03 + i 1.641310e-03 ; 1.327348e-03 + i 3.820134e-04 ; -0.000000e+00 + i -0.000000e+00 ; 2.195065e-02 + i 6.317099e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.602149e-03 + i 2.475373e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.761835e-02 + i -5.070597e-03 ; 1.171630e-02 + i 3.371632e-03 ; 0.000000e+00 + i -0.000000e+00 ; -5.822592e-03 + i -1.675754e-03 ; 6.189787e-03 + i 1.781090e-03 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.931743e-01 + i -2.570577e-01 ; 2.368345e-01 + i 6.816145e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.368345e-01 + i 6.816145e-02 ; -7.896669e-02 + i -2.272712e-02 ; 8.594574e-02 + i 2.473536e-02 ; 8.594574e-02 + i 2.473536e-02 ; -1.782711e-05 + i -5.473864e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.870488e+00 + i 5.383298e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.578678e-01 + i 4.543433e-02 ; 1.761835e-02 + i 5.070597e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.171630e-02 + i 3.371632e-03 ; 5.822592e-03 + i 1.675754e-03 ; -0.000000e+00 + i -0.000000e+00 ; 6.189787e-03 + i 1.781090e-03 ; 1.332111e-02 + i 3.833843e-03 ; 4.880347e-03 + i 1.404574e-03 ; 1.048340e-02 + i 3.016799e-03 ; 4.950399e-03 + i 1.424735e-03 ; 1.327348e-03 + i 3.820134e-04 ; 5.704107e-03 + i 1.641310e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.195065e-02 + i 6.317099e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.602149e-03 + i 2.475373e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.817099e-02 + i 5.229305e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.750995e-03 + i 2.230409e-03 ; 
-7.896669e-02 + i -2.272712e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.368345e-01 + i -6.816145e-02 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.782711e-05 + i -5.473864e-06 ; 8.594574e-02 + i 2.473536e-02 ; -8.594574e-02 + i -2.473536e-02 ; 1.578678e-01 + i 4.543433e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.931743e-01 + i -2.570577e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.870488e+00 + i 5.383298e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; 2.368345e-01 + i 6.816145e-02 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.993236e-02 + i -2.012702e-02 ; 0.000000e+00 + i -0.000000e+00 ; 7.280745e-02 + i 2.095413e-02 ; -2.991904e-02 + i -8.611103e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.761835e-02 + i 5.070597e-03 ; -3.196990e-02 + i -9.201346e-03 ; -4.163284e-02 + i -1.198202e-02 ; 4.163284e-02 + i 1.198202e-02 ; -2.099679e-02 + i -6.043263e-03 ; -1.332111e-02 + i -3.833843e-03 ; 1.332111e-02 + i 3.833843e-03 ; -1.726584e-01 + i -4.969177e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.393513e-02 + i -1.264496e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -6.993236e-02 + i -2.012702e-02 ; -7.280745e-02 + i -2.095413e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.991904e-02 + i -8.611103e-03 ; -1.761835e-02 + i -5.070597e-03 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.578678e-01 + i 4.543433e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; 8.594574e-02 + i 2.473536e-02 ; -1.782711e-05 + i -5.473864e-06 ; 8.594574e-02 + i 2.473536e-02 ; 0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; 2.368345e-01 + i 6.816145e-02 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.870488e+00 + i 5.383298e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.368345e-01 + i 6.816145e-02 ; -7.896669e-02 + i -2.272712e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.931743e-01 + i -2.570577e-01 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.599120e-02 + i 1.611404e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.817099e-02 + i 5.229305e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.163284e-02 + i -1.198202e-02 ; 1.596425e-02 + i 4.594201e-03 ; 2.407159e-02 + i 6.927854e-03 ; -1.332111e-02 + i -3.833843e-03 ; 1.048340e-02 + i 3.016799e-03 ; 4.880347e-03 + i 1.404574e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.630241e-02 + i 2.483766e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.195065e-02 + i 6.317099e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.280745e-02 + i -2.095413e-02 ; 1.389483e-02 + i 3.998617e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.761835e-02 + i -5.070597e-03 ; 1.171630e-02 + i 3.371632e-03 ; 0.000000e+00 + i -0.000000e+00 ; 
-2.368345e-01 + i -6.816145e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.931743e-01 + i -2.570577e-01 ; -8.594574e-02 + i -2.473536e-02 ; 8.594574e-02 + i 2.473536e-02 ; -1.782711e-05 + i -5.473864e-06 ; -0.000000e+00 + i -0.000000e+00 ; 2.368345e-01 + i 6.816145e-02 ; -7.896669e-02 + i -2.272712e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.870488e+00 + i 5.383298e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.578678e-01 + i 4.543433e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; 7.280745e-02 + i 2.095413e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.389483e-02 + i 3.998617e-03 ; 1.761835e-02 + i 5.070597e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.171630e-02 + i 3.371632e-03 ; 4.163284e-02 + i 1.198202e-02 ; 2.407159e-02 + i 6.927854e-03 ; 1.596425e-02 + i 4.594201e-03 ; 1.332111e-02 + i 3.833843e-03 ; 4.880347e-03 + i 1.404574e-03 ; 1.048340e-02 + i 3.016799e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.630241e-02 + i 2.483766e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.195065e-02 + i 6.317099e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.599120e-02 + i 1.611404e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.817099e-02 + i 5.229305e-03 ; 
1.578678e-01 + i 4.543433e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.782711e-05 + i -5.473864e-06 ; 8.594574e-02 + i 2.473536e-02 ; 8.594574e-02 + i 2.473536e-02 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.368345e-01 + i 6.816145e-02 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; 2.368345e-01 + i 6.816145e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.870488e+00 + i 5.383298e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.931743e-01 + i -2.570577e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.099679e-02 + i -6.043263e-03 ; 1.332111e-02 + i 3.833843e-03 ; 1.332111e-02 + i 3.833843e-03 ; -1.143127e-02 + i -3.290285e-03 ; 4.950399e-03 + i 1.424735e-03 ; 4.950399e-03 + i 1.424735e-03 ; -2.991904e-02 + i -8.611103e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.761835e-02 + i 5.070597e-03 ; -1.396461e-02 + i -4.019385e-03 ; 0.000000e+00 + i -0.000000e+00 ; 5.822592e-03 + i 1.675754e-03 ; -2.991904e-02 + i -8.611103e-03 ; 1.761835e-02 + i 5.070597e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.396461e-02 + i -4.019385e-03 ; 5.822592e-03 + i 1.675754e-03 ; 0.000000e+00 + i -0.000000e+00 ; -4.393513e-02 + i -1.264496e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.722898e-02 + i -4.958877e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; -2.368345e-01 + i -6.816145e-02 ; 8.594574e-02 + i 2.473536e-02 ; -1.782711e-05 + i -5.473864e-06 ; -8.594574e-02 + i -2.473536e-02 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.578678e-01 + i 4.543433e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.931743e-01 + i -2.570577e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.368345e-01 + i 6.816145e-02 ; -7.896669e-02 + i -2.272712e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.870488e+00 + i 5.383298e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.332111e-02 + i 3.833843e-03 ; 1.048340e-02 + i 3.016799e-03 ; -4.880347e-03 + i -1.404574e-03 ; 4.950399e-03 + i 1.424735e-03 ; 5.704107e-03 + i 1.641310e-03 ; -1.327348e-03 + i -3.820134e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.817099e-02 + i 5.229305e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.750995e-03 + i 2.230409e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.761835e-02 + i 5.070597e-03 ; 1.171630e-02 + i 3.371632e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.822592e-03 + i 1.675754e-03 ; 6.189787e-03 + i 1.781090e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.195065e-02 + i 6.317099e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.602149e-03 + i 2.475373e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -2.368345e-01 + i -6.816145e-02 ; -7.896669e-02 + i -2.272712e-02 ; 8.594574e-02 + i 2.473536e-02 ; -8.594574e-02 + i -2.473536e-02 ; -1.782711e-05 + i -5.473864e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.931743e-01 + i -2.570577e-01 ; 2.368345e-01 + i 6.816145e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.578678e-01 + i 4.543433e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.870488e+00 + i 5.383298e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; 1.332111e-02 + i 3.833843e-03 ; -4.880347e-03 + i -1.404574e-03 ; 1.048340e-02 + i 3.016799e-03 ; 4.950399e-03 + i 1.424735e-03 ; -1.327348e-03 + i -3.820134e-04 ; 5.704107e-03 + i 1.641310e-03 ; 1.761835e-02 + i 5.070597e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.171630e-02 + i 3.371632e-03 ; 5.822592e-03 + i 1.675754e-03 ; -0.000000e+00 + i -0.000000e+00 ; 6.189787e-03 + i 1.781090e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.817099e-02 + i 5.229305e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.750995e-03 + i 2.230409e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.195065e-02 + i 6.317099e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.602149e-03 + i 2.475373e-03 ; 
-1.782711e-05 + i -5.473864e-06 ; -8.594574e-02 + i -2.473536e-02 ; -8.594574e-02 + i -2.473536e-02 ; 1.578678e-01 + i 4.543433e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.368345e-01 + i -6.816145e-02 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; -2.368345e-01 + i -6.816145e-02 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.931743e-01 + i -2.570577e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.870488e+00 + i 5.383298e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.196990e-02 + i -9.201346e-03 ; 4.163284e-02 + i 1.198202e-02 ; 4.163284e-02 + i 1.198202e-02 ; -2.099679e-02 + i -6.043263e-03 ; 1.332111e-02 + i 3.833843e-03 ; 1.332111e-02 + i 3.833843e-03 ; -6.993236e-02 + i -2.012702e-02 ; 0.000000e+00 + i -0.000000e+00 ; 7.280745e-02 + i 2.095413e-02 ; -2.991904e-02 + i -8.611103e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.761835e-02 + i 5.070597e-03 ; -6.993236e-02 + i -2.012702e-02 ; 7.280745e-02 + i 2.095413e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.991904e-02 + i -8.611103e-03 ; 1.761835e-02 + i 5.070597e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.726584e-01 + i -4.969177e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.393513e-02 + i -1.264496e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-8.594574e-02 + i -2.473536e-02 ; -1.782711e-05 + i -5.473864e-06 ; -8.594574e-02 + i -2.473536e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.896669e-02 + i -2.272712e-02 ; -2.368345e-01 + i -6.816145e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.578678e-01 + i 4.543433e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.368345e-01 + i -6.816145e-02 ; -7.896669e-02 + i -2.272712e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.931743e-01 + i -2.570577e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.465407e-01 + i 1.285150e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.870488e+00 + i 5.383298e-01 ; -0.000000e+00 + i -0.000000e+00 ; 4.163284e-02 + i 1.198202e-02 ; 1.596425e-02 + i 4.594201e-03 ; -2.407159e-02 + i -6.927854e-03 ; 1.332111e-02 + i 3.833843e-03 ; 1.048340e-02 + i 3.016799e-03 ; -4.880347e-03 + i -1.404574e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.599120e-02 + i 1.611404e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.817099e-02 + i 5.229305e-03 ; -0.000000e+00 + i -0.000000e+00 ; 7.280745e-02 + i 2.095413e-02 ; 1.389483e-02 + i 3.998617e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.761835e-02 + i 5.070597e-03 ; 1.171630e-02 + i 3.371632e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.630241e-02 + i 2.483766e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.195065e-02 + i 6.317099e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
