3.268743e+00 + i 1.640714e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.083359e+00 + i -7.834664e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; -2.872632e-01 + i -2.077437e-01 ; 0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.872632e-01 + i -2.077437e-01 ; 1.914787e-01 + i 1.384733e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.452869e-05 + i -1.845535e-05 ; -1.042463e-01 + i -7.538905e-02 ; -1.042463e-01 + i -7.538905e-02 ; -5.329264e-02 + i -3.854101e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.089936e-02 + i -1.511476e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.629187e-02 + i -2.624635e-02 ; -2.137014e-02 + i -1.545450e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.693979e-02 + i -1.225127e-02 ; -7.062614e-03 + i -5.107557e-03 ; 0.000000e+00 + i -0.000000e+00 ; -3.629187e-02 + i -2.624635e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.137014e-02 + i -1.545450e-02 ; -1.693979e-02 + i -1.225127e-02 ; 0.000000e+00 + i -0.000000e+00 ; -7.062614e-03 + i -5.107557e-03 ; -2.546961e-02 + i -1.841989e-02 ; -1.615785e-02 + i -1.168507e-02 ; -1.615785e-02 + i -1.168507e-02 ; -1.386692e-02 + i -1.002903e-02 ; -6.004688e-03 + i -4.342483e-03 ; -6.004688e-03 + i -4.342483e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.914787e-01 + i 1.384733e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.268743e+00 + i 1.640714e+00 ; 1.042463e-01 + i 7.538905e-02 ; 1.042463e-01 + i 7.538905e-02 ; -2.452869e-05 + i -1.845535e-05 ; 0.000000e+00 + i -0.000000e+00 ; 2.872632e-01 + i 2.077437e-01 ; -9.578453e-02 + i -6.927038e-02 ; 2.872632e-01 + i 2.077437e-01 ; 0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.083359e+00 + i -7.834664e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.791116e-02 + i 4.911142e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.203883e-02 + i 1.593737e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.046760e-01 + i 7.569908e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.662317e-02 + i 1.925268e-02 ; -5.049802e-02 + i -3.651927e-02 ; 2.919733e-02 + i 2.111499e-02 ; 1.936144e-02 + i 1.400113e-02 ; -1.615785e-02 + i -1.168507e-02 ; 5.919621e-03 + i 4.280964e-03 ; 1.271431e-02 + i 9.194045e-03 ; -8.831065e-02 + i -6.386469e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.685102e-02 + i 1.218564e-02 ; -2.137014e-02 + i -1.545450e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.420962e-02 + i 1.027543e-02 ; 
5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.872632e-01 + i 2.077437e-01 ; 1.914787e-01 + i 1.384733e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.452869e-05 + i -1.845535e-05 ; -1.042463e-01 + i -7.538905e-02 ; 1.042463e-01 + i 7.538905e-02 ; 3.268743e+00 + i 1.640714e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.083359e+00 + i -7.834664e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; -2.872632e-01 + i -2.077437e-01 ; 0.000000e+00 + i -0.000000e+00 ; -3.629187e-02 + i -2.624635e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.137014e-02 + i 1.545450e-02 ; -1.693979e-02 + i -1.225127e-02 ; 0.000000e+00 + i -0.000000e+00 ; 7.062614e-03 + i 5.107557e-03 ; -2.546961e-02 + i -1.841989e-02 ; -1.615785e-02 + i -1.168507e-02 ; 1.615785e-02 + i 1.168507e-02 ; -1.386692e-02 + i -1.002903e-02 ; -6.004688e-03 + i -4.342483e-03 ; 6.004688e-03 + i 4.342483e-03 ; -5.329264e-02 + i -3.854101e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.089936e-02 + i -1.511476e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.629187e-02 + i -2.624635e-02 ; -2.137014e-02 + i -1.545450e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.693979e-02 + i -1.225127e-02 ; -7.062614e-03 + i -5.107557e-03 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.914787e-01 + i 1.384733e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; 2.872632e-01 + i 2.077437e-01 ; -1.042463e-01 + i -7.538905e-02 ; -2.452869e-05 + i -1.845535e-05 ; 1.042463e-01 + i 7.538905e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.268743e+00 + i 1.640714e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.083359e+00 + i -7.834664e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.872632e-01 + i -2.077437e-01 ; -9.578453e-02 + i -6.927038e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.203883e-02 + i 1.593737e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.400530e-03 + i 6.797580e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.615785e-02 + i -1.168507e-02 ; 1.271431e-02 + i 9.194045e-03 ; 5.919621e-03 + i 4.280964e-03 ; -6.004688e-03 + i -4.342483e-03 ; 6.917784e-03 + i 5.002102e-03 ; 1.610033e-03 + i 1.164348e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.662317e-02 + i 1.925268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.043288e-02 + i 7.544154e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.137014e-02 + i -1.545450e-02 ; 1.420962e-02 + i 1.027543e-02 ; 0.000000e+00 + i -0.000000e+00 ; -7.062614e-03 + i -5.107557e-03 ; 7.506835e-03 + i 5.428093e-03 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.083359e+00 + i -7.834664e-01 ; 2.872632e-01 + i 2.077437e-01 ; -0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.872632e-01 + i 2.077437e-01 ; -9.578453e-02 + i -6.927038e-02 ; 1.042463e-01 + i 7.538905e-02 ; 1.042463e-01 + i 7.538905e-02 ; -2.452869e-05 + i -1.845535e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.268743e+00 + i 1.640714e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.914787e-01 + i 1.384733e-01 ; 2.137014e-02 + i 1.545450e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.420962e-02 + i 1.027543e-02 ; 7.062614e-03 + i 5.107557e-03 ; -0.000000e+00 + i -0.000000e+00 ; 7.506835e-03 + i 5.428093e-03 ; 1.615785e-02 + i 1.168507e-02 ; 5.919621e-03 + i 4.280964e-03 ; 1.271431e-02 + i 9.194045e-03 ; 6.004688e-03 + i 4.342483e-03 ; 1.610033e-03 + i 1.164348e-03 ; 6.917784e-03 + i 5.002102e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.662317e-02 + i 1.925268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.043288e-02 + i 7.544154e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.203883e-02 + i 1.593737e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.400530e-03 + i 6.797580e-03 ; 
-9.578453e-02 + i -6.927038e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.872632e-01 + i -2.077437e-01 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.452869e-05 + i -1.845535e-05 ; 1.042463e-01 + i 7.538905e-02 ; -1.042463e-01 + i -7.538905e-02 ; 1.914787e-01 + i 1.384733e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.083359e+00 + i -7.834664e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.268743e+00 + i 1.640714e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; 2.872632e-01 + i 2.077437e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.482584e-02 + i -6.134525e-02 ; 0.000000e+00 + i -0.000000e+00 ; 8.831065e-02 + i 6.386469e-02 ; -3.629187e-02 + i -2.624635e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.137014e-02 + i 1.545450e-02 ; -3.877968e-02 + i -2.804549e-02 ; -5.049802e-02 + i -3.651927e-02 ; 5.049802e-02 + i 3.651927e-02 ; -2.546961e-02 + i -1.841989e-02 ; -1.615785e-02 + i -1.168507e-02 ; 1.615785e-02 + i 1.168507e-02 ; -2.094256e-01 + i -1.514536e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -5.329264e-02 + i -3.854101e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.482584e-02 + i -6.134525e-02 ; -8.831065e-02 + i -6.386469e-02 ; 0.000000e+00 + i -0.000000e+00 ; -3.629187e-02 + i -2.624635e-02 ; -2.137014e-02 + i -1.545450e-02 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.914787e-01 + i 1.384733e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.042463e-01 + i 7.538905e-02 ; -2.452869e-05 + i -1.845535e-05 ; 1.042463e-01 + i 7.538905e-02 ; 0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; 2.872632e-01 + i 2.077437e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.268743e+00 + i 1.640714e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.872632e-01 + i 2.077437e-01 ; -9.578453e-02 + i -6.927038e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.083359e+00 + i -7.834664e-01 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.791116e-02 + i 4.911142e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.203883e-02 + i 1.593737e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.049802e-02 + i -3.651927e-02 ; 1.936144e-02 + i 1.400113e-02 ; 2.919733e-02 + i 2.111499e-02 ; -1.615785e-02 + i -1.168507e-02 ; 1.271431e-02 + i 9.194045e-03 ; 5.919621e-03 + i 4.280964e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.046760e-01 + i 7.569908e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.662317e-02 + i 1.925268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.831065e-02 + i -6.386469e-02 ; 1.685102e-02 + i 1.218564e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.137014e-02 + i -1.545450e-02 ; 1.420962e-02 + i 1.027543e-02 ; 0.000000e+00 + i -0.000000e+00 ; 
-2.872632e-01 + i -2.077437e-01 ; -0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.083359e+00 + i -7.834664e-01 ; -1.042463e-01 + i -7.538905e-02 ; 1.042463e-01 + i 7.538905e-02 ; -2.452869e-05 + i -1.845535e-05 ; -0.000000e+00 + i -0.000000e+00 ; 2.872632e-01 + i 2.077437e-01 ; -9.578453e-02 + i -6.927038e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.268743e+00 + i 1.640714e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.914787e-01 + i 1.384733e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; 8.831065e-02 + i 6.386469e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.685102e-02 + i 1.218564e-02 ; 2.137014e-02 + i 1.545450e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.420962e-02 + i 1.027543e-02 ; 5.049802e-02 + i 3.651927e-02 ; 2.919733e-02 + i 2.111499e-02 ; 1.936144e-02 + i 1.400113e-02 ; 1.615785e-02 + i 1.168507e-02 ; 5.919621e-03 + i 4.280964e-03 ; 1.271431e-02 + i 9.194045e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.046760e-01 + i 7.569908e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.662317e-02 + i 1.925268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.791116e-02 + i 4.911142e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.203883e-02 + i 1.593737e-02 ; 
1.914787e-01 + i 1.384733e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.452869e-05 + i -1.845535e-05 ; 1.042463e-01 + i 7.538905e-02 ; 1.042463e-01 + i 7.538905e-02 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.872632e-01 + i 2.077437e-01 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; 2.872632e-01 + i 2.077437e-01 ; 0.000000e+00 + i -0.000000e+00 ; 3.268743e+00 + i 1.640714e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.083359e+00 + i -7.834664e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.546961e-02 + i -1.841989e-02 ; 1.615785e-02 + i 1.168507e-02 ; 1.615785e-02 + i 1.168507e-02 ; -1.386692e-02 + i -1.002903e-02 ; 6.004688e-03 + i 4.342483e-03 ; 6.004688e-03 + i 4.342483e-03 ; -3.629187e-02 + i -2.624635e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.137014e-02 + i 1.545450e-02 ; -1.693979e-02 + i -1.225127e-02 ; 0.000000e+00 + i -0.000000e+00 ; 7.062614e-03 + i 5.107557e-03 ; -3.629187e-02 + i -2.624635e-02 ; 2.137014e-02 + i 1.545450e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.693979e-02 + i -1.225127e-02 ; 7.062614e-03 + i 5.107557e-03 ; 0.000000e+00 + i -0.000000e+00 ; -5.329264e-02 + i -3.854101e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.089936e-02 + i -1.511476e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; -2.872632e-01 + i -2.077437e-01 ; 1.042463e-01 + i 7.538905e-02 ; -2.452869e-05 + i -1.845535e-05 ; -1.042463e-01 + i -7.538905e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.914787e-01 + i 1.384733e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.083359e+00 + i -7.834664e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.872632e-01 + i 2.077437e-01 ; -9.578453e-02 + i -6.927038e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.268743e+00 + i 1.640714e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.615785e-02 + i 1.168507e-02 ; 1.271431e-02 + i 9.194045e-03 ; -5.919621e-03 + i -4.280964e-03 ; 6.004688e-03 + i 4.342483e-03 ; 6.917784e-03 + i 5.002102e-03 ; -1.610033e-03 + i -1.164348e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.203883e-02 + i 1.593737e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.400530e-03 + i 6.797580e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.137014e-02 + i 1.545450e-02 ; 1.420962e-02 + i 1.027543e-02 ; -0.000000e+00 + i -0.000000e+00 ; 7.062614e-03 + i 5.107557e-03 ; 7.506835e-03 + i 5.428093e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.662317e-02 + i 1.925268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.043288e-02 + i 7.544154e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -2.872632e-01 + i -2.077437e-01 ; -9.578453e-02 + i -6.927038e-02 ; 1.042463e-01 + i 7.538905e-02 ; -1.042463e-01 + i -7.538905e-02 ; -2.452869e-05 + i -1.845535e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.083359e+00 + i -7.834664e-01 ; 2.872632e-01 + i 2.077437e-01 ; -0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.914787e-01 + i 1.384733e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.268743e+00 + i 1.640714e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; 1.615785e-02 + i 1.168507e-02 ; -5.919621e-03 + i -4.280964e-03 ; 1.271431e-02 + i 9.194045e-03 ; 6.004688e-03 + i 4.342483e-03 ; -1.610033e-03 + i -1.164348e-03 ; 6.917784e-03 + i 5.002102e-03 ; 2.137014e-02 + i 1.545450e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.420962e-02 + i 1.027543e-02 ; 7.062614e-03 + i 5.107557e-03 ; -0.000000e+00 + i -0.000000e+00 ; 7.506835e-03 + i 5.428093e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.203883e-02 + i 1.593737e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.400530e-03 + i 6.797580e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.662317e-02 + i 1.925268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.043288e-02 + i 7.544154e-03 ; 
-2.452869e-05 + i -1.845535e-05 ; -1.042463e-01 + i -7.538905e-02 ; -1.042463e-01 + i -7.538905e-02 ; 1.914787e-01 + i 1.384733e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.872632e-01 + i -2.077437e-01 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; -2.872632e-01 + i -2.077437e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.083359e+00 + i -7.834664e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.268743e+00 + i 1.640714e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.877968e-02 + i -2.804549e-02 ; 5.049802e-02 + i 3.651927e-02 ; 5.049802e-02 + i 3.651927e-02 ; -2.546961e-02 + i -1.841989e-02 ; 1.615785e-02 + i 1.168507e-02 ; 1.615785e-02 + i 1.168507e-02 ; -8.482584e-02 + i -6.134525e-02 ; 0.000000e+00 + i -0.000000e+00 ; 8.831065e-02 + i 6.386469e-02 ; -3.629187e-02 + i -2.624635e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.137014e-02 + i 1.545450e-02 ; -8.482584e-02 + i -6.134525e-02 ; 8.831065e-02 + i 6.386469e-02 ; 0.000000e+00 + i -0.000000e+00 ; -3.629187e-02 + i -2.624635e-02 ; 2.137014e-02 + i 1.545450e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.094256e-01 + i -1.514536e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -5.329264e-02 + i -3.854101e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-1.042463e-01 + i -7.538905e-02 ; -2.452869e-05 + i -1.845535e-05 ; -1.042463e-01 + i -7.538905e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.578453e-02 + i -6.927038e-02 ; -2.872632e-01 + i -2.077437e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.914787e-01 + i 1.384733e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.872632e-01 + i -2.077437e-01 ; -9.578453e-02 + i -6.927038e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.083359e+00 + i -7.834664e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.416152e-01 + i 3.916858e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.268743e+00 + i 1.640714e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.049802e-02 + i 3.651927e-02 ; 1.936144e-02 + i 1.400113e-02 ; -2.919733e-02 + i -2.111499e-02 ; 1.615785e-02 + i 1.168507e-02 ; 1.271431e-02 + i 9.194045e-03 ; -5.919621e-03 + i -4.280964e-03 ; -0.000000e+00 + i -0.000000e+00 ; 6.791116e-02 + i 4.911142e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.203883e-02 + i 1.593737e-02 ; -0.000000e+00 + i -0.000000e+00 ; 8.831065e-02 + i 6.386469e-02 ; 1.685102e-02 + i 1.218564e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.137014e-02 + i 1.545450e-02 ; 1.420962e-02 + i 1.027543e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.046760e-01 + i 7.569908e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.662317e-02 + i 1.925268e-02 ; -0.000000e+00 + i -0.000000e+00 ; 
