-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.057339e-01 + i 6.887235e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.533673e-01 + i 8.163387e-01 ; -5.762679e-02 + i 3.753296e-02 ; -5.762679e-02 + i 3.753296e-02 ; 9.749598e-05 + i -5.682044e-05 ; -0.000000e+00 + i 0.000000e+00 ; -1.587790e-01 + i 1.034145e-01 ; 5.304511e-02 + i -3.454219e-02 ; -1.587790e-01 + i 1.034145e-01 ; -0.000000e+00 + i 0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 5.988780e-01 + i -3.900492e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.747212e-02 + i 2.441268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.213953e-02 + i 7.913287e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.778021e-02 + i 3.763957e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.467048e-02 + i 9.561723e-03 ; 2.792155e-02 + i -1.818561e-02 ; -1.614389e-02 + i 1.051470e-02 ; -1.063965e-02 + i 6.936402e-03 ; 8.938728e-03 + i -5.821891e-03 ; -3.274809e-03 + i 2.132919e-03 ; -6.985154e-03 + i 4.556181e-03 ; 4.882332e-02 + i -3.179917e-02 ; -0.000000e+00 + i 0.000000e+00 ; -9.243070e-03 + i 6.026793e-03 ; 1.182084e-02 + i -7.699045e-03 ; -0.000000e+00 + i 0.000000e+00 ; -7.808829e-03 + i 5.092651e-03 ; 
-2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.587790e-01 + i 1.034145e-01 ; -1.057339e-01 + i 6.887235e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.749598e-05 + i -5.682044e-05 ; 5.762679e-02 + i -3.753296e-02 ; -5.762679e-02 + i 3.753296e-02 ; -2.533673e-01 + i 8.163387e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.988780e-01 + i -3.900492e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; 1.587790e-01 + i -1.034145e-01 ; -0.000000e+00 + i 0.000000e+00 ; 2.012596e-02 + i -1.310158e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.182084e-02 + i 7.699045e-03 ; 9.416534e-03 + i -6.126419e-03 ; -0.000000e+00 + i 0.000000e+00 ; -3.909632e-03 + i 2.546384e-03 ; 1.413867e-02 + i -9.201998e-03 ; 8.938728e-03 + i -5.821891e-03 ; -8.938728e-03 + i 5.821891e-03 ; 7.715230e-03 + i -5.018342e-03 ; 3.324389e-03 + i -2.165209e-03 ; -3.324389e-03 + i 2.165209e-03 ; 2.952958e-02 + i -1.922627e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.160835e-02 + i -7.553974e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.012596e-02 + i -1.310158e-02 ; 1.182084e-02 + i -7.699045e-03 ; -0.000000e+00 + i 0.000000e+00 ; 9.416534e-03 + i -6.126419e-03 ; 3.909632e-03 + i -2.546384e-03 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.057339e-01 + i 6.887235e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; -1.587790e-01 + i 1.034145e-01 ; 5.762679e-02 + i -3.753296e-02 ; 9.749598e-05 + i -5.682044e-05 ; -5.762679e-02 + i 3.753296e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.533673e-01 + i 8.163387e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 5.988780e-01 + i -3.900492e-01 ; -0.000000e+00 + i 0.000000e+00 ; 1.587790e-01 + i -1.034145e-01 ; 5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.213953e-02 + i 7.913287e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.164602e-03 + i 3.370428e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.938728e-03 + i -5.821891e-03 ; -6.985154e-03 + i 4.556181e-03 ; -3.274809e-03 + i 2.132919e-03 ; 3.324389e-03 + i -2.165209e-03 ; -3.791851e-03 + i 2.476340e-03 ; -8.913665e-04 + i 5.805563e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.467048e-02 + i 9.561723e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.734106e-03 + i 3.741354e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.182084e-02 + i -7.699045e-03 ; -7.808829e-03 + i 5.092651e-03 ; -0.000000e+00 + i 0.000000e+00 ; 3.909632e-03 + i -2.546384e-03 ; -4.116314e-03 + i 2.687668e-03 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.988780e-01 + i -3.900492e-01 ; -1.587790e-01 + i 1.034145e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.587790e-01 + i 1.034145e-01 ; 5.304511e-02 + i -3.454219e-02 ; -5.762679e-02 + i 3.753296e-02 ; -5.762679e-02 + i 3.753296e-02 ; 9.749598e-05 + i -5.682044e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.533673e-01 + i 8.163387e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.057339e-01 + i 6.887235e-02 ; -1.182084e-02 + i 7.699045e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.808829e-03 + i 5.092651e-03 ; -3.909632e-03 + i 2.546384e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.116314e-03 + i 2.687668e-03 ; -8.938728e-03 + i 5.821891e-03 ; -3.274809e-03 + i 2.132919e-03 ; -6.985154e-03 + i 4.556181e-03 ; -3.324389e-03 + i 2.165209e-03 ; -8.913665e-04 + i 5.805563e-04 ; -3.791851e-03 + i 2.476340e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.467048e-02 + i 9.561723e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.734106e-03 + i 3.741354e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.213953e-02 + i 7.913287e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.164602e-03 + i 3.370428e-03 ; 
5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.587790e-01 + i -1.034145e-01 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.749598e-05 + i -5.682044e-05 ; -5.762679e-02 + i 3.753296e-02 ; 5.762679e-02 + i -3.753296e-02 ; -1.057339e-01 + i 6.887235e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.988780e-01 + i -3.900492e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.533673e-01 + i 8.163387e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; -1.587790e-01 + i 1.034145e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.696988e-02 + i -3.058532e-02 ; -0.000000e+00 + i 0.000000e+00 ; -4.882332e-02 + i 3.179917e-02 ; 2.012596e-02 + i -1.310158e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.182084e-02 + i 7.699045e-03 ; 2.150794e-02 + i -1.400168e-02 ; 2.792155e-02 + i -1.818561e-02 ; -2.792155e-02 + i 1.818561e-02 ; 1.413867e-02 + i -9.201998e-03 ; 8.938728e-03 + i -5.821891e-03 ; -8.938728e-03 + i 5.821891e-03 ; 1.158533e-01 + i -7.544987e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.952958e-02 + i -1.922627e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.696988e-02 + i -3.058532e-02 ; 4.882332e-02 + i -3.179917e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.012596e-02 + i -1.310158e-02 ; 1.182084e-02 + i -7.699045e-03 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -1.057339e-01 + i 6.887235e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -5.762679e-02 + i 3.753296e-02 ; 9.749598e-05 + i -5.682044e-05 ; -5.762679e-02 + i 3.753296e-02 ; -0.000000e+00 + i 0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; -1.587790e-01 + i 1.034145e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.533673e-01 + i 8.163387e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.587790e-01 + i 1.034145e-01 ; 5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 5.988780e-01 + i -3.900492e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.747212e-02 + i 2.441268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.213953e-02 + i 7.913287e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.792155e-02 + i -1.818561e-02 ; -1.063965e-02 + i 6.936402e-03 ; -1.614389e-02 + i 1.051470e-02 ; 8.938728e-03 + i -5.821891e-03 ; -6.985154e-03 + i 4.556181e-03 ; -3.274809e-03 + i 2.132919e-03 ; -0.000000e+00 + i -0.000000e+00 ; -5.778021e-02 + i 3.763957e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.467048e-02 + i 9.561723e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.882332e-02 + i -3.179917e-02 ; -9.243070e-03 + i 6.026793e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.182084e-02 + i -7.699045e-03 ; -7.808829e-03 + i 5.092651e-03 ; -0.000000e+00 + i 0.000000e+00 ; 
1.587790e-01 + i -1.034145e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.988780e-01 + i -3.900492e-01 ; 5.762679e-02 + i -3.753296e-02 ; -5.762679e-02 + i 3.753296e-02 ; 9.749598e-05 + i -5.682044e-05 ; -0.000000e+00 + i -0.000000e+00 ; -1.587790e-01 + i 1.034145e-01 ; 5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.533673e-01 + i 8.163387e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.057339e-01 + i 6.887235e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -4.882332e-02 + i 3.179917e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.243070e-03 + i 6.026793e-03 ; -1.182084e-02 + i 7.699045e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.808829e-03 + i 5.092651e-03 ; -2.792155e-02 + i 1.818561e-02 ; -1.614389e-02 + i 1.051470e-02 ; -1.063965e-02 + i 6.936402e-03 ; -8.938728e-03 + i 5.821891e-03 ; -3.274809e-03 + i 2.132919e-03 ; -6.985154e-03 + i 4.556181e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.778021e-02 + i 3.763957e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.467048e-02 + i 9.561723e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.747212e-02 + i 2.441268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.213953e-02 + i 7.913287e-03 ; 
-1.057339e-01 + i 6.887235e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.749598e-05 + i -5.682044e-05 ; -5.762679e-02 + i 3.753296e-02 ; -5.762679e-02 + i 3.753296e-02 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.587790e-01 + i 1.034145e-01 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; -1.587790e-01 + i 1.034145e-01 ; -0.000000e+00 + i 0.000000e+00 ; -2.533673e-01 + i 8.163387e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.988780e-01 + i -3.900492e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.413867e-02 + i -9.201998e-03 ; -8.938728e-03 + i 5.821891e-03 ; -8.938728e-03 + i 5.821891e-03 ; 7.715230e-03 + i -5.018342e-03 ; -3.324389e-03 + i 2.165209e-03 ; -3.324389e-03 + i 2.165209e-03 ; 2.012596e-02 + i -1.310158e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.182084e-02 + i 7.699045e-03 ; 9.416534e-03 + i -6.126419e-03 ; -0.000000e+00 + i 0.000000e+00 ; -3.909632e-03 + i 2.546384e-03 ; 2.012596e-02 + i -1.310158e-02 ; -1.182084e-02 + i 7.699045e-03 ; -0.000000e+00 + i 0.000000e+00 ; 9.416534e-03 + i -6.126419e-03 ; -3.909632e-03 + i 2.546384e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.952958e-02 + i -1.922627e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.160835e-02 + i -7.553974e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; 1.587790e-01 + i -1.034145e-01 ; -5.762679e-02 + i 3.753296e-02 ; 9.749598e-05 + i -5.682044e-05 ; 5.762679e-02 + i -3.753296e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.057339e-01 + i 6.887235e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.988780e-01 + i -3.900492e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.587790e-01 + i 1.034145e-01 ; 5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.533673e-01 + i 8.163387e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.938728e-03 + i 5.821891e-03 ; -6.985154e-03 + i 4.556181e-03 ; 3.274809e-03 + i -2.132919e-03 ; -3.324389e-03 + i 2.165209e-03 ; -3.791851e-03 + i 2.476340e-03 ; 8.913665e-04 + i -5.805563e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.213953e-02 + i 7.913287e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.164602e-03 + i 3.370428e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.182084e-02 + i 7.699045e-03 ; -7.808829e-03 + i 5.092651e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.909632e-03 + i 2.546384e-03 ; -4.116314e-03 + i 2.687668e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.467048e-02 + i 9.561723e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.734106e-03 + i 3.741354e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.587790e-01 + i -1.034145e-01 ; 5.304511e-02 + i -3.454219e-02 ; -5.762679e-02 + i 3.753296e-02 ; 5.762679e-02 + i -3.753296e-02 ; 9.749598e-05 + i -5.682044e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.988780e-01 + i -3.900492e-01 ; -1.587790e-01 + i 1.034145e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.057339e-01 + i 6.887235e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.533673e-01 + i 8.163387e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -8.938728e-03 + i 5.821891e-03 ; 3.274809e-03 + i -2.132919e-03 ; -6.985154e-03 + i 4.556181e-03 ; -3.324389e-03 + i 2.165209e-03 ; 8.913665e-04 + i -5.805563e-04 ; -3.791851e-03 + i 2.476340e-03 ; -1.182084e-02 + i 7.699045e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.808829e-03 + i 5.092651e-03 ; -3.909632e-03 + i 2.546384e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.116314e-03 + i 2.687668e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.213953e-02 + i 7.913287e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.164602e-03 + i 3.370428e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.467048e-02 + i 9.561723e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.734106e-03 + i 3.741354e-03 ; 
9.749598e-05 + i -5.682044e-05 ; 5.762679e-02 + i -3.753296e-02 ; 5.762679e-02 + i -3.753296e-02 ; -1.057339e-01 + i 6.887235e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.587790e-01 + i -1.034145e-01 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; 1.587790e-01 + i -1.034145e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.988780e-01 + i -3.900492e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.533673e-01 + i 8.163387e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.150794e-02 + i -1.400168e-02 ; -2.792155e-02 + i 1.818561e-02 ; -2.792155e-02 + i 1.818561e-02 ; 1.413867e-02 + i -9.201998e-03 ; -8.938728e-03 + i 5.821891e-03 ; -8.938728e-03 + i 5.821891e-03 ; 4.696988e-02 + i -3.058532e-02 ; -0.000000e+00 + i 0.000000e+00 ; -4.882332e-02 + i 3.179917e-02 ; 2.012596e-02 + i -1.310158e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.182084e-02 + i 7.699045e-03 ; 4.696988e-02 + i -3.058532e-02 ; -4.882332e-02 + i 3.179917e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.012596e-02 + i -1.310158e-02 ; -1.182084e-02 + i 7.699045e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.158533e-01 + i -7.544987e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.952958e-02 + i -1.922627e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 
5.762679e-02 + i -3.753296e-02 ; 9.749598e-05 + i -5.682044e-05 ; 5.762679e-02 + i -3.753296e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; 1.587790e-01 + i -1.034145e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.057339e-01 + i 6.887235e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.587790e-01 + i -1.034145e-01 ; 5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.988780e-01 + i -3.900492e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.533673e-01 + i 8.163387e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.792155e-02 + i 1.818561e-02 ; -1.063965e-02 + i 6.936402e-03 ; 1.614389e-02 + i -1.051470e-02 ; -8.938728e-03 + i 5.821891e-03 ; -6.985154e-03 + i 4.556181e-03 ; 3.274809e-03 + i -2.132919e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.747212e-02 + i 2.441268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.213953e-02 + i 7.913287e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.882332e-02 + i 3.179917e-02 ; -9.243070e-03 + i 6.026793e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.182084e-02 + i 7.699045e-03 ; -7.808829e-03 + i 5.092651e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.778021e-02 + i 3.763957e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.467048e-02 + i 9.561723e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
5.762679e-02 + i -3.753296e-02 ; 5.762679e-02 + i -3.753296e-02 ; 9.749598e-05 + i -5.682044e-05 ; -0.000000e+00 + i -0.000000e+00 ; 1.587790e-01 + i -1.034145e-01 ; 5.304511e-02 + i -3.454219e-02 ; 1.587790e-01 + i -1.034145e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.304511e-02 + i -3.454219e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.988780e-01 + i -3.900492e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.057339e-01 + i 6.887235e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.991888e-01 + i 1.948717e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.533673e-01 + i 8.163387e-01 ; -2.792155e-02 + i 1.818561e-02 ; 1.614389e-02 + i -1.051470e-02 ; -1.063965e-02 + i 6.936402e-03 ; -8.938728e-03 + i 5.821891e-03 ; 3.274809e-03 + i -2.132919e-03 ; -6.985154e-03 + i 4.556181e-03 ; -4.882332e-02 + i 3.179917e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.243070e-03 + i 6.026793e-03 ; -1.182084e-02 + i 7.699045e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.808829e-03 + i 5.092651e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.747212e-02 + i 2.441268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.213953e-02 + i 7.913287e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.778021e-02 + i 3.763957e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.467048e-02 + i 9.561723e-03 ; 
