2.491585e+00 + i 2.947337e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.122590e-01 + i -1.407410e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; -1.888623e-01 + i -3.731879e-01 ; 0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; 0.000000e+00 + i -0.000000e+00 ; -1.888623e-01 + i -3.731879e-01 ; 1.258874e-01 + i 2.487491e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.687236e-05 + i -3.502709e-05 ; -6.853722e-02 + i -1.354281e-01 ; -6.853722e-02 + i -1.354281e-01 ; -3.503804e-02 + i -6.923609e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.374071e-02 + i -2.715302e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.386072e-02 + i -4.714994e-02 ; -1.405001e-02 + i -2.776252e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.113742e-02 + i -2.200899e-02 ; -4.643431e-03 + i -9.175319e-03 ; 0.000000e+00 + i -0.000000e+00 ; -2.386072e-02 + i -4.714994e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.405001e-02 + i -2.776252e-02 ; -1.113742e-02 + i -2.200899e-02 ; 0.000000e+00 + i -0.000000e+00 ; -4.643431e-03 + i -9.175319e-03 ; -1.674550e-02 + i -3.309043e-02 ; -1.062316e-02 + i -2.099113e-02 ; -1.062316e-02 + i -2.099113e-02 ; -9.117111e-03 + i -1.801690e-02 ; -3.947886e-03 + i -7.800936e-03 ; -3.947886e-03 + i -7.800936e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.258874e-01 + i 2.487491e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.491585e+00 + i 2.947337e+00 ; 6.853722e-02 + i 1.354281e-01 ; 6.853722e-02 + i 1.354281e-01 ; -1.687236e-05 + i -3.502709e-05 ; 0.000000e+00 + i -0.000000e+00 ; 1.888623e-01 + i 3.731879e-01 ; -6.297493e-02 + i -1.244388e-01 ; 1.888623e-01 + i 3.731879e-01 ; 0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -7.122590e-01 + i -1.407410e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.464800e-02 + i 8.822179e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.448939e-02 + i 2.862903e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.881898e-02 + i 1.359831e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.750334e-02 + i 3.458453e-02 ; -3.320027e-02 + i -6.560300e-02 ; 1.919599e-02 + i 3.793085e-02 ; 1.272883e-02 + i 2.515021e-02 ; -1.062316e-02 + i -2.099113e-02 ; 3.891920e-03 + i 7.690349e-03 ; 8.358943e-03 + i 1.651540e-02 ; -5.806035e-02 + i -1.147260e-01 ; 0.000000e+00 + i -0.000000e+00 ; 1.107822e-02 + i 2.188863e-02 ; -1.405001e-02 + i -2.776252e-02 ; 0.000000e+00 + i -0.000000e+00 ; 9.342002e-03 + i 1.845790e-02 ; 
3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; 0.000000e+00 + i -0.000000e+00 ; 1.888623e-01 + i 3.731879e-01 ; 1.258874e-01 + i 2.487491e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.687236e-05 + i -3.502709e-05 ; -6.853722e-02 + i -1.354281e-01 ; 6.853722e-02 + i 1.354281e-01 ; 2.491585e+00 + i 2.947337e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.122590e-01 + i -1.407410e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; -1.888623e-01 + i -3.731879e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.386072e-02 + i -4.714994e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.405001e-02 + i 2.776252e-02 ; -1.113742e-02 + i -2.200899e-02 ; 0.000000e+00 + i -0.000000e+00 ; 4.643431e-03 + i 9.175319e-03 ; -1.674550e-02 + i -3.309043e-02 ; -1.062316e-02 + i -2.099113e-02 ; 1.062316e-02 + i 2.099113e-02 ; -9.117111e-03 + i -1.801690e-02 ; -3.947886e-03 + i -7.800936e-03 ; 3.947886e-03 + i 7.800936e-03 ; -3.503804e-02 + i -6.923609e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.374071e-02 + i -2.715302e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.386072e-02 + i -4.714994e-02 ; -1.405001e-02 + i -2.776252e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.113742e-02 + i -2.200899e-02 ; -4.643431e-03 + i -9.175319e-03 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.258874e-01 + i 2.487491e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; 1.888623e-01 + i 3.731879e-01 ; -6.853722e-02 + i -1.354281e-01 ; -1.687236e-05 + i -3.502709e-05 ; 6.853722e-02 + i 1.354281e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.491585e+00 + i 2.947337e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -7.122590e-01 + i -1.407410e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.888623e-01 + i -3.731879e-01 ; -6.297493e-02 + i -1.244388e-01 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.448939e-02 + i 2.862903e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.180450e-03 + i 1.221075e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.062316e-02 + i -2.099113e-02 ; 8.358943e-03 + i 1.651540e-02 ; 3.891920e-03 + i 7.690349e-03 ; -3.947886e-03 + i -7.800936e-03 ; 4.548152e-03 + i 8.985361e-03 ; 1.058544e-03 + i 2.091661e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.750334e-02 + i 3.458453e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.859154e-03 + i 1.355185e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.405001e-02 + i -2.776252e-02 ; 9.342002e-03 + i 1.845790e-02 ; 0.000000e+00 + i -0.000000e+00 ; -4.643431e-03 + i -9.175319e-03 ; 4.935410e-03 + i 9.750574e-03 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.122590e-01 + i -1.407410e+00 ; 1.888623e-01 + i 3.731879e-01 ; -0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.888623e-01 + i 3.731879e-01 ; -6.297493e-02 + i -1.244388e-01 ; 6.853722e-02 + i 1.354281e-01 ; 6.853722e-02 + i 1.354281e-01 ; -1.687236e-05 + i -3.502709e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.491585e+00 + i 2.947337e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.258874e-01 + i 2.487491e-01 ; 1.405001e-02 + i 2.776252e-02 ; -0.000000e+00 + i -0.000000e+00 ; 9.342002e-03 + i 1.845790e-02 ; 4.643431e-03 + i 9.175319e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.935410e-03 + i 9.750574e-03 ; 1.062316e-02 + i 2.099113e-02 ; 3.891920e-03 + i 7.690349e-03 ; 8.358943e-03 + i 1.651540e-02 ; 3.947886e-03 + i 7.800936e-03 ; 1.058544e-03 + i 2.091661e-03 ; 4.548152e-03 + i 8.985361e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.750334e-02 + i 3.458453e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.859154e-03 + i 1.355185e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.448939e-02 + i 2.862903e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.180450e-03 + i 1.221075e-02 ; 
-6.297493e-02 + i -1.244388e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.888623e-01 + i -3.731879e-01 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.687236e-05 + i -3.502709e-05 ; 6.853722e-02 + i 1.354281e-01 ; -6.853722e-02 + i -1.354281e-01 ; 1.258874e-01 + i 2.487491e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.122590e-01 + i -1.407410e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.491585e+00 + i 2.947337e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; 1.888623e-01 + i 3.731879e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.576983e-02 + i -1.102016e-01 ; 0.000000e+00 + i -0.000000e+00 ; 5.806035e-02 + i 1.147260e-01 ; -2.386072e-02 + i -4.714994e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.405001e-02 + i 2.776252e-02 ; -2.549644e-02 + i -5.038210e-02 ; -3.320027e-02 + i -6.560300e-02 ; 3.320027e-02 + i 6.560300e-02 ; -1.674550e-02 + i -3.309043e-02 ; -1.062316e-02 + i -2.099113e-02 ; 1.062316e-02 + i 2.099113e-02 ; -1.376887e-01 + i -2.720714e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.503804e-02 + i -6.923609e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -5.576983e-02 + i -1.102016e-01 ; -5.806035e-02 + i -1.147260e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.386072e-02 + i -4.714994e-02 ; -1.405001e-02 + i -2.776252e-02 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.258874e-01 + i 2.487491e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; 6.853722e-02 + i 1.354281e-01 ; -1.687236e-05 + i -3.502709e-05 ; 6.853722e-02 + i 1.354281e-01 ; 0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; 1.888623e-01 + i 3.731879e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.491585e+00 + i 2.947337e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.888623e-01 + i 3.731879e-01 ; -6.297493e-02 + i -1.244388e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -7.122590e-01 + i -1.407410e+00 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.464800e-02 + i 8.822179e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.448939e-02 + i 2.862903e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.320027e-02 + i -6.560300e-02 ; 1.272883e-02 + i 2.515021e-02 ; 1.919599e-02 + i 3.793085e-02 ; -1.062316e-02 + i -2.099113e-02 ; 8.358943e-03 + i 1.651540e-02 ; 3.891920e-03 + i 7.690349e-03 ; -0.000000e+00 + i -0.000000e+00 ; 6.881898e-02 + i 1.359831e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.750334e-02 + i 3.458453e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.806035e-02 + i -1.147260e-01 ; 1.107822e-02 + i 2.188863e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.405001e-02 + i -2.776252e-02 ; 9.342002e-03 + i 1.845790e-02 ; 0.000000e+00 + i -0.000000e+00 ; 
-1.888623e-01 + i -3.731879e-01 ; -0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.122590e-01 + i -1.407410e+00 ; -6.853722e-02 + i -1.354281e-01 ; 6.853722e-02 + i 1.354281e-01 ; -1.687236e-05 + i -3.502709e-05 ; -0.000000e+00 + i -0.000000e+00 ; 1.888623e-01 + i 3.731879e-01 ; -6.297493e-02 + i -1.244388e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.491585e+00 + i 2.947337e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.258874e-01 + i 2.487491e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; 5.806035e-02 + i 1.147260e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.107822e-02 + i 2.188863e-02 ; 1.405001e-02 + i 2.776252e-02 ; -0.000000e+00 + i -0.000000e+00 ; 9.342002e-03 + i 1.845790e-02 ; 3.320027e-02 + i 6.560300e-02 ; 1.919599e-02 + i 3.793085e-02 ; 1.272883e-02 + i 2.515021e-02 ; 1.062316e-02 + i 2.099113e-02 ; 3.891920e-03 + i 7.690349e-03 ; 8.358943e-03 + i 1.651540e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.881898e-02 + i 1.359831e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.750334e-02 + i 3.458453e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.464800e-02 + i 8.822179e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.448939e-02 + i 2.862903e-02 ; 
1.258874e-01 + i 2.487491e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.687236e-05 + i -3.502709e-05 ; 6.853722e-02 + i 1.354281e-01 ; 6.853722e-02 + i 1.354281e-01 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; 0.000000e+00 + i -0.000000e+00 ; 1.888623e-01 + i 3.731879e-01 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; 1.888623e-01 + i 3.731879e-01 ; 0.000000e+00 + i -0.000000e+00 ; 2.491585e+00 + i 2.947337e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.122590e-01 + i -1.407410e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.674550e-02 + i -3.309043e-02 ; 1.062316e-02 + i 2.099113e-02 ; 1.062316e-02 + i 2.099113e-02 ; -9.117111e-03 + i -1.801690e-02 ; 3.947886e-03 + i 7.800936e-03 ; 3.947886e-03 + i 7.800936e-03 ; -2.386072e-02 + i -4.714994e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.405001e-02 + i 2.776252e-02 ; -1.113742e-02 + i -2.200899e-02 ; 0.000000e+00 + i -0.000000e+00 ; 4.643431e-03 + i 9.175319e-03 ; -2.386072e-02 + i -4.714994e-02 ; 1.405001e-02 + i 2.776252e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.113742e-02 + i -2.200899e-02 ; 4.643431e-03 + i 9.175319e-03 ; 0.000000e+00 + i -0.000000e+00 ; -3.503804e-02 + i -6.923609e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.374071e-02 + i -2.715302e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; -1.888623e-01 + i -3.731879e-01 ; 6.853722e-02 + i 1.354281e-01 ; -1.687236e-05 + i -3.502709e-05 ; -6.853722e-02 + i -1.354281e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.258874e-01 + i 2.487491e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.122590e-01 + i -1.407410e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.888623e-01 + i 3.731879e-01 ; -6.297493e-02 + i -1.244388e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.491585e+00 + i 2.947337e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.062316e-02 + i 2.099113e-02 ; 8.358943e-03 + i 1.651540e-02 ; -3.891920e-03 + i -7.690349e-03 ; 3.947886e-03 + i 7.800936e-03 ; 4.548152e-03 + i 8.985361e-03 ; -1.058544e-03 + i -2.091661e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.448939e-02 + i 2.862903e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.180450e-03 + i 1.221075e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.405001e-02 + i 2.776252e-02 ; 9.342002e-03 + i 1.845790e-02 ; -0.000000e+00 + i -0.000000e+00 ; 4.643431e-03 + i 9.175319e-03 ; 4.935410e-03 + i 9.750574e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.750334e-02 + i 3.458453e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.859154e-03 + i 1.355185e-02 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -1.888623e-01 + i -3.731879e-01 ; -6.297493e-02 + i -1.244388e-01 ; 6.853722e-02 + i 1.354281e-01 ; -6.853722e-02 + i -1.354281e-01 ; -1.687236e-05 + i -3.502709e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.122590e-01 + i -1.407410e+00 ; 1.888623e-01 + i 3.731879e-01 ; -0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.258874e-01 + i 2.487491e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.491585e+00 + i 2.947337e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; 1.062316e-02 + i 2.099113e-02 ; -3.891920e-03 + i -7.690349e-03 ; 8.358943e-03 + i 1.651540e-02 ; 3.947886e-03 + i 7.800936e-03 ; -1.058544e-03 + i -2.091661e-03 ; 4.548152e-03 + i 8.985361e-03 ; 1.405001e-02 + i 2.776252e-02 ; -0.000000e+00 + i -0.000000e+00 ; 9.342002e-03 + i 1.845790e-02 ; 4.643431e-03 + i 9.175319e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.935410e-03 + i 9.750574e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.448939e-02 + i 2.862903e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.180450e-03 + i 1.221075e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.750334e-02 + i 3.458453e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.859154e-03 + i 1.355185e-02 ; 
-1.687236e-05 + i -3.502709e-05 ; -6.853722e-02 + i -1.354281e-01 ; -6.853722e-02 + i -1.354281e-01 ; 1.258874e-01 + i 2.487491e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.888623e-01 + i -3.731879e-01 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; -1.888623e-01 + i -3.731879e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.122590e-01 + i -1.407410e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.491585e+00 + i 2.947337e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.549644e-02 + i -5.038210e-02 ; 3.320027e-02 + i 6.560300e-02 ; 3.320027e-02 + i 6.560300e-02 ; -1.674550e-02 + i -3.309043e-02 ; 1.062316e-02 + i 2.099113e-02 ; 1.062316e-02 + i 2.099113e-02 ; -5.576983e-02 + i -1.102016e-01 ; 0.000000e+00 + i -0.000000e+00 ; 5.806035e-02 + i 1.147260e-01 ; -2.386072e-02 + i -4.714994e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.405001e-02 + i 2.776252e-02 ; -5.576983e-02 + i -1.102016e-01 ; 5.806035e-02 + i 1.147260e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.386072e-02 + i -4.714994e-02 ; 1.405001e-02 + i 2.776252e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.376887e-01 + i -2.720714e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.503804e-02 + i -6.923609e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-6.853722e-02 + i -1.354281e-01 ; -1.687236e-05 + i -3.502709e-05 ; -6.853722e-02 + i -1.354281e-01 ; -0.000000e+00 + i -0.000000e+00 ; -6.297493e-02 + i -1.244388e-01 ; -1.888623e-01 + i -3.731879e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.258874e-01 + i 2.487491e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.888623e-01 + i -3.731879e-01 ; -6.297493e-02 + i -1.244388e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.122590e-01 + i -1.407410e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.560849e-01 + i 7.036143e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.491585e+00 + i 2.947337e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.320027e-02 + i 6.560300e-02 ; 1.272883e-02 + i 2.515021e-02 ; -1.919599e-02 + i -3.793085e-02 ; 1.062316e-02 + i 2.099113e-02 ; 8.358943e-03 + i 1.651540e-02 ; -3.891920e-03 + i -7.690349e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.464800e-02 + i 8.822179e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.448939e-02 + i 2.862903e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.806035e-02 + i 1.147260e-01 ; 1.107822e-02 + i 2.188863e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.405001e-02 + i 2.776252e-02 ; 9.342002e-03 + i 1.845790e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.881898e-02 + i 1.359831e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.750334e-02 + i 3.458453e-02 ; -0.000000e+00 + i -0.000000e+00 ; 
