-1.953804e+10 + i 9.224542e+08 ; -1.859478e+07 + i -4.169652e+06 ; -1.859820e+07 + i -4.170571e+06 ; 7.248471e+09 + i -5.560022e+08 ; 2.720284e+08 + i 4.419817e+06 ; 2.720288e+08 + i 4.419512e+06 ; -3.430744e+09 + i 2.725461e+08 ; -1.445016e+08 + i -2.164403e+06 ; -1.845329e+07 + i -2.224096e+06 ; -3.408886e+08 + i -6.617526e+07 ; 1.873426e+09 + i -1.520730e+08 ; 8.658414e+07 + i -1.753766e+06 ; -3.430745e+09 + i 2.725461e+08 ; -1.845326e+07 + i -2.223499e+06 ; -1.445013e+08 + i -2.164276e+06 ; -3.408922e+08 + i -6.617592e+07 ; 8.658126e+07 + i -1.751130e+06 ; 1.873426e+09 + i -1.520729e+08 ; -8.349940e+08 + i 1.046258e+08 ; -8.096347e+07 + i -4.480546e+04 ; -8.096204e+07 + i -4.384894e+04 ; -3.324019e+08 + i 1.209109e+07 ; 5.638363e+08 + i -5.731841e+07 ; 5.638358e+08 + i -5.731839e+07 ; 5.129391e+08 + i -2.455356e+07 ; 6.076934e+06 + i -7.520966e+05 ; 6.077837e+06 + i -7.518980e+05 ; 2.277476e+08 + i -7.956427e+06 ; -4.581168e+05 + i -3.129823e+05 ; -4.581626e+05 + i -3.130049e+05 ; 2.431125e+08 + i -2.224423e+07 ; 1.005914e+08 + i -1.195116e+07 ; 2.247024e+06 + i -6.609480e+05 ; 1.424874e+08 + i -1.013664e+07 ; 2.649491e+07 + i -3.801983e+06 ; -1.014935e+06 + i -2.653985e+05 ; 2.431121e+08 + i -2.224416e+07 ; 2.245929e+06 + i -6.607220e+05 ; 1.005914e+08 + i -1.195114e+07 ; 1.424873e+08 + i -1.013665e+07 ; -1.015126e+06 + i -2.652947e+05 ; 2.649490e+07 + i -3.801982e+06 ; 1.208151e+08 + i -1.677175e+07 ; 7.065745e+07 + i -8.969225e+06 ; 7.065743e+07 + i -8.969246e+06 ; 9.163140e+07 + i -9.689285e+06 ; 2.136881e+07 + i -3.194405e+06 ; 2.136873e+07 + i -3.194415e+06 ; 
-1.623245e+07 + i -4.101147e+06 ; -1.954714e+10 + i 9.218738e+08 ; -1.821068e+07 + i -4.180381e+06 ; -1.407718e+08 + i -2.110339e+06 ; -3.435308e+09 + i 2.722236e+08 ; -1.800258e+07 + i -2.215296e+06 ; 2.762957e+08 + i 4.650800e+06 ; 7.226788e+09 + i -5.568536e+08 ; 2.728746e+08 + i 4.421371e+06 ; 1.883622e+09 + i -1.517624e+08 ; -3.541502e+08 + i -6.638961e+07 ; 8.744281e+07 + i -1.743430e+06 ; -1.629517e+07 + i -2.178210e+06 ; -3.438130e+09 + i 2.722155e+08 ; -1.440248e+08 + i -2.185069e+06 ; -7.776475e+07 + i -3.268403e+04 ; -8.383740e+08 + i 1.044717e+08 ; -8.049615e+07 + i -3.880657e+04 ; 9.047233e+07 + i -1.570892e+06 ; -3.566414e+08 + i -6.644709e+07 ; 1.875588e+09 + i -1.521201e+08 ; 5.726383e+08 + i -5.711430e+07 ; -3.416505e+08 + i 1.219156e+07 ; 5.656527e+08 + i -5.734694e+07 ; 4.903259e+06 + i -6.988077e+05 ; -1.286648e+08 + i 1.468967e+07 ; -6.565974e+06 + i -2.059644e+05 ; 5.473686e+06 + i -3.735308e+05 ; -4.945688e+07 + i 5.692481e+06 ; -2.998950e+06 + i -1.703422e+04 ; 2.014984e+08 + i -1.025776e+07 ; -1.064244e+08 + i 9.324033e+06 ; -2.193819e+06 + i -2.120997e+05 ; 8.763078e+07 + i -2.533206e+06 ; -4.320036e+07 + i 4.635010e+06 ; -1.866953e+06 + i -4.739879e+04 ; -4.597667e+05 + i -7.087659e+05 ; -1.027043e+08 + i 1.211369e+07 ; -1.225064e+07 + i 5.579513e+03 ; 2.854085e+06 + i -4.660843e+05 ; -4.283154e+07 + i 5.154182e+06 ; -4.500159e+06 + i 6.771955e+04 ; 1.389451e+08 + i -8.530423e+06 ; -8.544883e+07 + i 8.417903e+06 ; 2.457349e+07 + i -3.231660e+06 ; 6.820477e+07 + i -2.750709e+06 ; -3.784561e+07 + i 4.271666e+06 ; 4.353571e+06 + i -8.386816e+05 ; 
-1.623880e+07 + i -4.102900e+06 ; -1.821086e+07 + i -4.180441e+06 ; -1.954714e+10 + i 9.218728e+08 ; -1.407716e+08 + i -2.110257e+06 ; -1.800283e+07 + i -2.215379e+06 ; -3.435320e+09 + i 2.722205e+08 ; -1.629896e+07 + i -2.179123e+06 ; -1.440242e+08 + i -2.185380e+06 ; -3.438115e+09 + i 2.722069e+08 ; -7.776317e+07 + i -3.175970e+04 ; -8.049593e+07 + i -3.902199e+04 ; -8.383753e+08 + i 1.044682e+08 ; 2.762952e+08 + i 4.650627e+06 ; 2.728750e+08 + i 4.421183e+06 ; 7.226795e+09 + i -5.568582e+08 ; 1.883622e+09 + i -1.517623e+08 ; 8.744289e+07 + i -1.743644e+06 ; -3.541476e+08 + i -6.639204e+07 ; 9.046343e+07 + i -1.574033e+06 ; 1.875588e+09 + i -1.521202e+08 ; -3.566429e+08 + i -6.644755e+07 ; 5.726368e+08 + i -5.711496e+07 ; 5.656522e+08 + i -5.734717e+07 ; -3.416588e+08 + i 1.218986e+07 ; 4.904842e+06 + i -6.983939e+05 ; -6.565969e+06 + i -2.059676e+05 ; -1.286661e+08 + i 1.468927e+07 ; 5.473981e+06 + i -3.734345e+05 ; -2.998971e+06 + i -1.704335e+04 ; -4.945708e+07 + i 5.692467e+06 ; -4.576848e+05 + i -7.081526e+05 ; -1.225063e+07 + i 5.566959e+03 ; -1.027052e+08 + i 1.211341e+07 ; 2.854927e+06 + i -4.657900e+05 ; -4.500162e+06 + i 6.771899e+04 ; -4.283185e+07 + i 5.154189e+06 ; 2.014981e+08 + i -1.025785e+07 ; -2.193754e+06 + i -2.121184e+05 ; -1.064243e+08 + i 9.323571e+06 ; 8.763068e+07 + i -2.533251e+06 ; -1.866941e+06 + i -4.741173e+04 ; -4.320037e+07 + i 4.634838e+06 ; 1.389468e+08 + i -8.529964e+06 ; 2.457351e+07 + i -3.231648e+06 ; -8.544895e+07 + i 8.417792e+06 ; 6.820513e+07 + i -2.750611e+06 ; 4.353564e+06 + i -8.386805e+05 ; -3.784584e+07 + i 4.271572e+06 ; 
7.248585e+09 + i -5.559643e+08 ; -2.763957e+08 + i -4.737029e+06 ; -2.763960e+08 + i -4.736644e+06 ; -1.949472e+10 + i 9.227060e+08 ; 1.296800e+07 + i 3.898966e+06 ; 1.297146e+07 + i 3.899919e+06 ; -3.408506e+08 + i -6.616294e+07 ; -1.887945e+09 + i 1.510243e+08 ; -8.985581e+07 + i 1.670454e+06 ; -3.406459e+09 + i 2.720274e+08 ; 1.333594e+08 + i 2.167879e+06 ; 1.317427e+07 + i 2.003769e+06 ; -3.408567e+08 + i -6.616440e+07 ; -8.985185e+07 + i 1.668228e+06 ; -1.887945e+09 + i 1.510242e+08 ; -3.406456e+09 + i 2.720288e+08 ; 1.317389e+07 + i 2.003090e+06 ; 1.333591e+08 + i 2.167730e+06 ; -3.323927e+08 + i 1.209426e+07 ; -5.712130e+08 + i 5.712803e+07 ; -5.712126e+08 + i 5.712797e+07 ; -8.214829e+08 + i 1.038584e+08 ; 7.098618e+07 + i 2.892146e+04 ; 7.098639e+07 + i 2.865885e+04 ; 1.389012e+09 + i -1.061156e+08 ; 8.723556e+07 + i 9.393147e+05 ; 8.723578e+07 + i 9.392359e+05 ; 5.129369e+08 + i -2.455602e+07 ; 1.582068e+07 + i -1.127054e+06 ; 1.581983e+07 + i -1.127333e+06 ; 4.008418e+08 + i -4.744663e+07 ; 5.661125e+08 + i -4.680597e+07 ; 4.820618e+07 + i -3.562888e+05 ; 2.431019e+08 + i -2.224677e+07 ; 9.238603e+07 + i -1.201958e+07 ; 1.040230e+07 + i -9.105301e+05 ; 4.008465e+08 + i -4.744531e+07 ; 4.820447e+07 + i -3.557856e+05 ; 5.661124e+08 + i -4.680590e+07 ; 2.431040e+08 + i -2.224616e+07 ; 1.040203e+07 + i -9.101670e+05 ; 9.238608e+07 + i -1.201952e+07 ; 1.087163e+08 + i -2.200305e+07 ; 2.952556e+08 + i -2.734453e+07 ; 2.952557e+08 + i -2.734439e+07 ; 1.208042e+08 + i -1.677339e+07 ; 6.791414e+07 + i -8.894252e+06 ; 6.791395e+07 + i -8.894194e+06 ; 
1.510015e+08 + i 2.810211e+06 ; -3.435414e+09 + i 2.721873e+08 ; -1.840608e+07 + i -2.258596e+06 ; 2.430863e+07 + i 4.094153e+06 ; -1.953272e+10 + i 9.222533e+08 ; -1.876675e+07 + i -4.202533e+06 ; -1.907163e+09 + i 1.476933e+08 ; -3.541427e+08 + i -6.638636e+07 ; 8.752218e+07 + i -1.680608e+06 ; -2.581375e+08 + i -5.342855e+06 ; 7.236369e+09 + i -5.562847e+08 ; 2.735950e+08 + i 4.706291e+06 ; 8.552308e+07 + i 3.427928e+05 ; -8.384022e+08 + i 1.044642e+08 ; -8.119764e+07 + i -1.336619e+05 ; 2.270492e+07 + i 2.103003e+06 ; -3.425247e+09 + i 2.725189e+08 ; -1.457797e+08 + i -2.292640e+06 ; -5.710178e+08 + i 5.638150e+07 ; -3.416525e+08 + i 1.219041e+07 ; 5.684418e+08 + i -5.706772e+07 ; -7.393104e+07 + i 1.545139e+06 ; -3.474869e+08 + i -6.596673e+07 ; 1.883321e+09 + i -1.509623e+08 ; -5.978975e+07 + i -1.167242e+06 ; -6.723968e+08 + i 5.297627e+07 ; -1.092405e+07 + i -7.601479e+05 ; -2.505164e+07 + i -1.716324e+06 ; -1.286652e+08 + i 1.469242e+07 ; -5.454443e+06 + i -1.605462e+05 ; 5.779737e+08 + i -4.621755e+07 ; -2.708529e+08 + i 7.134760e+06 ; 1.624460e+07 + i -2.210906e+05 ; 2.128465e+08 + i -1.017357e+07 ; -1.064270e+08 + i 9.323779e+06 ; -3.216059e+05 + i -3.113227e+05 ; -4.340552e+07 + i -4.415132e+05 ; -3.858568e+08 + i 3.598679e+07 ; -3.050376e+07 + i -3.071832e+05 ; -2.194160e+07 + i -1.123464e+06 ; -1.027038e+08 + i 1.211592e+07 ; -1.063355e+07 + i 1.148813e+05 ; 3.028150e+08 + i -2.696791e+07 ; -2.106550e+08 + i 1.177898e+07 ; 1.660807e+08 + i -1.579711e+07 ; 1.377033e+08 + i -8.778352e+06 ; -8.544998e+07 + i 8.417912e+06 ; 2.067536e+07 + i -3.274959e+06 ; 
1.510022e+08 + i 2.810443e+06 ; -1.840635e+07 + i -2.258688e+06 ; -3.435427e+09 + i 2.721840e+08 ; 2.431254e+07 + i 4.095153e+06 ; -1.876692e+07 + i -4.202589e+06 ; -1.953272e+10 + i 9.222524e+08 ; 8.552386e+07 + i 3.428344e+05 ; -8.119743e+07 + i -1.338803e+05 ; -8.384031e+08 + i 1.044610e+08 ; 2.270727e+07 + i 2.103499e+06 ; -1.457790e+08 + i -2.292903e+06 ; -3.425236e+09 + i 2.725086e+08 ; -1.907163e+09 + i 1.476933e+08 ; 8.752232e+07 + i -1.680792e+06 ; -3.541398e+08 + i -6.638873e+07 ; -2.581371e+08 + i -5.342735e+06 ; 2.735953e+08 + i 4.706053e+06 ; 7.236377e+09 + i -5.562887e+08 ; -5.710160e+08 + i 5.638232e+07 ; 5.684414e+08 + i -5.706788e+07 ; -3.416548e+08 + i 1.219144e+07 ; -7.392671e+07 + i 1.546677e+06 ; 1.883321e+09 + i -1.509623e+08 ; -3.474882e+08 + i -6.596716e+07 ; -5.979042e+07 + i -1.167504e+06 ; -1.092400e+07 + i -7.601360e+05 ; -6.723928e+08 + i 5.297743e+07 ; -2.505276e+07 + i -1.716632e+06 ; -5.454488e+06 + i -1.605655e+05 ; -1.286643e+08 + i 1.469273e+07 ; -4.340541e+07 + i -4.414944e+05 ; -3.050357e+07 + i -3.071854e+05 ; -3.858541e+08 + i 3.598680e+07 ; -2.194190e+07 + i -1.123490e+06 ; -1.063352e+07 + i 1.148768e+05 ; -1.027035e+08 + i 1.211610e+07 ; 5.779736e+08 + i -4.621756e+07 ; 1.624477e+07 + i -2.211108e+05 ; -2.708499e+08 + i 7.134381e+06 ; 2.128464e+08 + i -1.017358e+07 ; -3.215772e+05 + i -3.113520e+05 ; -1.064265e+08 + i 9.323453e+06 ; 3.028140e+08 + i -2.696836e+07 ; 1.660808e+08 + i -1.579703e+07 ; -2.106529e+08 + i 1.177936e+07 ; 1.377022e+08 + i -8.778788e+06 ; 2.067533e+07 + i -3.274965e+06 ; -8.545033e+07 + i 8.417701e+06 ; 
-3.430836e+09 + i 2.725074e+08 ; 1.485750e+08 + i 2.520436e+06 ; -1.856025e+07 + i -2.258410e+06 ; -3.406980e+08 + i -6.622520e+07 ; -1.913414e+09 + i 1.473532e+08 ; 8.703987e+07 + i -1.678287e+06 ; -1.953805e+10 + i 9.224434e+08 ; 1.909815e+07 + i 4.293917e+06 ; -1.869752e+07 + i -4.214053e+06 ; 7.248515e+09 + i -5.560091e+08 ; -2.787664e+08 + i -5.364788e+06 ; 2.735424e+08 + i 4.741213e+06 ; -8.350115e+08 + i 1.046148e+08 ; 8.277939e+07 + i 3.485671e+05 ; -8.141145e+07 + i -1.318257e+05 ; -3.323620e+08 + i 1.207356e+07 ; -5.759152e+08 + i 5.614085e+07 ; 5.670379e+08 + i -5.702252e+07 ; -3.430747e+09 + i 2.725451e+08 ; 1.885947e+07 + i 2.331459e+06 ; -1.453030e+08 + i -2.333588e+06 ; -3.408874e+08 + i -6.617557e+07 ; -8.852158e+07 + i 1.461167e+06 ; 1.884015e+09 + i -1.508796e+08 ; 2.431467e+08 + i -2.223656e+07 ; -1.027778e+08 + i 1.178528e+07 ; 2.256041e+06 + i -6.634561e+05 ; 1.425055e+08 + i -1.013309e+07 ; -2.707769e+07 + i 3.773414e+06 ; -1.021400e+06 + i -2.682730e+05 ; 5.129408e+08 + i -2.455283e+07 ; -6.240034e+06 + i 7.572830e+05 ; 6.114818e+06 + i -7.488541e+05 ; 2.277459e+08 + i -7.956502e+06 ; 4.532394e+05 + i 3.263993e+05 ; -4.596603e+05 + i -3.150621e+05 ; 1.208355e+08 + i -1.676976e+07 ; -7.219561e+07 + i 8.864772e+06 ; 7.106035e+07 + i -8.942247e+06 ; 9.164433e+07 + i -9.687613e+06 ; -2.183952e+07 + i 3.174124e+06 ; 2.149120e+07 + i -3.188896e+06 ; 2.431137e+08 + i -2.224346e+07 ; -2.317551e+06 + i 6.760732e+05 ; 1.011643e+08 + i -1.190807e+07 ; 1.424861e+08 + i -1.013666e+07 ; 1.025152e+06 + i 2.793429e+05 ; 2.664649e+07 + i -3.794274e+06 ; 
-2.787717e+08 + i -4.656114e+06 ; 7.226917e+09 + i -5.568170e+08 ; -2.743962e+08 + i -4.746329e+06 ; -1.893560e+09 + i 1.506333e+08 ; -3.539294e+08 + i -6.642942e+07 ; -8.793852e+07 + i 1.655439e+06 ; 1.636925e+07 + i 4.112299e+06 ; -1.954716e+10 + i 9.218623e+08 ; 1.827321e+07 + i 4.212177e+06 ; 1.425556e+08 + i 1.961525e+06 ; -3.435360e+09 + i 2.722259e+08 ; 1.808070e+07 + i 2.241138e+06 ; -9.105886e+07 + i 1.526043e+06 ; -3.566148e+08 + i -6.643193e+07 ; -1.886190e+09 + i 1.509250e+08 ; -5.756790e+08 + i 5.683120e+07 ; -3.415997e+08 + i 1.217975e+07 ; -5.688620e+08 + i 5.705063e+07 ; 1.640029e+07 + i 2.191780e+06 ; -3.438137e+09 + i 2.722114e+08 ; 1.448265e+08 + i 2.355184e+06 ; 7.828764e+07 + i 7.127746e+04 ; -8.383804e+08 + i 1.044703e+08 ; 8.094613e+07 + i 1.275327e+05 ; -2.025087e+08 + i 1.009332e+07 ; -1.064144e+08 + i 9.315008e+06 ; 2.205417e+06 + i 2.155201e+05 ; -8.806166e+07 + i 2.450349e+06 ; -4.319763e+07 + i 4.633506e+06 ; 1.877123e+06 + i 4.964538e+04 ; -4.840696e+06 + i 6.800711e+05 ; -1.286654e+08 + i 1.468844e+07 ; 6.600496e+06 + i 2.137442e+05 ; -5.460579e+06 + i 3.626624e+05 ; -4.945667e+07 + i 5.691946e+06 ; 3.015164e+06 + i 2.028319e+04 ; -1.396449e+08 + i 8.424710e+06 ; -8.544663e+07 + i 8.411705e+06 ; -2.471366e+07 + i 3.222940e+06 ; -6.854166e+07 + i 2.690173e+06 ; -3.784480e+07 + i 4.270190e+06 ; -4.378639e+06 + i 8.386446e+05 ; 5.151240e+05 + i 7.017938e+05 ; -1.027039e+08 + i 1.211357e+07 ; 1.231887e+07 + i 7.759981e+03 ; -2.838787e+06 + i 4.599632e+05 ; -4.283075e+07 + i 5.154026e+06 ; 4.525328e+06 + i -6.316966e+04 ; 
-1.639901e+07 + i -2.206492e+06 ; 1.470382e+08 + i 2.843736e+06 ; -3.438233e+09 + i 2.721676e+08 ; -7.816922e+07 + i -1.102384e+05 ; 8.219046e+07 + i 3.818620e+05 ; -8.384102e+08 + i 1.044588e+08 ; -1.632053e+07 + i -4.139130e+06 ; 1.854238e+07 + i 4.332260e+06 ; -1.954717e+10 + i 9.218613e+08 ; -1.414975e+08 + i -2.264603e+06 ; 1.836588e+07 + i 2.328954e+06 ; -3.435342e+09 + i 2.722134e+08 ; 9.111868e+07 + i -1.555175e+06 ; -1.915460e+09 + i 1.473628e+08 ; -3.566346e+08 + i -6.644387e+07 ; 5.757496e+08 + i -5.684738e+07 ; -5.778247e+08 + i 5.617829e+07 ; -3.416540e+08 + i 1.219171e+07 ; 2.777021e+08 + i 4.960036e+06 ; -2.785620e+08 + i -5.676951e+06 ; 7.226796e+09 + i -5.568571e+08 ; 1.893478e+09 + i -1.506183e+08 ; -8.947893e+07 + i 1.463158e+06 ; -3.541453e+08 + i -6.639077e+07 ; -4.556504e+05 + i -7.113974e+05 ; 1.250942e+07 + i 4.582704e+04 ; -1.027052e+08 + i 1.211363e+07 ; 2.872571e+06 + i -4.647626e+05 ; 4.595736e+06 + i -5.029141e+04 ; -4.283128e+07 + i 5.154414e+06 ; 4.930307e+06 + i -6.976685e+05 ; 6.704713e+06 + i 2.372189e+05 ; -1.286686e+08 + i 1.468858e+07 ; 5.502299e+06 + i -3.701636e+05 ; 3.062650e+06 + i 2.978590e+04 ; -4.945790e+07 + i 5.692269e+06 ; 1.396852e+08 + i -8.430991e+06 ; -2.511173e+07 + i 3.198289e+06 ; -8.544892e+07 + i 8.417864e+06 ; 6.856630e+07 + i -2.694344e+06 ; -4.451374e+06 + i 8.388127e+05 ; -3.784588e+07 + i 4.271578e+06 ; 2.025466e+08 + i -1.010582e+07 ; 2.228513e+06 + i 2.302258e+05 ; -1.064242e+08 + i 9.323650e+06 ; 8.808398e+07 + i -2.457426e+06 ; 1.902732e+06 + i 5.750610e+04 ; -4.320019e+07 + i 4.634913e+06 ; 
-3.414224e+08 + i -6.639235e+07 ; 1.927867e+09 + i -1.461524e+08 ; -9.029248e+07 + i 1.600657e+06 ; -3.406389e+09 + i 2.720456e+08 ; -1.329229e+08 + i -1.500073e+06 ; 1.324662e+07 + i 2.028758e+06 ; 7.248469e+09 + i -5.560251e+08 ; 2.789449e+08 + i 4.738262e+06 ; -2.778233e+08 + i -5.032415e+06 ; -1.949470e+10 + i 9.227125e+08 ; -1.321206e+07 + i -4.025935e+06 ; 1.303690e+07 + i 3.933486e+06 ; -3.325314e+08 + i 1.204677e+07 ; 5.832696e+08 + i -5.592387e+07 ; -5.742206e+08 + i 5.686314e+07 ; -8.214909e+08 + i 1.038497e+08 ; -7.208877e+07 + i -2.033540e+05 ; 7.135203e+07 + i 9.793949e+04 ; -3.408581e+08 + i -6.616365e+07 ; 9.136610e+07 + i -1.443200e+06 ; -1.897843e+09 + i 1.499567e+08 ; -3.406450e+09 + i 2.720313e+08 ; -1.335844e+07 + i -2.060488e+06 ; 1.340455e+08 + i 2.309299e+06 ; 4.010146e+08 + i -4.737912e+07 ; -5.783752e+08 + i 4.525396e+07 ; 4.844692e+07 + i -3.137358e+05 ; 2.431756e+08 + i -2.221862e+07 ; -9.446188e+07 + i 1.183844e+07 ; 1.045333e+07 + i -9.061142e+05 ; 1.389016e+09 + i -1.061139e+08 ; -8.969391e+07 + i -1.589617e+06 ; 8.768917e+07 + i 1.030495e+06 ; 5.129346e+08 + i -2.455608e+07 ; -1.627768e+07 + i 1.037680e+06 ; 1.590375e+07 + i -1.117393e+06 ; 1.088002e+08 + i -2.197282e+07 ; -3.016671e+08 + i 2.659696e+07 ; 2.968079e+08 + i -2.719643e+07 ; 1.208496e+08 + i -1.675724e+07 ; -6.943874e+07 + i 8.763340e+06 ; 6.827384e+07 + i -8.873511e+06 ; 4.008476e+08 + i -4.744478e+07 ; -4.949381e+07 + i 4.754917e+04 ; 5.690816e+08 + i -4.649372e+07 ; 2.431021e+08 + i -2.224646e+07 ; -1.070999e+07 + i 8.522546e+05 ; 9.287481e+07 + i -1.199122e+07 ; 
1.916938e+09 + i -1.464628e+08 ; -3.546835e+08 + i -6.660741e+07 ; -8.798157e+07 + i 1.601739e+06 ; 2.562552e+08 + i 4.369862e+06 ; 7.236337e+09 + i -5.563040e+08 ; -2.750115e+08 + i -5.001604e+06 ; -1.485553e+08 + i -1.698801e+06 ; -3.435309e+09 + i 2.722432e+08 ; 1.847958e+07 + i 2.282275e+06 ; -2.440866e+07 + i -4.125532e+06 ; -1.953272e+10 + i 9.222572e+08 ; 1.882599e+07 + i 4.231612e+06 ; 5.738883e+08 + i -5.610531e+07 ; -3.417804e+08 + i 1.214733e+07 ; -5.714329e+08 + i 5.680650e+07 ; 7.395030e+07 + i -1.594197e+06 ; -3.474692e+08 + i -6.595337e+07 ; -1.893195e+09 + i 1.498993e+08 ; -8.557908e+07 + i -3.044257e+05 ; -8.384004e+08 + i 1.044634e+08 ; 8.161888e+07 + i 2.146692e+05 ; -2.273145e+07 + i -2.094328e+06 ; -3.425249e+09 + i 2.725168e+08 ; 1.465332e+08 + i 2.448413e+06 ; -5.807661e+08 + i 4.591693e+07 ; -2.706838e+08 + i 7.200316e+06 ; -1.632932e+07 + i 2.059751e+05 ; -2.138192e+08 + i 1.004885e+07 ; -1.064017e+08 + i 9.333660e+06 ; 3.223602e+05 + i 3.130375e+05 ; 6.071840e+07 + i 1.487211e+06 ; -6.724057e+08 + i 5.297222e+07 ; 1.097419e+07 + i 7.729903e+05 ; 2.541524e+07 + i 1.853719e+06 ; -1.286668e+08 + i 1.469080e+07 ; 5.480800e+06 + i 1.662456e+05 ; -3.042836e+08 + i 2.682230e+07 ; -2.105799e+08 + i 1.180704e+07 ; -1.669536e+08 + i 1.571629e+07 ; -1.383339e+08 + i 8.707917e+06 ; -8.543484e+07 + i 8.424122e+06 ; -2.078517e+07 + i 3.271724e+06 ; 4.390235e+07 + i 5.971468e+05 ; -3.858603e+08 + i 3.598499e+07 ; 3.066115e+07 + i 3.386912e+05 ; 2.219632e+07 + i 1.210819e+06 ; -1.027042e+08 + i 1.211482e+07 ; 1.068877e+07 + i -1.049873e+05 ; 
8.593864e+07 + i 4.231112e+05 ; 8.287579e+07 + i 4.739483e+05 ; -8.384354e+08 + i 1.044527e+08 ; 2.277837e+07 + i 2.116957e+06 ; 1.488045e+08 + i 2.959844e+06 ; -3.425349e+09 + i 2.724712e+08 ; 1.517539e+08 + i 2.977082e+06 ; 1.871642e+07 + i 2.354644e+06 ; -3.435443e+09 + i 2.721796e+08 ; 2.442047e+07 + i 4.135504e+06 ; 1.909587e+07 + i 4.353637e+06 ; -1.953275e+10 + i 9.222419e+08 ; -5.736573e+08 + i 5.620678e+07 ; -5.802106e+08 + i 5.597510e+07 ; -3.416501e+08 + i 1.219331e+07 ; -7.369107e+07 + i 1.732995e+06 ; -1.923162e+09 + i 1.461013e+08 ; -3.474793e+08 + i -6.596315e+07 ; -1.916951e+09 + i 1.464566e+08 ; -8.875697e+07 + i 1.586050e+06 ; -3.541381e+08 + i -6.638776e+07 ; -2.594698e+08 + i -5.657199e+06 ; -2.793121e+08 + i -5.989777e+06 ; 7.236378e+09 + i -5.562875e+08 ; -4.362344e+07 + i -4.883902e+05 ; 3.114477e+07 + i 4.474726e+05 ; -3.858591e+08 + i 3.598537e+07 ; -2.204893e+07 + i -1.151006e+06 ; 1.086017e+07 + i -6.952331e+04 ; -1.027022e+08 + i 1.211664e+07 ; -6.008943e+07 + i -1.234807e+06 ; 1.115682e+07 + i 8.281088e+05 ; -6.723940e+08 + i 5.297666e+07 ; -2.517605e+07 + i -1.750518e+06 ; 5.572425e+06 + i 1.899589e+05 ; -1.286652e+08 + i 1.469246e+07 ; 3.044458e+08 + i -2.675800e+07 ; -1.697311e+08 + i 1.536629e+07 ; -2.106536e+08 + i 1.177909e+07 ; 1.384358e+08 + i -8.667607e+06 ; -2.115149e+07 + i 3.242957e+06 ; -8.545054e+07 + i 8.417641e+06 ; 5.809388e+08 + i -4.585219e+07 ; -1.677182e+07 + i 7.941888e+04 ; -2.708489e+08 + i 7.134756e+06 ; 2.139304e+08 + i -1.000418e+07 ; 2.918349e+05 + i 3.057159e+05 ; -1.064258e+08 + i 9.323697e+06 ; 
-3.430854e+09 + i 2.725030e+08 ; -1.856116e+07 + i -2.253421e+06 ; 1.480634e+08 + i 2.443190e+06 ; -3.407927e+08 + i -6.623928e+07 ; 8.710527e+07 + i -1.742084e+06 ; -1.913386e+09 + i 1.473742e+08 ; -8.350314e+08 + i 1.046158e+08 ; -8.138750e+07 + i -1.316771e+05 ; 8.272425e+07 + i 3.409681e+05 ; -3.324172e+08 + i 1.206831e+07 ; 5.670723e+08 + i -5.704353e+07 ; -5.759461e+08 + i 5.617157e+07 ; -1.953805e+10 + i 9.224426e+08 ; -1.857198e+07 + i -4.176562e+06 ; 1.902606e+07 + i 4.274723e+06 ; 7.248508e+09 + i -5.560103e+08 ; 2.729488e+08 + i 4.616390e+06 ; -2.782485e+08 + i -5.292669e+06 ; -3.430795e+09 + i 2.725283e+08 ; -1.446925e+08 + i -2.216696e+06 ; 1.883405e+07 + i 2.329546e+06 ; -3.409949e+08 + i -6.620236e+07 ; 1.883938e+09 + i -1.509212e+08 ; -8.855781e+07 + i 1.534260e+06 ; 2.431472e+08 + i -2.223516e+07 ; 2.247398e+06 + i -6.698183e+05 ; -1.027630e+08 + i 1.178643e+07 ; 1.425043e+08 + i -1.013281e+07 ; -1.025929e+06 + i -2.704304e+05 ; -2.707142e+07 + i 3.773689e+06 ; 1.208310e+08 + i -1.676858e+07 ; 7.105514e+07 + i -8.947533e+06 ; -7.219073e+07 + i 8.869485e+06 ; 9.164154e+07 + i -9.687324e+06 ; 2.148764e+07 + i -3.190901e+06 ; -2.183637e+07 + i 3.175755e+06 ; 5.129399e+08 + i -2.455311e+07 ; 6.091622e+06 + i -7.513266e+05 ; -6.219225e+06 + i 7.580956e+05 ; 2.277455e+08 + i -7.956595e+06 ; -4.684951e+05 + i -3.158218e+05 ; 4.611447e+05 + i 3.266192e+05 ; 2.431104e+08 + i -2.224349e+07 ; 1.011473e+08 + i -1.191068e+07 ; -2.309645e+06 + i 6.817259e+05 ; 1.424836e+08 + i -1.013695e+07 ; 2.663938e+07 + i -3.795066e+06 ; 1.029233e+06 + i 2.811176e+05 ; 
