9.946989e-01 + i 1.865539e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.531623e-03 + i -8.908796e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; 6.712560e-04 + i -2.362226e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i 0.000000e+00 ; 6.712560e-04 + i -2.362226e-02 ; -4.473120e-04 + i 1.574417e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.711252e-07 + i -3.267076e-06 ; 2.435981e-04 + i -8.572493e-03 ; 2.435981e-04 + i -8.572493e-03 ; 1.246396e-04 + i -4.383453e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.893817e-05 + i -1.719435e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 8.491045e-05 + i -2.985341e-03 ; 4.994004e-05 + i -1.757447e-03 ; -0.000000e+00 + i 0.000000e+00 ; 3.968434e-05 + i -1.393783e-03 ; 1.650595e-05 + i -5.808630e-04 ; -0.000000e+00 + i 0.000000e+00 ; 8.491045e-05 + i -2.985341e-03 ; -0.000000e+00 + i 0.000000e+00 ; 4.994004e-05 + i -1.757447e-03 ; 3.968434e-05 + i -1.393783e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.650595e-05 + i -5.808630e-04 ; 5.961943e-05 + i -2.095321e-03 ; 3.775986e-05 + i -1.328812e-03 ; 3.775986e-05 + i -1.328812e-03 ; 3.250266e-05 + i -1.141051e-03 ; 1.403365e-05 + i -4.938600e-04 ; 1.403365e-05 + i -4.938600e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.473120e-04 + i 1.574417e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.946989e-01 + i 1.865539e-01 ; -2.435981e-04 + i 8.572493e-03 ; -2.435981e-04 + i 8.572493e-03 ; 1.711252e-07 + i -3.267076e-06 ; -0.000000e+00 + i 0.000000e+00 ; -6.712560e-04 + i 2.362226e-02 ; 2.239440e-04 + i -7.878089e-03 ; -6.712560e-04 + i 2.362226e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.531623e-03 + i -8.908796e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.585845e-04 + i 5.583523e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.140299e-05 + i 1.811684e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.444883e-04 + i 8.606575e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.211407e-05 + i 2.188619e-03 ; 1.180043e-04 + i -4.152707e-03 ; -6.822865e-05 + i 2.401044e-03 ; -4.513804e-05 + i 1.591214e-03 ; 3.775986e-05 + i -1.328812e-03 ; -1.383377e-05 + i 4.868261e-04 ; -2.961394e-05 + i 1.044902e-03 ; 2.063628e-04 + i -7.262143e-03 ; -0.000000e+00 + i 0.000000e+00 ; -3.926802e-05 + i 1.384641e-03 ; 4.994004e-05 + i -1.757447e-03 ; -0.000000e+00 + i 0.000000e+00 ; -3.310686e-05 + i 1.167823e-03 ; 
-1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i 0.000000e+00 ; -6.712560e-04 + i 2.362226e-02 ; -4.473120e-04 + i 1.574417e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.711252e-07 + i -3.267076e-06 ; 2.435981e-04 + i -8.572493e-03 ; -2.435981e-04 + i 8.572493e-03 ; 9.946989e-01 + i 1.865539e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.531623e-03 + i -8.908796e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; 6.712560e-04 + i -2.362226e-02 ; -0.000000e+00 + i 0.000000e+00 ; 8.491045e-05 + i -2.985341e-03 ; -0.000000e+00 + i 0.000000e+00 ; -4.994004e-05 + i 1.757447e-03 ; 3.968434e-05 + i -1.393783e-03 ; -0.000000e+00 + i 0.000000e+00 ; -1.650595e-05 + i 5.808630e-04 ; 5.961943e-05 + i -2.095321e-03 ; 3.775986e-05 + i -1.328812e-03 ; -3.775986e-05 + i 1.328812e-03 ; 3.250266e-05 + i -1.141051e-03 ; 1.403365e-05 + i -4.938600e-04 ; -1.403365e-05 + i 4.938600e-04 ; 1.246396e-04 + i -4.383453e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.893817e-05 + i -1.719435e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 8.491045e-05 + i -2.985341e-03 ; 4.994004e-05 + i -1.757447e-03 ; -0.000000e+00 + i 0.000000e+00 ; 3.968434e-05 + i -1.393783e-03 ; 1.650595e-05 + i -5.808630e-04 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.473120e-04 + i 1.574417e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; -6.712560e-04 + i 2.362226e-02 ; 2.435981e-04 + i -8.572493e-03 ; 1.711252e-07 + i -3.267076e-06 ; -2.435981e-04 + i 8.572493e-03 ; -0.000000e+00 + i -0.000000e+00 ; 9.946989e-01 + i 1.865539e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.531623e-03 + i -8.908796e-02 ; -0.000000e+00 + i 0.000000e+00 ; 6.712560e-04 + i -2.362226e-02 ; 2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.140299e-05 + i 1.811684e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.187531e-05 + i 7.725706e-04 ; -0.000000e+00 + i -0.000000e+00 ; 3.775986e-05 + i -1.328812e-03 ; -2.961394e-05 + i 1.044902e-03 ; -1.383377e-05 + i 4.868261e-04 ; 1.403365e-05 + i -4.938600e-04 ; -1.607360e-05 + i 5.684021e-04 ; -3.762835e-06 + i 1.324184e-04 ; -0.000000e+00 + i -0.000000e+00 ; -6.211407e-05 + i 2.188619e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.428714e-05 + i 8.574459e-04 ; -0.000000e+00 + i -0.000000e+00 ; 4.994004e-05 + i -1.757447e-03 ; -3.310686e-05 + i 1.167823e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.650595e-05 + i -5.808630e-04 ; -1.744957e-05 + i 6.168241e-04 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.531623e-03 + i -8.908796e-02 ; -6.712560e-04 + i 2.362226e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i -0.000000e+00 ; -6.712560e-04 + i 2.362226e-02 ; 2.239440e-04 + i -7.878089e-03 ; -2.435981e-04 + i 8.572493e-03 ; -2.435981e-04 + i 8.572493e-03 ; 1.711252e-07 + i -3.267076e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.946989e-01 + i 1.865539e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.473120e-04 + i 1.574417e-02 ; -4.994004e-05 + i 1.757447e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.310686e-05 + i 1.167823e-03 ; -1.650595e-05 + i 5.808630e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.744957e-05 + i 6.168241e-04 ; -3.775986e-05 + i 1.328812e-03 ; -1.383377e-05 + i 4.868261e-04 ; -2.961394e-05 + i 1.044902e-03 ; -1.403365e-05 + i 4.938600e-04 ; -3.762835e-06 + i 1.324184e-04 ; -1.607360e-05 + i 5.684021e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.211407e-05 + i 2.188619e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.428714e-05 + i 8.574459e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.140299e-05 + i 1.811684e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.187531e-05 + i 7.725706e-04 ; 
2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i -0.000000e+00 ; 6.712560e-04 + i -2.362226e-02 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.711252e-07 + i -3.267076e-06 ; -2.435981e-04 + i 8.572493e-03 ; 2.435981e-04 + i -8.572493e-03 ; -4.473120e-04 + i 1.574417e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.531623e-03 + i -8.908796e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.946989e-01 + i 1.865539e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; -6.712560e-04 + i 2.362226e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.983288e-04 + i -6.976660e-03 ; -0.000000e+00 + i 0.000000e+00 ; -2.063628e-04 + i 7.262143e-03 ; 8.491045e-05 + i -2.985341e-03 ; -0.000000e+00 + i 0.000000e+00 ; -4.994004e-05 + i 1.757447e-03 ; 9.072677e-05 + i -3.190023e-03 ; 1.180043e-04 + i -4.152707e-03 ; -1.180043e-04 + i 4.152707e-03 ; 5.961943e-05 + i -2.095321e-03 ; 3.775986e-05 + i -1.328812e-03 ; -3.775986e-05 + i 1.328812e-03 ; 4.894903e-04 + i -1.722297e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.246396e-04 + i -4.383453e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.983288e-04 + i -6.976660e-03 ; 2.063628e-04 + i -7.262143e-03 ; -0.000000e+00 + i 0.000000e+00 ; 8.491045e-05 + i -2.985341e-03 ; 4.994004e-05 + i -1.757447e-03 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -4.473120e-04 + i 1.574417e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.435981e-04 + i 8.572493e-03 ; 1.711252e-07 + i -3.267076e-06 ; -2.435981e-04 + i 8.572493e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; -6.712560e-04 + i 2.362226e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.946989e-01 + i 1.865539e-01 ; -0.000000e+00 + i -0.000000e+00 ; -6.712560e-04 + i 2.362226e-02 ; 2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.531623e-03 + i -8.908796e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.585845e-04 + i 5.583523e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.140299e-05 + i 1.811684e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.180043e-04 + i -4.152707e-03 ; -4.513804e-05 + i 1.591214e-03 ; -6.822865e-05 + i 2.401044e-03 ; 3.775986e-05 + i -1.328812e-03 ; -2.961394e-05 + i 1.044902e-03 ; -1.383377e-05 + i 4.868261e-04 ; -0.000000e+00 + i -0.000000e+00 ; -2.444883e-04 + i 8.606575e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.211407e-05 + i 2.188619e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.063628e-04 + i -7.262143e-03 ; -3.926802e-05 + i 1.384641e-03 ; -0.000000e+00 + i 0.000000e+00 ; 4.994004e-05 + i -1.757447e-03 ; -3.310686e-05 + i 1.167823e-03 ; -0.000000e+00 + i 0.000000e+00 ; 
6.712560e-04 + i -2.362226e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.531623e-03 + i -8.908796e-02 ; 2.435981e-04 + i -8.572493e-03 ; -2.435981e-04 + i 8.572493e-03 ; 1.711252e-07 + i -3.267076e-06 ; -0.000000e+00 + i -0.000000e+00 ; -6.712560e-04 + i 2.362226e-02 ; 2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.946989e-01 + i 1.865539e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.473120e-04 + i 1.574417e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -2.063628e-04 + i 7.262143e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.926802e-05 + i 1.384641e-03 ; -4.994004e-05 + i 1.757447e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.310686e-05 + i 1.167823e-03 ; -1.180043e-04 + i 4.152707e-03 ; -6.822865e-05 + i 2.401044e-03 ; -4.513804e-05 + i 1.591214e-03 ; -3.775986e-05 + i 1.328812e-03 ; -1.383377e-05 + i 4.868261e-04 ; -2.961394e-05 + i 1.044902e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.444883e-04 + i 8.606575e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.211407e-05 + i 2.188619e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.585845e-04 + i 5.583523e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.140299e-05 + i 1.811684e-03 ; 
-4.473120e-04 + i 1.574417e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.711252e-07 + i -3.267076e-06 ; -2.435981e-04 + i 8.572493e-03 ; -2.435981e-04 + i 8.572493e-03 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i 0.000000e+00 ; -6.712560e-04 + i 2.362226e-02 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; -6.712560e-04 + i 2.362226e-02 ; -0.000000e+00 + i 0.000000e+00 ; 9.946989e-01 + i 1.865539e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.531623e-03 + i -8.908796e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 5.961943e-05 + i -2.095321e-03 ; -3.775986e-05 + i 1.328812e-03 ; -3.775986e-05 + i 1.328812e-03 ; 3.250266e-05 + i -1.141051e-03 ; -1.403365e-05 + i 4.938600e-04 ; -1.403365e-05 + i 4.938600e-04 ; 8.491045e-05 + i -2.985341e-03 ; -0.000000e+00 + i 0.000000e+00 ; -4.994004e-05 + i 1.757447e-03 ; 3.968434e-05 + i -1.393783e-03 ; -0.000000e+00 + i 0.000000e+00 ; -1.650595e-05 + i 5.808630e-04 ; 8.491045e-05 + i -2.985341e-03 ; -4.994004e-05 + i 1.757447e-03 ; -0.000000e+00 + i 0.000000e+00 ; 3.968434e-05 + i -1.393783e-03 ; -1.650595e-05 + i 5.808630e-04 ; -0.000000e+00 + i 0.000000e+00 ; 1.246396e-04 + i -4.383453e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.893817e-05 + i -1.719435e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; 6.712560e-04 + i -2.362226e-02 ; -2.435981e-04 + i 8.572493e-03 ; 1.711252e-07 + i -3.267076e-06 ; 2.435981e-04 + i -8.572493e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.473120e-04 + i 1.574417e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.531623e-03 + i -8.908796e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.712560e-04 + i 2.362226e-02 ; 2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.946989e-01 + i 1.865539e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.775986e-05 + i 1.328812e-03 ; -2.961394e-05 + i 1.044902e-03 ; 1.383377e-05 + i -4.868261e-04 ; -1.403365e-05 + i 4.938600e-04 ; -1.607360e-05 + i 5.684021e-04 ; 3.762835e-06 + i -1.324184e-04 ; -0.000000e+00 + i -0.000000e+00 ; -5.140299e-05 + i 1.811684e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.187531e-05 + i 7.725706e-04 ; -0.000000e+00 + i -0.000000e+00 ; -4.994004e-05 + i 1.757447e-03 ; -3.310686e-05 + i 1.167823e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.650595e-05 + i 5.808630e-04 ; -1.744957e-05 + i 6.168241e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.211407e-05 + i 2.188619e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.428714e-05 + i 8.574459e-04 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 6.712560e-04 + i -2.362226e-02 ; 2.239440e-04 + i -7.878089e-03 ; -2.435981e-04 + i 8.572493e-03 ; 2.435981e-04 + i -8.572493e-03 ; 1.711252e-07 + i -3.267076e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.531623e-03 + i -8.908796e-02 ; -6.712560e-04 + i 2.362226e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.473120e-04 + i 1.574417e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.946989e-01 + i 1.865539e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -3.775986e-05 + i 1.328812e-03 ; 1.383377e-05 + i -4.868261e-04 ; -2.961394e-05 + i 1.044902e-03 ; -1.403365e-05 + i 4.938600e-04 ; 3.762835e-06 + i -1.324184e-04 ; -1.607360e-05 + i 5.684021e-04 ; -4.994004e-05 + i 1.757447e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.310686e-05 + i 1.167823e-03 ; -1.650595e-05 + i 5.808630e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.744957e-05 + i 6.168241e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.140299e-05 + i 1.811684e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.187531e-05 + i 7.725706e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.211407e-05 + i 2.188619e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.428714e-05 + i 8.574459e-04 ; 
1.711252e-07 + i -3.267076e-06 ; 2.435981e-04 + i -8.572493e-03 ; 2.435981e-04 + i -8.572493e-03 ; -4.473120e-04 + i 1.574417e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i -0.000000e+00 ; 6.712560e-04 + i -2.362226e-02 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; 6.712560e-04 + i -2.362226e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.531623e-03 + i -8.908796e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.946989e-01 + i 1.865539e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.072677e-05 + i -3.190023e-03 ; -1.180043e-04 + i 4.152707e-03 ; -1.180043e-04 + i 4.152707e-03 ; 5.961943e-05 + i -2.095321e-03 ; -3.775986e-05 + i 1.328812e-03 ; -3.775986e-05 + i 1.328812e-03 ; 1.983288e-04 + i -6.976660e-03 ; -0.000000e+00 + i 0.000000e+00 ; -2.063628e-04 + i 7.262143e-03 ; 8.491045e-05 + i -2.985341e-03 ; -0.000000e+00 + i 0.000000e+00 ; -4.994004e-05 + i 1.757447e-03 ; 1.983288e-04 + i -6.976660e-03 ; -2.063628e-04 + i 7.262143e-03 ; -0.000000e+00 + i 0.000000e+00 ; 8.491045e-05 + i -2.985341e-03 ; -4.994004e-05 + i 1.757447e-03 ; -0.000000e+00 + i 0.000000e+00 ; 4.894903e-04 + i -1.722297e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.246396e-04 + i -4.383453e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 
2.435981e-04 + i -8.572493e-03 ; 1.711252e-07 + i -3.267076e-06 ; 2.435981e-04 + i -8.572493e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.239440e-04 + i -7.878089e-03 ; 6.712560e-04 + i -2.362226e-02 ; -0.000000e+00 + i -0.000000e+00 ; -4.473120e-04 + i 1.574417e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.712560e-04 + i -2.362226e-02 ; 2.239440e-04 + i -7.878089e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.531623e-03 + i -8.908796e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.265453e-03 + i 4.453549e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.946989e-01 + i 1.865539e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.180043e-04 + i 4.152707e-03 ; -4.513804e-05 + i 1.591214e-03 ; 6.822865e-05 + i -2.401044e-03 ; -3.775986e-05 + i 1.328812e-03 ; -2.961394e-05 + i 1.044902e-03 ; 1.383377e-05 + i -4.868261e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.585845e-04 + i 5.583523e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.140299e-05 + i 1.811684e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.063628e-04 + i 7.262143e-03 ; -3.926802e-05 + i 1.384641e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.994004e-05 + i 1.757447e-03 ; -3.310686e-05 + i 1.167823e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.444883e-04 + i 8.606575e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.211407e-05 + i 2.188619e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
