-1.025074e+10 + i 9.227384e+08 ; -1.790136e+07 + i -3.667910e+06 ; -1.790511e+07 + i -3.668955e+06 ; 3.477273e+09 + i -5.191295e+08 ; 1.655882e+08 + i -3.783329e+06 ; 1.655875e+08 + i -3.784428e+06 ; -1.635414e+09 + i 2.477109e+08 ; -8.774221e+07 + i 2.010412e+06 ; -1.430096e+07 + i -1.341190e+06 ; -2.927265e+08 + i -3.500383e+07 ; 8.858203e+08 + i -1.410009e+08 ; 4.726000e+07 + i -4.529105e+06 ; -1.635414e+09 + i 2.477114e+08 ; -1.429970e+07 + i -1.340474e+06 ; -8.774176e+07 + i 2.010471e+06 ; -2.927297e+08 + i -3.500391e+07 ; 4.726493e+07 + i -4.522064e+06 ; 8.858204e+08 + i -1.410006e+08 ; -3.431724e+08 + i 8.686417e+07 ; -4.710715e+07 + i 2.442642e+06 ; -4.710408e+07 + i 2.444907e+06 ; -1.720803e+08 + i 2.303470e+07 ; 2.503289e+08 + i -5.000008e+07 ; 2.503287e+08 + i -4.999981e+07 ; 2.670488e+08 + i -2.700528e+07 ; 2.273116e+06 + i -9.218111e+05 ; 2.273996e+06 + i -9.216221e+05 ; 1.231373e+08 + i -9.569173e+06 ; -7.543892e+05 + i -2.369820e+05 ; -7.544637e+05 + i -2.370140e+05 ; 1.105034e+08 + i -2.125196e+07 ; 4.228062e+07 + i -9.989988e+06 ; 2.243175e+05 + i -6.744221e+05 ; 6.876302e+07 + i -1.075585e+07 ; 1.031718e+07 + i -2.929710e+06 ; -9.955286e+05 + i -1.701563e+05 ; 1.105034e+08 + i -2.125153e+07 ; 2.243212e+05 + i -6.736751e+05 ; 4.228070e+07 + i -9.989935e+06 ; 6.876294e+07 + i -1.075576e+07 ; -9.953940e+05 + i -1.699393e+05 ; 1.031718e+07 + i -2.929714e+06 ; 4.682460e+07 + i -1.424928e+07 ; 2.895627e+07 + i -7.303381e+06 ; 2.895620e+07 + i -7.303457e+06 ; 3.946307e+07 + i -9.290047e+06 ; 8.165543e+06 + i -2.416051e+06 ; 8.165486e+06 + i -2.416054e+06 ; 
-1.642344e+07 + i -3.693130e+06 ; -1.025704e+10 + i 9.224025e+08 ; -1.769976e+07 + i -3.694977e+06 ; -8.549849e+07 + i 1.920767e+06 ; -1.638607e+09 + i 2.475526e+08 ; -1.402543e+07 + i -1.347762e+06 ; 1.684591e+08 + i -3.685381e+06 ; 3.463192e+09 + i -5.193715e+08 ; 1.660721e+08 + i -3.824457e+06 ; 8.922743e+08 + i -1.409996e+08 ; -3.007795e+08 + i -3.476221e+07 ; 4.776804e+07 + i -4.558315e+06 ; -1.298231e+07 + i -1.386632e+06 ; -1.640246e+09 + i 2.476572e+08 ; -8.750076e+07 + i 1.974591e+06 ; -4.524527e+07 + i 2.324443e+06 ; -3.453658e+08 + i 8.688396e+07 ; -4.682479e+07 + i 2.436189e+06 ; 4.982405e+07 + i -4.476257e+06 ; -3.023107e+08 + i -3.472313e+07 ; 8.869928e+08 + i -1.411206e+08 ; 2.557824e+08 + i -5.008089e+07 ; -1.772487e+08 + i 2.349668e+07 ; 2.513329e+08 + i -5.008887e+07 ; 1.628526e+06 + i -9.218596e+05 ; -5.479408e+07 + i 1.251152e+07 ; -4.128908e+06 + i 4.547441e+04 ; 2.493039e+06 + i -6.393692e+05 ; -2.104939e+07 + i 4.741435e+06 ; -1.752736e+06 + i 9.996132e+04 ; 1.038317e+08 + i -1.128592e+07 ; -4.873340e+07 + i 9.177119e+06 ; -1.604347e+06 + i -1.034774e+05 ; 4.800465e+07 + i -3.506113e+06 ; -1.872620e+07 + i 4.064910e+06 ; -1.148800e+06 + i 3.070140e+04 ; -1.483972e+06 + i -7.275757e+05 ; -4.324754e+07 + i 1.014235e+07 ; -7.099237e+06 + i 3.903576e+05 ; 8.279884e+05 + i -6.223561e+05 ; -1.792213e+07 + i 4.237654e+06 ; -2.494473e+06 + i 2.110019e+05 ; 6.936111e+07 + i -8.983641e+06 ; -3.786084e+07 + i 7.875800e+06 ; 9.945497e+06 + i -2.571294e+06 ; 3.608996e+07 + i -3.479153e+06 ; -1.612290e+07 + i 3.675200e+06 ; 1.422923e+06 + i -5.861749e+05 ; 
-1.643054e+07 + i -3.695371e+06 ; -1.769999e+07 + i -3.695054e+06 ; -1.025704e+10 + i 9.223990e+08 ; -8.549820e+07 + i 1.920850e+06 ; -1.402575e+07 + i -1.347864e+06 ; -1.638620e+09 + i 2.475495e+08 ; -1.298618e+07 + i -1.387472e+06 ; -8.750135e+07 + i 1.973257e+06 ; -1.640259e+09 + i 2.476323e+08 ; -4.524221e+07 + i 2.326605e+06 ; -4.682526e+07 + i 2.435463e+06 ; -3.453738e+08 + i 8.687906e+07 ; 1.684585e+08 + i -3.685503e+06 ; 1.660718e+08 + i -3.825261e+06 ; 3.463185e+09 + i -5.193839e+08 ; 8.922747e+08 + i -1.409993e+08 ; 4.776751e+07 + i -4.559029e+06 ; -3.007837e+08 + i -3.476767e+07 ; 4.981229e+07 + i -4.481591e+06 ; 8.869927e+08 + i -1.411207e+08 ; -3.023126e+08 + i -3.472429e+07 ; 2.557801e+08 + i -5.008232e+07 ; 2.513321e+08 + i -5.008930e+07 ; -1.772564e+08 + i 2.349560e+07 ; 1.630234e+06 + i -9.213834e+05 ; -4.128915e+06 + i 4.545818e+04 ; -5.479565e+07 + i 1.251105e+07 ; 2.493407e+06 + i -6.392299e+05 ; -1.752769e+06 + i 9.994483e+04 ; -2.104950e+07 + i 4.741491e+06 ; -1.481540e+06 + i -7.266988e+05 ; -7.099261e+06 + i 3.903189e+05 ; -4.324855e+07 + i 1.014204e+07 ; 8.290942e+05 + i -6.218507e+05 ; -2.494475e+06 + i 2.110067e+05 ; -1.792225e+07 + i 4.237768e+06 ; 1.038313e+08 + i -1.128609e+07 ; -1.604370e+06 + i -1.035662e+05 ; -4.873443e+07 + i 9.176186e+06 ; 4.800449e+07 + i -3.506196e+06 ; -1.148828e+06 + i 3.066200e+04 ; -1.872658e+07 + i 4.064613e+06 ; 6.936298e+07 + i -8.983110e+06 ; 9.945537e+06 + i -2.571267e+06 ; -3.786118e+07 + i 7.875539e+06 ; 3.609036e+07 + i -3.479049e+06 ; 1.422924e+06 + i -5.861632e+05 ; -1.612323e+07 + i 3.675048e+06 ; 
3.477418e+09 + i -5.190654e+08 ; -1.686956e+08 + i 3.543120e+06 ; -1.686947e+08 + i 3.544509e+06 ; -1.022508e+10 + i 9.217477e+08 ; 1.419813e+07 + i 3.608482e+06 ; 1.420198e+07 + i 3.609623e+06 ; -2.926791e+08 + i -3.498369e+07 ; -8.960442e+08 + i 1.403824e+08 ; -4.928562e+07 + i 4.573937e+06 ; -1.622164e+09 + i 2.464628e+08 ; 8.130051e+07 + i -1.626432e+06 ; 1.088464e+07 + i 1.318435e+06 ; -2.926853e+08 + i -3.498516e+07 ; -4.928906e+07 + i 4.567622e+06 ; -8.960443e+08 + i 1.403822e+08 ; -1.622159e+09 + i 2.464662e+08 ; 1.088300e+07 + i 1.317527e+06 ; 8.130001e+07 + i -1.626614e+06 ; -1.720684e+08 + i 2.303973e+07 ; -2.549119e+08 + i 5.007939e+07 ; -2.549119e+08 + i 5.007900e+07 ; -3.365940e+08 + i 8.571872e+07 ; 4.129582e+07 + i -2.137854e+06 ; 4.129522e+07 + i -2.138733e+06 ; 6.676453e+08 + i -9.846068e+07 ; 5.226887e+07 + i -1.730450e+06 ; 5.226874e+07 + i -1.730834e+06 ; 2.670425e+08 + i -2.700873e+07 ; 7.276977e+06 + i -1.619696e+06 ; 7.275910e+06 + i -1.620110e+06 ; 1.685404e+08 + i -4.012122e+07 ; 2.665093e+08 + i -4.315447e+07 ; 2.737057e+07 + i -1.882348e+06 ; 1.104926e+08 + i -2.125438e+07 ; 3.736625e+07 + i -9.853878e+06 ; 4.538184e+06 + i -1.163464e+06 ; 1.685457e+08 + i -4.011939e+07 ; 2.737095e+07 + i -1.880755e+06 ; 2.665095e+08 + i -4.315426e+07 ; 1.104951e+08 + i -2.125354e+07 ; 4.538872e+06 + i -1.162715e+06 ; 3.736644e+07 + i -9.853738e+06 ; 3.330594e+07 + i -1.625455e+07 ; 1.348437e+08 + i -2.445916e+07 ; 1.348441e+08 + i -2.445877e+07 ; 4.681564e+07 + i -1.425005e+07 ; 2.746919e+07 + i -7.169524e+06 ; 2.746926e+07 + i -7.169264e+06 ; 
9.271761e+07 + i -1.386812e+06 ; -1.638745e+09 + i 2.474892e+08 ; -1.434337e+07 + i -1.395981e+06 ; 2.115286e+07 + i 3.530519e+06 ; -1.024801e+10 + i 9.223672e+08 ; -1.806978e+07 + i -3.720513e+06 ; -9.129953e+08 + i 1.374222e+08 ; -3.007679e+08 + i -3.475531e+07 ; 4.792418e+07 + i -4.498162e+06 ; -1.592960e+08 + i 2.073627e+06 ; 3.469720e+09 + i -5.190868e+08 ; 1.670339e+08 + i -3.463583e+06 ; 5.029305e+07 + i -2.239243e+06 ; -3.453967e+08 + i 8.687516e+07 ; -4.740488e+07 + i 2.344985e+06 ; 1.660028e+07 + i 1.145886e+06 ; -1.632240e+09 + i 2.475849e+08 ; -8.872787e+07 + i 1.878447e+06 ; -2.560424e+08 + i 4.937369e+07 ; -1.772525e+08 + i 2.349383e+07 ; 2.534100e+08 + i -4.992568e+07 ; -4.027718e+07 + i 3.921129e+06 ; -2.961933e+08 + i -3.453871e+07 ; 8.934700e+08 + i -1.401683e+08 ; -3.674601e+07 + i 6.085996e+05 ; -3.208664e+08 + i 4.858841e+07 ; -7.600592e+06 + i -3.766252e+05 ; -1.747011e+07 + i -9.583249e+05 ; -5.478745e+07 + i 1.251914e+07 ; -3.396313e+06 + i 7.480958e+04 ; 2.744303e+08 + i -4.288429e+07 ; -1.486141e+08 + i 1.103724e+07 ; 9.082408e+06 + i -6.961832e+05 ; 1.105752e+08 + i -1.152580e+07 ; -4.873514e+07 + i 9.177555e+06 ; -6.933991e+05 + i -2.740117e+05 ; -2.595122e+07 + i 9.153264e+05 ; -1.759512e+08 + i 3.196847e+07 ; -1.824810e+07 + i 6.095359e+05 ; -1.459332e+07 + i -3.478969e+05 ; -4.324190e+07 + i 1.014763e+07 ; -5.973008e+06 + i 4.550439e+05 ; 1.399170e+08 + i -2.424520e+07 ; -1.060773e+08 + i 1.361071e+07 ; 7.531510e+07 + i -1.396277e+07 ; 6.824461e+07 + i -9.136352e+06 ; -3.786132e+07 + i 7.876207e+06 ; 7.597626e+06 + i -2.512326e+06 ; 
9.271847e+07 + i -1.386388e+06 ; -1.434371e+07 + i -1.396104e+06 ; -1.638759e+09 + i 2.474860e+08 ; 2.115701e+07 + i 3.531650e+06 ; -1.806999e+07 + i -3.720578e+06 ; -1.024801e+10 + i 9.223643e+08 ; 5.029346e+07 + i -2.239573e+06 ; -4.740536e+07 + i 2.344244e+06 ; -3.454037e+08 + i 8.687115e+07 ; 1.660250e+07 + i 1.146134e+06 ; -8.872830e+07 + i 1.877239e+06 ; -1.632260e+09 + i 2.475569e+08 ; -9.129951e+08 + i 1.374223e+08 ; 4.792375e+07 + i -4.498793e+06 ; -3.007719e+08 + i -3.476088e+07 ; -1.592956e+08 + i 2.073711e+06 ; 1.670333e+08 + i -3.464527e+06 ; 3.469714e+09 + i -5.190980e+08 ; -2.560395e+08 + i 4.937546e+07 ; 2.534094e+08 + i -4.992592e+07 ; -1.772506e+08 + i 2.349851e+07 ; -4.027143e+07 + i 3.923776e+06 ; 8.934698e+08 + i -1.401685e+08 ; -2.961950e+08 + i -3.453987e+07 ; -3.674696e+07 + i 6.081290e+05 ; -7.600543e+06 + i -3.766246e+05 ; -3.208618e+08 + i 4.859007e+07 ; -1.747136e+07 + i -9.587283e+05 ; -3.396381e+06 + i 7.477369e+04 ; -5.478630e+07 + i 1.251968e+07 ; -2.595112e+07 + i 9.153502e+05 ; -1.824803e+07 + i 6.094354e+05 ; -1.759498e+08 + i 3.196800e+07 ; -1.459350e+07 + i -3.478043e+05 ; -5.973007e+06 + i 4.550281e+05 ; -4.324132e+07 + i 1.014806e+07 ; 2.744303e+08 + i -4.288428e+07 ; 9.082422e+06 + i -6.963359e+05 ; -1.486135e+08 + i 1.103573e+07 ; 1.105752e+08 + i -1.152577e+07 ; -6.934637e+05 + i -2.741088e+05 ; -4.873563e+07 + i 9.176838e+06 ; 1.399154e+08 + i -2.424612e+07 ; 7.531536e+07 + i -1.396262e+07 ; -1.060755e+08 + i 1.361080e+07 ; 6.824300e+07 + i -9.137137e+06 ; 7.597602e+06 + i -2.512321e+06 ; -3.786201e+07 + i 7.875737e+06 ; 
-1.635551e+09 + i 2.476391e+08 ; 9.067990e+07 + i -1.836725e+06 ; -1.443192e+07 + i -1.389928e+06 ; -2.927262e+08 + i -3.510259e+07 ; -9.171790e+08 + i 1.373277e+08 ; 4.765467e+07 + i -4.470268e+06 ; -1.025077e+10 + i 9.227069e+08 ; 1.843416e+07 + i 3.827002e+06 ; -1.805507e+07 + i -3.744253e+06 ; 3.477277e+09 + i -5.191579e+08 ; -1.711863e+08 + i 2.915184e+06 ; 1.670676e+08 + i -3.419240e+06 ; -3.432060e+08 + i 8.684596e+07 ; 4.871735e+07 + i -2.128128e+06 ; -4.752567e+07 + i 2.354073e+06 ; -1.720930e+08 + i 2.300653e+07 ; -2.592859e+08 + i 4.929980e+07 ; 2.526695e+08 + i -4.983877e+07 ; -1.635417e+09 + i 2.477111e+08 ; 1.474764e+07 + i 1.486174e+06 ; -8.852359e+07 + i 1.817507e+06 ; -2.927259e+08 + i -3.500184e+07 ; -4.890007e+07 + i 4.276770e+06 ; 8.940046e+08 + i -1.401194e+08 ; 1.105401e+08 + i -2.123689e+07 ; -4.380601e+07 + i 9.936293e+06 ; 2.229069e+05 + i -6.817592e+05 ; 6.878104e+07 + i -1.074919e+07 ; -1.069380e+07 + i 2.935410e+06 ; -1.005145e+06 + i -1.744201e+05 ; 2.670515e+08 + i -2.700385e+07 ; -2.346629e+06 + i 9.555482e+05 ; 2.298888e+06 + i -9.235556e+05 ; 1.231363e+08 + i -9.568985e+06 ; 7.799328e+05 + i 2.597096e+05 ; -7.598091e+05 + i -2.406884e+05 ; 4.684040e+07 + i -1.424696e+07 ; -3.000546e+07 + i 7.282219e+06 ; 2.923018e+07 + i -7.298569e+06 ; 3.947384e+07 + i -9.287937e+06 ; -8.464509e+06 + i 2.423991e+06 ; 8.243727e+06 + i -2.417765e+06 ; 1.105059e+08 + i -2.125005e+07 ; -2.284874e+05 + i 7.117527e+05 ; 4.267940e+07 + i -9.976601e+06 ; 6.876235e+07 + i -1.075542e+07 ; 1.029979e+06 + i 1.914911e+05 ; 1.041566e+07 + i -2.930796e+06 ; 
-1.698046e+08 + i 3.934884e+06 ; 3.463341e+09 + i -5.193151e+08 ; -1.675640e+08 + i 3.452492e+06 ; -8.999695e+08 + i 1.401706e+08 ; -3.007406e+08 + i -3.484417e+07 ; -4.821148e+07 + i 4.479701e+06 ; 1.651392e+07 + i 3.679979e+06 ; -1.025708e+10 + i 9.223758e+08 ; 1.780439e+07 + i 3.751530e+06 ; 8.614988e+07 + i -2.355235e+06 ; -1.638627e+09 + i 2.475705e+08 ; 1.412265e+07 + i 1.384055e+06 ; -5.023667e+07 + i 4.454740e+06 ; -3.022617e+08 + i -3.469286e+07 ; -8.951869e+08 + i 1.402390e+08 ; -2.580078e+08 + i 4.992712e+07 ; -1.772420e+08 + i 2.348109e+07 ; -2.536780e+08 + i 4.992927e+07 ; 1.306515e+07 + i 1.394961e+06 ; -1.640260e+09 + i 2.476466e+08 ; 8.828459e+07 + i -1.779246e+06 ; 4.561287e+07 + i -2.300927e+06 ; -3.453731e+08 + i 8.687915e+07 ; 4.724851e+07 + i -2.343475e+06 ; -1.047183e+08 + i 1.111792e+07 ; -4.874809e+07 + i 9.158021e+06 ; 1.617773e+06 + i 1.080044e+05 ; -4.841065e+07 + i 3.410386e+06 ; -1.872769e+07 + i 4.062610e+06 ; 1.158854e+06 + i -2.827328e+04 ; -1.635630e+06 + i 8.796670e+05 ; -5.479720e+07 + i 1.250924e+07 ; 4.163528e+06 + i -3.664780e+04 ; -2.509665e+06 + i 6.172567e+05 ; -2.105050e+07 + i 4.740374e+06 ; 1.768030e+06 + i -9.674643e+04 ; -6.995677e+07 + i 8.884479e+06 ; -3.787276e+07 + i 7.864979e+06 ; -1.003959e+07 + i 2.570294e+06 ; -3.639733e+07 + i 3.414673e+06 ; -1.612535e+07 + i 3.673118e+06 ; -1.436812e+06 + i 5.880294e+05 ; 1.499607e+06 + i 7.113263e+05 ; -4.324751e+07 + i 1.014233e+07 ; 7.163163e+06 + i -3.766435e+05 ; -8.324837e+05 + i 6.109539e+05 ; -1.792207e+07 + i 4.237297e+06 ; 2.517168e+06 + i -2.068074e+05 ; 
-1.309723e+07 + i -1.420960e+06 ; 9.049538e+07 + i -1.189080e+06 ; -1.640410e+09 + i 2.475658e+08 ; -4.562049e+07 + i 2.248079e+06 ; 4.844216e+07 + i -2.066512e+06 ; -3.454125e+08 + i 8.686733e+07 ; -1.655532e+07 + i -3.759840e+06 ; 1.821829e+07 + i 3.969261e+06 ; -1.025708e+10 + i 9.223736e+08 ; -8.620889e+07 + i 1.742194e+06 ; 1.446415e+07 + i 1.508293e+06 ; -1.638647e+09 + i 2.475391e+08 ; 5.019512e+07 + i -4.542252e+06 ; -9.183873e+08 + i 1.373229e+08 ; -3.022995e+08 + i -3.471644e+07 ; 2.580108e+08 + i -4.996797e+07 ; -2.603204e+08 + i 4.942025e+07 ; -1.772497e+08 + i 2.349880e+07 ; 1.698597e+08 + i -3.318594e+06 ; -1.717507e+08 + i 2.327417e+06 ; 3.463188e+09 + i -5.193799e+08 ; 8.999673e+08 + i -1.401097e+08 ; -4.942561e+07 + i 4.361341e+06 ; -3.007794e+08 + i -3.476456e+07 ; -1.488334e+06 + i -7.350853e+05 ; 7.343700e+06 + i -3.366174e+05 ; -4.324801e+07 + i 1.014282e+07 ; 8.397412e+05 + i -6.245076e+05 ; 2.581014e+06 + i -1.948540e+05 ; -1.792144e+07 + i 4.238191e+06 ; 1.643960e+06 + i -9.265945e+05 ; 4.268146e+06 + i -9.859346e+03 ; -5.479841e+07 + i 1.251025e+07 ; 2.514379e+06 + i -6.396517e+05 ; 1.812840e+06 + i -8.730845e+04 ; -2.105034e+07 + i 4.741296e+06 ; 6.996561e+07 + i -8.898418e+06 ; -1.030652e+07 + i 2.568059e+06 ; -3.786097e+07 + i 7.875839e+06 ; 3.640155e+07 + i -3.424665e+06 ; -1.476495e+06 + i 5.939627e+05 ; -1.612323e+07 + i 3.675109e+06 ; 1.047121e+08 + i -1.114322e+07 ; 1.661050e+06 + i 1.302324e+05 ; -4.873416e+07 + i 9.176413e+06 ; 4.840691e+07 + i -3.426468e+06 ; 1.188703e+06 + i -1.867847e+04 ; -1.872632e+07 + i 4.064760e+06 ; 
-2.934690e+08 + i -3.532056e+07 ; 9.277381e+08 + i -1.363134e+08 ; -4.965822e+07 + i 4.522094e+06 ; -1.622087e+09 + i 2.464895e+08 ; -7.966371e+07 + i 2.728991e+06 ; 1.097713e+07 + i 1.354570e+06 ; 3.477217e+09 + i -5.191860e+08 ; 1.700639e+08 + i -3.835967e+06 ; -1.700731e+08 + i 3.215016e+06 ; -1.022506e+10 + i 9.217604e+08 ; -1.461739e+07 + i -3.852477e+06 ; 1.431221e+07 + i 3.670048e+06 ; -1.722365e+08 + i 2.298893e+07 ; 2.639210e+08 + i -4.931268e+07 ; -2.570869e+08 + i 4.994208e+07 ; -3.366183e+08 + i 8.570090e+07 ; -4.226216e+07 + i 1.939359e+06 ; 4.163314e+07 + i -2.068935e+06 ; -2.926830e+08 + i -3.497826e+07 ; 5.056927e+07 + i -4.361730e+06 ; -9.036029e+08 + i 1.396178e+08 ; -1.622150e+09 + i 2.464715e+08 ; -1.110674e+07 + i -1.405221e+06 ; 8.196185e+07 + i -1.467681e+06 ; 1.687744e+08 + i -4.002505e+07 ; -2.763673e+08 + i 4.179645e+07 ; 2.758566e+07 + i -1.844068e+06 ; 1.105927e+08 + i -2.121038e+07 ; -3.886270e+07 + i 9.769617e+06 ; 4.573215e+06 + i -1.164827e+06 ; 6.676507e+08 + i -9.845794e+07 ; -5.495029e+07 + i 8.933804e+05 ; 5.270019e+07 + i -1.632583e+06 ; 2.670410e+08 + i -2.700898e+07 ; -7.697617e+06 + i 1.547439e+06 ; 7.339495e+06 + i -1.617432e+06 ; 3.341252e+07 + i -1.621665e+07 ; -1.398620e+08 + i 2.386572e+07 ; 1.359896e+08 + i -2.437037e+07 ; 4.687385e+07 + i -1.422787e+07 ; -2.856520e+07 + i 7.107012e+06 ; 2.770765e+07 + i -7.168821e+06 ; 1.685474e+08 + i -4.011865e+07 ; -2.869934e+07 + i 1.521434e+06 ; 2.687604e+08 + i -4.293842e+07 ; 1.104933e+08 + i -2.125409e+07 ; -4.817162e+06 + i 1.117186e+06 ; 3.768998e+07 + i -9.854291e+06 ; 
9.208590e+08 + i -1.362938e+08 ; -3.015235e+08 + i -3.508109e+07 ; -4.832932e+07 + i 4.429858e+06 ; 1.562493e+08 + i -3.521894e+06 ; 3.469658e+09 + i -5.191277e+08 ; -1.684066e+08 + i 3.130782e+06 ; -8.907275e+07 + i 3.024514e+06 ; -1.638561e+09 + i 2.475994e+08 ; 1.443320e+07 + i 1.428448e+06 ; -2.127587e+07 + i -3.583452e+06 ; -1.024799e+10 + i 9.223793e+08 ; 1.816612e+07 + i 3.770875e+06 ; 2.581709e+08 + i -4.919193e+07 ; -1.774046e+08 + i 2.345211e+07 ; -2.555684e+08 + i 4.979337e+07 ; 4.019907e+07 + i -3.971056e+06 ; -2.961523e+08 + i -3.450800e+07 ; -9.010063e+08 + i 1.394092e+08 ; -5.025787e+07 + i 2.271797e+06 ; -3.453990e+08 + i 8.686761e+07 ; 4.779705e+07 + i -2.261623e+06 ; -1.659432e+07 + i -1.127572e+06 ; -1.632247e+09 + i 2.475778e+08 ; 8.945534e+07 + i -1.702668e+06 ; -2.765724e+08 + i 4.264269e+07 ; -1.483868e+08 + i 1.112823e+07 ; -9.158670e+06 + i 6.817225e+05 ; -1.113619e+08 + i 1.140888e+07 ; -4.870180e+07 + i 9.189408e+06 ; 6.976568e+05 + i 2.773789e+05 ; 3.791744e+07 + i -1.570356e+05 ; -3.208805e+08 + i 4.858025e+07 ; 7.654534e+06 + i 3.929925e+05 ; 1.796224e+07 + i 1.175691e+06 ; -5.479235e+07 + i 1.251483e+07 ; 3.422110e+06 + i -6.883175e+04 ; -1.410181e+08 + i 2.413867e+07 ; -1.059800e+08 + i 1.364574e+07 ; -7.595463e+07 + i 1.391637e+07 ; -6.873278e+07 + i 9.079024e+06 ; -3.784090e+07 + i 7.883488e+06 ; -7.664237e+06 + i 2.516754e+06 ; 2.654204e+07 + i -7.094371e+05 ; -1.759573e+08 + i 3.196472e+07 ; 1.839751e+07 + i -5.755837e+05 ; 1.491561e+07 + i 4.739067e+05 ; -4.324490e+07 + i 1.014461e+07 ; 6.022664e+06 + i -4.458831e+05 ; 
5.068065e+07 + i -2.158158e+06 ; 4.900860e+07 + i -1.976393e+06 ; -3.454385e+08 + i 8.686155e+07 ; 1.666678e+07 + i 1.154027e+06 ; 9.175048e+07 + i -1.066306e+06 ; -1.632403e+09 + i 2.474945e+08 ; 9.347284e+07 + i -1.176291e+06 ; 1.471513e+07 + i 1.528346e+06 ; -1.638776e+09 + i 2.474808e+08 ; 2.130469e+07 + i 3.603413e+06 ; 1.858579e+07 + i 3.997685e+06 ; -1.024804e+10 + i 9.223418e+08 ; -2.578257e+08 + i 4.936782e+07 ; -2.620231e+08 + i 4.934424e+07 ; -1.772439e+08 + i 2.350214e+07 ; -3.974364e+07 + i 4.244964e+06 ; -9.250998e+08 + i 1.361030e+08 ; -2.961809e+08 + i -3.453118e+07 ; -9.208795e+08 + i 1.362813e+08 ; -4.875973e+07 + i 4.539249e+06 ; -3.007687e+08 + i -3.475851e+07 ; -1.606786e+08 + i 1.655657e+06 ; -1.727982e+08 + i 1.886764e+06 ; 3.469718e+09 + i -5.190942e+08 ; -2.616641e+07 + i 8.586338e+05 ; 1.888592e+07 + i -4.404324e+05 ; -1.759556e+08 + i 3.196612e+07 ; -1.470965e+07 + i -3.856774e+05 ; 6.188194e+06 + i -4.064050e+05 ; -4.323937e+07 + i 1.014915e+07 ; -3.704940e+07 + i 5.228168e+05 ; 7.872152e+06 + i 4.768943e+05 ; -3.208643e+08 + i 4.858837e+07 ; -1.761064e+07 + i -1.008665e+06 ; 3.521422e+06 + i -3.807753e+04 ; -5.478735e+07 + i 1.251937e+07 ; 1.412397e+08 + i -2.404690e+07 ; -7.818609e+07 + i 1.360735e+07 ; -1.060764e+08 + i 1.361027e+07 ; 6.887237e+07 + i -9.020476e+06 ; -7.922197e+06 + i 2.506158e+06 ; -3.786225e+07 + i 7.875705e+06 ; 2.767976e+08 + i -4.256052e+07 ; -9.661442e+06 + i 5.139455e+05 ; -1.486122e+08 + i 1.103644e+07 ; 1.115150e+08 + i -1.134733e+07 ; 6.677592e+05 + i 2.729416e+05 ; -4.873474e+07 + i 9.177280e+06 ; 
-1.635569e+09 + i 2.476328e+08 ; -1.442104e+07 + i -1.379908e+06 ; 9.025363e+07 + i -1.890341e+06 ; -2.928045e+08 + i -3.511197e+07 ; 4.756285e+07 + i -4.570044e+06 ; -9.171264e+08 + i 1.373442e+08 ; -3.432130e+08 + i 8.685384e+07 ; -4.751398e+07 + i 2.348465e+06 ; 4.867242e+07 + i -2.134655e+06 ; -1.721312e+08 + i 2.300984e+07 ; 2.526498e+08 + i -4.986479e+07 ; -2.592407e+08 + i 4.935082e+07 ; -1.025078e+10 + i 9.227068e+08 ; -1.790709e+07 + i -3.690408e+06 ; 1.835550e+07 + i 3.804170e+06 ; 3.477271e+09 + i -5.191574e+08 ; 1.664911e+08 + i -3.557695e+06 ; -1.707698e+08 + i 2.952894e+06 ; -1.635481e+09 + i 2.476833e+08 ; -8.795769e+07 + i 1.933955e+06 ; 1.473106e+07 + i 1.487663e+06 ; -2.928402e+08 + i -3.503683e+07 ; 8.938788e+08 + i -1.401741e+08 ; -4.877181e+07 + i 4.392774e+06 ; 1.105435e+08 + i -2.123433e+07 ; 2.058683e+05 + i -6.895349e+05 ; -4.379686e+07 + i 9.933996e+06 ; 6.878113e+07 + i -1.074830e+07 ; -1.011739e+06 + i -1.768395e+05 ; -1.069029e+07 + i 2.934372e+06 ; 4.684096e+07 + i -1.424329e+07 ; 2.921724e+07 + i -7.304940e+06 ; -2.999405e+07 + i 7.287364e+06 ; 3.947326e+07 + i -9.286359e+06 ; 8.238015e+06 + i -2.419940e+06 ; -8.459849e+06 + i 2.425518e+06 ; 2.670503e+08 + i -2.700445e+07 ; 2.282092e+06 + i -9.232980e+05 ; -2.334727e+06 + i 9.526783e+05 ; 1.231358e+08 + i -9.569240e+06 ; -7.658296e+05 + i -2.403722e+05 ; 7.843027e+05 + i 2.586175e+05 ; 1.105042e+08 + i -2.124975e+07 ; 4.266587e+07 + i -9.976761e+06 ; -2.133874e+05 + i 7.183582e+05 ; 6.876049e+07 + i -1.075563e+07 ; 1.041059e+07 + i -2.930529e+06 ; 1.035494e+06 + i 1.932687e+05 ; 
