-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.433803e-02 + i 1.846441e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.376709e-01 + i 2.187792e+00 ; -3.502888e-02 + i 1.005286e-01 ; -3.502888e-02 + i 1.005286e-01 ; 1.041873e-05 + i -2.803464e-05 ; -0.000000e+00 + i 0.000000e+00 ; -9.652599e-02 + i 2.770177e-01 ; 3.218796e-02 + i -9.237360e-02 ; -9.652599e-02 + i 2.770177e-01 ; -0.000000e+00 + i 0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 3.640314e-01 + i -1.044723e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.281764e-02 + i 6.548567e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.404063e-03 + i 2.125061e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.517109e-02 + i 1.009385e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.944436e-03 + i 2.567129e-02 ; 1.696849e-02 + i -4.869746e-02 ; -9.810971e-03 + i 2.815627e-02 ; -6.504042e-03 + i 1.866766e-02 ; 5.429494e-03 + i -1.558198e-02 ; -1.989159e-03 + i 5.708641e-03 ; -4.270837e-03 + i 1.225864e-02 ; 2.967429e-02 + i -8.516155e-02 ; -0.000000e+00 + i 0.000000e+00 ; -5.660330e-03 + i 1.624631e-02 ; 7.180943e-03 + i -2.060842e-02 ; -0.000000e+00 + i 0.000000e+00 ; -4.773240e-03 + i 1.370047e-02 ; 
-1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i 0.000000e+00 ; -9.652599e-02 + i 2.770177e-01 ; -6.433803e-02 + i 1.846441e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.041873e-05 + i -2.803464e-05 ; 3.502888e-02 + i -1.005286e-01 ; -3.502888e-02 + i 1.005286e-01 ; 2.376709e-01 + i 2.187792e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.640314e-01 + i -1.044723e+00 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; 9.652599e-02 + i -2.770177e-01 ; -0.000000e+00 + i 0.000000e+00 ; 1.219662e-02 + i -3.500093e-02 ; -0.000000e+00 + i 0.000000e+00 ; -7.180943e-03 + i 2.060842e-02 ; 5.693713e-03 + i -1.633839e-02 ; -0.000000e+00 + i 0.000000e+00 ; -2.373283e-03 + i 6.811029e-03 ; 8.560036e-03 + i -2.456438e-02 ; 5.429494e-03 + i -1.558198e-02 ; -5.429494e-03 + i 1.558198e-02 ; 4.661118e-03 + i -1.337497e-02 ; 2.017790e-03 + i -5.790808e-03 ; -2.017790e-03 + i 5.790808e-03 ; 1.790934e-02 + i -5.139571e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 7.024264e-03 + i -2.015690e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.219662e-02 + i -3.500093e-02 ; 7.180943e-03 + i -2.060842e-02 ; -0.000000e+00 + i 0.000000e+00 ; 5.693713e-03 + i -1.633839e-02 ; 2.373283e-03 + i -6.811029e-03 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.433803e-02 + i 1.846441e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; -9.652599e-02 + i 2.770177e-01 ; 3.502888e-02 + i -1.005286e-01 ; 1.041873e-05 + i -2.803464e-05 ; -3.502888e-02 + i 1.005286e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.376709e-01 + i 2.187792e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 3.640314e-01 + i -1.044723e+00 ; -0.000000e+00 + i 0.000000e+00 ; 9.652599e-02 + i -2.770177e-01 ; 3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.404063e-03 + i 2.125061e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.157546e-03 + i 9.063632e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.429494e-03 + i -1.558198e-02 ; -4.270837e-03 + i 1.225864e-02 ; -1.989159e-03 + i 5.708641e-03 ; 2.017790e-03 + i -5.790808e-03 ; -2.323287e-03 + i 6.669411e-03 ; -5.410289e-04 + i 1.552686e-03 ; -0.000000e+00 + i -0.000000e+00 ; -8.944436e-03 + i 2.567129e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.504414e-03 + i 1.005910e-02 ; -0.000000e+00 + i -0.000000e+00 ; 7.180943e-03 + i -2.060842e-02 ; -4.773240e-03 + i 1.370047e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.373283e-03 + i -6.811029e-03 ; -2.521199e-03 + i 7.237395e-03 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.640314e-01 + i -1.044723e+00 ; -9.652599e-02 + i 2.770177e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.652599e-02 + i 2.770177e-01 ; 3.218796e-02 + i -9.237360e-02 ; -3.502888e-02 + i 1.005286e-01 ; -3.502888e-02 + i 1.005286e-01 ; 1.041873e-05 + i -2.803464e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.376709e-01 + i 2.187792e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.433803e-02 + i 1.846441e-01 ; -7.180943e-03 + i 2.060842e-02 ; -0.000000e+00 + i -0.000000e+00 ; -4.773240e-03 + i 1.370047e-02 ; -2.373283e-03 + i 6.811029e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.521199e-03 + i 7.237395e-03 ; -5.429494e-03 + i 1.558198e-02 ; -1.989159e-03 + i 5.708641e-03 ; -4.270837e-03 + i 1.225864e-02 ; -2.017790e-03 + i 5.790808e-03 ; -5.410289e-04 + i 1.552686e-03 ; -2.323287e-03 + i 6.669411e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.944436e-03 + i 2.567129e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.504414e-03 + i 1.005910e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.404063e-03 + i 2.125061e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.157546e-03 + i 9.063632e-03 ; 
3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i -0.000000e+00 ; 9.652599e-02 + i -2.770177e-01 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.041873e-05 + i -2.803464e-05 ; -3.502888e-02 + i 1.005286e-01 ; 3.502888e-02 + i -1.005286e-01 ; -6.433803e-02 + i 1.846441e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.640314e-01 + i -1.044723e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.376709e-01 + i 2.187792e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; -9.652599e-02 + i 2.770177e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.850530e-02 + i -8.180482e-02 ; -0.000000e+00 + i 0.000000e+00 ; -2.967429e-02 + i 8.516155e-02 ; 1.219662e-02 + i -3.500093e-02 ; -0.000000e+00 + i 0.000000e+00 ; -7.180943e-03 + i 2.060842e-02 ; 1.303270e-02 + i -3.740038e-02 ; 1.696849e-02 + i -4.869746e-02 ; -1.696849e-02 + i 4.869746e-02 ; 8.560036e-03 + i -2.456438e-02 ; 5.429494e-03 + i -1.558198e-02 ; -5.429494e-03 + i 1.558198e-02 ; 7.037348e-02 + i -2.019613e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.790934e-02 + i -5.139571e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.850530e-02 + i -8.180482e-02 ; 2.967429e-02 + i -8.516155e-02 ; -0.000000e+00 + i 0.000000e+00 ; 1.219662e-02 + i -3.500093e-02 ; 7.180943e-03 + i -2.060842e-02 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -6.433803e-02 + i 1.846441e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -3.502888e-02 + i 1.005286e-01 ; 1.041873e-05 + i -2.803464e-05 ; -3.502888e-02 + i 1.005286e-01 ; -0.000000e+00 + i 0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; -9.652599e-02 + i 2.770177e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.376709e-01 + i 2.187792e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.652599e-02 + i 2.770177e-01 ; 3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 3.640314e-01 + i -1.044723e+00 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.281764e-02 + i 6.548567e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.404063e-03 + i 2.125061e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.696849e-02 + i -4.869746e-02 ; -6.504042e-03 + i 1.866766e-02 ; -9.810971e-03 + i 2.815627e-02 ; 5.429494e-03 + i -1.558198e-02 ; -4.270837e-03 + i 1.225864e-02 ; -1.989159e-03 + i 5.708641e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.517109e-02 + i 1.009385e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.944436e-03 + i 2.567129e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.967429e-02 + i -8.516155e-02 ; -5.660330e-03 + i 1.624631e-02 ; -0.000000e+00 + i 0.000000e+00 ; 7.180943e-03 + i -2.060842e-02 ; -4.773240e-03 + i 1.370047e-02 ; -0.000000e+00 + i 0.000000e+00 ; 
9.652599e-02 + i -2.770177e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.640314e-01 + i -1.044723e+00 ; 3.502888e-02 + i -1.005286e-01 ; -3.502888e-02 + i 1.005286e-01 ; 1.041873e-05 + i -2.803464e-05 ; -0.000000e+00 + i -0.000000e+00 ; -9.652599e-02 + i 2.770177e-01 ; 3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.376709e-01 + i 2.187792e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.433803e-02 + i 1.846441e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -2.967429e-02 + i 8.516155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.660330e-03 + i 1.624631e-02 ; -7.180943e-03 + i 2.060842e-02 ; -0.000000e+00 + i -0.000000e+00 ; -4.773240e-03 + i 1.370047e-02 ; -1.696849e-02 + i 4.869746e-02 ; -9.810971e-03 + i 2.815627e-02 ; -6.504042e-03 + i 1.866766e-02 ; -5.429494e-03 + i 1.558198e-02 ; -1.989159e-03 + i 5.708641e-03 ; -4.270837e-03 + i 1.225864e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.517109e-02 + i 1.009385e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.944436e-03 + i 2.567129e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.281764e-02 + i 6.548567e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.404063e-03 + i 2.125061e-02 ; 
-6.433803e-02 + i 1.846441e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.041873e-05 + i -2.803464e-05 ; -3.502888e-02 + i 1.005286e-01 ; -3.502888e-02 + i 1.005286e-01 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i 0.000000e+00 ; -9.652599e-02 + i 2.770177e-01 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; -9.652599e-02 + i 2.770177e-01 ; -0.000000e+00 + i 0.000000e+00 ; 2.376709e-01 + i 2.187792e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.640314e-01 + i -1.044723e+00 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 8.560036e-03 + i -2.456438e-02 ; -5.429494e-03 + i 1.558198e-02 ; -5.429494e-03 + i 1.558198e-02 ; 4.661118e-03 + i -1.337497e-02 ; -2.017790e-03 + i 5.790808e-03 ; -2.017790e-03 + i 5.790808e-03 ; 1.219662e-02 + i -3.500093e-02 ; -0.000000e+00 + i 0.000000e+00 ; -7.180943e-03 + i 2.060842e-02 ; 5.693713e-03 + i -1.633839e-02 ; -0.000000e+00 + i 0.000000e+00 ; -2.373283e-03 + i 6.811029e-03 ; 1.219662e-02 + i -3.500093e-02 ; -7.180943e-03 + i 2.060842e-02 ; -0.000000e+00 + i 0.000000e+00 ; 5.693713e-03 + i -1.633839e-02 ; -2.373283e-03 + i 6.811029e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.790934e-02 + i -5.139571e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 7.024264e-03 + i -2.015690e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; 9.652599e-02 + i -2.770177e-01 ; -3.502888e-02 + i 1.005286e-01 ; 1.041873e-05 + i -2.803464e-05 ; 3.502888e-02 + i -1.005286e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.433803e-02 + i 1.846441e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.640314e-01 + i -1.044723e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.652599e-02 + i 2.770177e-01 ; 3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.376709e-01 + i 2.187792e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -5.429494e-03 + i 1.558198e-02 ; -4.270837e-03 + i 1.225864e-02 ; 1.989159e-03 + i -5.708641e-03 ; -2.017790e-03 + i 5.790808e-03 ; -2.323287e-03 + i 6.669411e-03 ; 5.410289e-04 + i -1.552686e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.404063e-03 + i 2.125061e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.157546e-03 + i 9.063632e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.180943e-03 + i 2.060842e-02 ; -4.773240e-03 + i 1.370047e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.373283e-03 + i 6.811029e-03 ; -2.521199e-03 + i 7.237395e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.944436e-03 + i 2.567129e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.504414e-03 + i 1.005910e-02 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 9.652599e-02 + i -2.770177e-01 ; 3.218796e-02 + i -9.237360e-02 ; -3.502888e-02 + i 1.005286e-01 ; 3.502888e-02 + i -1.005286e-01 ; 1.041873e-05 + i -2.803464e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.640314e-01 + i -1.044723e+00 ; -9.652599e-02 + i 2.770177e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.433803e-02 + i 1.846441e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.376709e-01 + i 2.187792e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -5.429494e-03 + i 1.558198e-02 ; 1.989159e-03 + i -5.708641e-03 ; -4.270837e-03 + i 1.225864e-02 ; -2.017790e-03 + i 5.790808e-03 ; 5.410289e-04 + i -1.552686e-03 ; -2.323287e-03 + i 6.669411e-03 ; -7.180943e-03 + i 2.060842e-02 ; -0.000000e+00 + i -0.000000e+00 ; -4.773240e-03 + i 1.370047e-02 ; -2.373283e-03 + i 6.811029e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.521199e-03 + i 7.237395e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.404063e-03 + i 2.125061e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.157546e-03 + i 9.063632e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.944436e-03 + i 2.567129e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.504414e-03 + i 1.005910e-02 ; 
1.041873e-05 + i -2.803464e-05 ; 3.502888e-02 + i -1.005286e-01 ; 3.502888e-02 + i -1.005286e-01 ; -6.433803e-02 + i 1.846441e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i -0.000000e+00 ; 9.652599e-02 + i -2.770177e-01 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; 9.652599e-02 + i -2.770177e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.640314e-01 + i -1.044723e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.376709e-01 + i 2.187792e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.303270e-02 + i -3.740038e-02 ; -1.696849e-02 + i 4.869746e-02 ; -1.696849e-02 + i 4.869746e-02 ; 8.560036e-03 + i -2.456438e-02 ; -5.429494e-03 + i 1.558198e-02 ; -5.429494e-03 + i 1.558198e-02 ; 2.850530e-02 + i -8.180482e-02 ; -0.000000e+00 + i 0.000000e+00 ; -2.967429e-02 + i 8.516155e-02 ; 1.219662e-02 + i -3.500093e-02 ; -0.000000e+00 + i 0.000000e+00 ; -7.180943e-03 + i 2.060842e-02 ; 2.850530e-02 + i -8.180482e-02 ; -2.967429e-02 + i 8.516155e-02 ; -0.000000e+00 + i 0.000000e+00 ; 1.219662e-02 + i -3.500093e-02 ; -7.180943e-03 + i 2.060842e-02 ; -0.000000e+00 + i 0.000000e+00 ; 7.037348e-02 + i -2.019613e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.790934e-02 + i -5.139571e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 
3.502888e-02 + i -1.005286e-01 ; 1.041873e-05 + i -2.803464e-05 ; 3.502888e-02 + i -1.005286e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; 9.652599e-02 + i -2.770177e-01 ; -0.000000e+00 + i -0.000000e+00 ; -6.433803e-02 + i 1.846441e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; 9.652599e-02 + i -2.770177e-01 ; 3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.640314e-01 + i -1.044723e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.376709e-01 + i 2.187792e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.696849e-02 + i 4.869746e-02 ; -6.504042e-03 + i 1.866766e-02 ; 9.810971e-03 + i -2.815627e-02 ; -5.429494e-03 + i 1.558198e-02 ; -4.270837e-03 + i 1.225864e-02 ; 1.989159e-03 + i -5.708641e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.281764e-02 + i 6.548567e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.404063e-03 + i 2.125061e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.967429e-02 + i 8.516155e-02 ; -5.660330e-03 + i 1.624631e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.180943e-03 + i 2.060842e-02 ; -4.773240e-03 + i 1.370047e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.517109e-02 + i 1.009385e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.944436e-03 + i 2.567129e-02 ; -0.000000e+00 + i -0.000000e+00 ; 
3.502888e-02 + i -1.005286e-01 ; 3.502888e-02 + i -1.005286e-01 ; 1.041873e-05 + i -2.803464e-05 ; -0.000000e+00 + i -0.000000e+00 ; 9.652599e-02 + i -2.770177e-01 ; 3.218796e-02 + i -9.237360e-02 ; 9.652599e-02 + i -2.770177e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.218796e-02 + i -9.237360e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.640314e-01 + i -1.044723e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.433803e-02 + i 1.846441e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.819893e-01 + i 5.222886e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.376709e-01 + i 2.187792e+00 ; -1.696849e-02 + i 4.869746e-02 ; 9.810971e-03 + i -2.815627e-02 ; -6.504042e-03 + i 1.866766e-02 ; -5.429494e-03 + i 1.558198e-02 ; 1.989159e-03 + i -5.708641e-03 ; -4.270837e-03 + i 1.225864e-02 ; -2.967429e-02 + i 8.516155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.660330e-03 + i 1.624631e-02 ; -7.180943e-03 + i 2.060842e-02 ; -0.000000e+00 + i -0.000000e+00 ; -4.773240e-03 + i 1.370047e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.281764e-02 + i 6.548567e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.404063e-03 + i 2.125061e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.517109e-02 + i 1.009385e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.944436e-03 + i 2.567129e-02 ; 
